split,source,sim_idx,frame,z0,z1,z2,z3,z4,z5
train,depablo_low_temp,0,0,-0.8390011191368103,1.0410552024841309,0.03425341844558716,-0.2915450930595398,0.285309761762619,0.3740743398666382
train,depablo_low_temp,0,10,-1.149741291999817,1.5386897325515747,0.37233051657676697,-0.2081933319568634,0.038146570324897766,1.089363694190979
train,depablo_low_temp,0,20,-1.402589201927185,1.944406509399414,0.7328197360038757,-0.09096773713827133,-0.2552463412284851,1.8249430656433105
train,depablo_low_temp,0,30,-1.6168317794799805,2.289015531539917,1.1152739524841309,0.053022731095552444,-0.5871759057044983,2.5867607593536377
train,depablo_low_temp,0,40,-1.7897040843963623,2.5681405067443848,1.520583987236023,0.2253013551235199,-0.9596484899520874,3.375471353530884
train,depablo_low_temp,0,50,-1.917676329612732,2.7762062549591064,1.9494091272354126,0.4275211989879608,-1.374675989151001,4.191044330596924
train,depablo_low_temp,0,60,-1.9969738721847534,2.9072420597076416,2.4031784534454346,0.6618870496749878,-1.8352246284484863,5.03474760055542
train,depablo_low_temp,0,70,-2.023745536804199,2.9551825523376465,2.8837242126464844,0.9308578968048096,-2.344707727432251,5.908566474914551
train,depablo_low_temp,0,80,-1.9931235313415527,2.912353992462158,3.392765760421753,1.23720121383667,-2.906806230545044,6.813931465148926
train,depablo_low_temp,0,90,-1.9006677865982056,2.771728038787842,3.932004451751709,1.583521842956543,-3.525012254714966,7.752384662628174
train,depablo_low_temp,0,100,-1.7393907308578491,2.5223190784454346,4.504782199859619,1.9743016958236694,-4.205565929412842,8.727558135986328
train,depablo_low_temp,1,0,0.4929946959018707,-1.068731665611267,0.5128865838050842,0.46422359347343445,-0.7267099618911743,0.7910665273666382
train,depablo_low_temp,1,10,0.5698766708374023,-1.1887925863265991,0.8073518872261047,0.6622874140739441,-1.0745619535446167,1.2941226959228516
train,depablo_low_temp,1,20,0.7898693084716797,-1.5364285707473755,1.1523641347885132,0.9414432048797607,-1.5315921306610107,1.8388557434082031
train,depablo_low_temp,1,30,1.0806413888931274,-1.9962764978408813,1.5534696578979492,1.278874397277832,-2.0763001441955566,2.460301637649536
train,depablo_low_temp,1,40,1.429893136024475,-2.5487430095672607,2.00559663772583,1.667178988456726,-2.698448657989502,3.153567314147949
