epoch,train_objective,val_objective,train_mse_norm,train_source_reid_reconstruction,train_source_lj_noisy_reconstruction,train_source_depablo_low_temp_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.4205431424379349,0.32343352112639695,0.4337560265858968,0.34493606655299663,0.49148770701885225,0.425205653535823,0.420543142369224,0.49148770701885225,0.321803555679818,0.29659920048248023,0.3077749030701816,0.36592645982652905,0.32343352112639695,0.36592645982652905,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
2,0.21639421234528225,0.22483599741819005,0.23539518627524375,0.17522114456569154,0.3658180715541045,0.10814342134321729,0.21639421248767113,0.3658180715541045,0.22381689492613077,0.21241059974394738,0.10663546231389046,0.3554619301967323,0.22483599741819002,0.3554619301967323,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
3,0.18821305920680365,0.214470958123294,0.20998345360159873,0.14361521401256322,0.3458851721584797,0.0751387915307035,0.1882130592339155,0.3458851721584797,0.21352015329307567,0.20269217817578464,0.09559703642688691,0.3451236597672105,0.214470958123294,0.3451236597672105,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
4,0.18307116074363392,0.21462413778621703,0.20453698121507963,0.13921107922121884,0.3370573908388615,0.07294501239744325,0.18307116081917452,0.3370573908388615,0.21380148567042004,0.20507229539193214,0.09392751582805067,0.34487260213866827,0.21462413778621703,0.34487260213866827,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
5,0.17979002622763315,0.21417293397647638,0.20106186078985533,0.13650523746634524,0.33071356343229613,0.07215127716089288,0.17979002601984476,0.33071356343229613,0.21336228716932237,0.20438051227480172,0.09325540208630263,0.3448828875683248,0.2141729339764764,0.3448828875683248,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
6,0.1774787064095338,0.21757565263115491,0.1987760761678219,0.1343730394343535,0.3268063979744911,0.07125668139817815,0.1774787062690076,0.3268063979744911,0.21678896592712651,0.2121271787537262,0.09355651673441753,0.347043262405321,0.2175756526311549,0.347043262405321,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
7,0.17547606480121614,0.21500193988221386,0.19698717160026233,0.13223242713386812,0.3235464516778787,0.07064931423217058,0.17547606434797247,0.3235464516778787,0.2142150429066581,0.20140781046357006,0.0943104190910235,0.3492875900920481,0.21500193988221392,0.3492875900920481,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
8,0.1728392375310262,0.21172655790392308,0.19440763224164645,0.12902555871009827,0.31951781817277275,0.06997433660427729,0.17283923782904942,0.31951781817277275,0.21086089903938895,0.19681012352462857,0.09103649839572608,0.3473330517914146,0.21172655790392306,0.3473330517914146,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
9,0.16810443037748338,0.21058876296179369,0.18978576011459034,0.12182318813974659,0.31327503377199173,0.06921506890654563,0.1681044302727613,0.31327503377199173,0.2096083359764889,0.19302186781028285,0.09051955374795943,0.34822486732713875,0.21058876296179366,0.34822486732713875,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
10,0.16271830590566,0.20973690152602892,0.18476611524323622,0.11491540645807982,0.30642739407221475,0.06681211760640145,0.16271830604556534,0.30642739407221475,0.20874913479061796,0.1928647754988633,0.09382350138621405,0.3425224276930094,0.20973690152602895,0.3425224276930094,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
11,0.15891016302506128,0.21255547536024824,0.18061957373221715,0.11132999295679231,0.3005105663140615,0.06488993069219093,0.1589101633210149,0.3005105663140615,0.21165448589157312,0.19498708853218705,0.09380000489437952,0.34887933265417814,0.21255547536024824,0.34887933265417814,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
12,0.15553911886612573,0.21120959257443125,0.17699157877763114,0.10881875056400896,0.29416872052351634,0.06362988579086959,0.15553911895946496,0.29416872052351634,0.21036664993331458,0.19559165402688086,0.09150913878297433,0.34652798491343856,0.21120959257443125,0.34652798491343856,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
13,0.15188494227826596,0.21504370066833992,0.17273610973358156,0.10653605586538713,0.28646001396576565,0.06265875600402554,0.15188494194505944,0.28646001396576565,0.21418040516677622,0.19860076852096245,0.09120213767746463,0.3553281958065927,0.21504370066833992,0.3553281958065927,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
14,0.14742339769005774,0.2190508753232037,0.16770405306418737,0.10297945500165225,0.27722873888413113,0.06206199997290969,0.1474233979528977,0.27722873888413113,0.21811601244844497,0.20693449852103368,0.09096927024470643,0.359248857203871,0.2190508753232037,0.359248857203871,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
15,0.14291035676995914,0.2169456108698311,0.16286759277184804,0.09866288062681755,0.26853377189238864,0.061534417536109685,0.1429103566851053,0.26853377189238864,0.21597173343614365,0.203129021985922,0.09095833629369736,0.3567494743298739,0.2169456108698311,0.3567494743298739,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
16,0.1389006175895532,0.21825461834653592,0.15841924055417378,0.09516667787233989,0.26098942110935847,0.06054575385712087,0.13890061761293973,0.26098942110935847,0.21713663881163422,0.20499078009882943,0.09072831104043871,0.3590447639003396,0.21825461834653592,0.3590447639003396,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
17,0.13525440670053165,0.22175837996291617,0.15454806185762088,0.09203786265353361,0.25424568382898965,0.05947967293982705,0.13525440647411677,0.25424568382898965,0.22065156026681265,0.20804568611644209,0.09319009997136891,0.36403935380093755,0.22175837996291617,0.36403935380093755,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
