epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,1.1080640157063801,0.8893507272005081,1.1080640157063801,0.000112583994147523,0.0,0.8893507272005081,9.383165343024302e-05,0.0,,,,,,,,,,,1,1,1,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,1.1007503072420757,0.8799738585948944,1.1007503072420757,0.0001116401993688972,0.0,0.8799738585948944,9.281731399823911e-05,0.0,-0.7837626309029813,0.4477149382350384,20.0,-0.7837626309029813,-0.7837626309029813,-0.7837626309029813,-0.7837626309029813,-0.7837626309029813,-0.7837626309029813,-0.7837626309029813,1,1,2,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,1.1093726257483165,0.8677086383104324,1.1093726257483165,0.00011236987241621439,0.0,0.8677086383104324,9.148959816229763e-05,0.0,,,,,,,,,,,1,1,3,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,1.0858625769615173,0.8513807654380798,1.0858625769615173,0.00011002635680294286,0.0,0.8513807654380798,8.971871284302324e-05,0.0,-0.7803902952710142,0.44674018583083897,20.0,-0.7803902952710142,-0.7803902952710142,-0.7803902952710142,-0.7803902952710142,-0.7803902952710142,-0.7803902952710142,-0.7803902952710142,1,1,4,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,1.0625522534052532,0.830032229423523,1.0625522534052532,0.00010737513002823107,0.0,0.830032229423523,8.739448094274849e-05,0.0,,,,,,,,,,,1,1,5,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,1.0370427370071411,0.8031948953866959,1.0370427370071411,0.00010468076167550559,0.0,0.8031948953866959,8.445335697615519e-05,0.0,-0.7713308600666924,0.4449826121570128,20.0,-0.7713308600666924,-0.7713308600666924,-0.7713308600666924,-0.7713308600666924,-0.7713308600666924,-0.7713308600666924,-0.7713308600666924,1,1,6,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,1.007171591122945,0.7705604955554008,1.007171591122945,0.00010163711825346884,0.0,0.7705604955554008,8.084598812274635e-05,0.0,,,,,,,,,,,1,1,7,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,0.977198451757431,0.7321783229708672,0.977198451757431,9.812826586615604e-05,0.0,0.7321783229708672,7.655534045625245e-05,0.0,-0.7368541169448244,0.44242689129818835,20.0,-0.7368541169448244,-0.7368541169448244,-0.7368541169448244,-0.7368541169448244,-0.7368541169448244,-0.7368541169448244,-0.7368541169448244,1,1,8,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,0.9357970058917999,0.6885215267539024,0.9357970058917999,9.342322664451785e-05,0.0,0.6885215267539024,7.161220764828613e-05,0.0,,,,,,,,,,,1,1,9,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,0.8892269233862559,0.6408067420125008,0.8892269233862559,8.827618027377564e-05,0.0,0.6408067420125008,6.612534070882248e-05,0.0,-0.63459689143583,0.439115103225612,20.0,-0.63459689143583,-0.63459689143583,-0.63459689143583,-0.63459689143583,-0.63459689143583,-0.63459689143583,-0.63459689143583,1,1,10,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
11,0.8425587912400564,0.5909248888492584,0.8425587912400564,8.292427567842726e-05,0.0,0.5909248888492584,6.028939060342964e-05,0.0,,,,,,,,,,,1,1,11,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
12,0.7964718143145243,0.5417593643069267,0.7964718143145243,7.731529694865458e-05,0.0,0.5417593643069267,5.440136874312884e-05,0.0,-0.4082413272013412,0.43622670841418165,20.0,-0.4082413272013412,-0.4082413272013412,-0.4082413272013412,-0.4082413272013412,-0.4082413272013412,-0.4082413272013412,-0.4082413272013412,1,1,12,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
13,0.7428756654262543,0.4971686266362667,0.7428756654262543,7.11007936236759e-05,0.0,0.4971686266362667,4.888787816526019e-05,0.0,,,,,,,,,,,1,1,13,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
14,0.7051912446816763,0.46107833459973335,0.7051912446816763,6.640099491050933e-05,0.0,0.46107833459973335,4.422930123837432e-05,0.0,-0.11677278619788889,0.43409225720102745,20.0,-0.11677278619788889,-0.11677278619788889,-0.11677278619788889,-0.11677278619788889,-0.11677278619788889,-0.11677278619788889,-0.11677278619788889,1,1,14,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
15,0.6723242998123169,0.4353204444050789,0.6723242998123169,6.210574004702114e-05,0.0,0.4353204444050789,4.075556762472843e-05,0.0,,,,,,,,,,,1,1,15,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
