epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_source_depablo_low_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.43834485457697303,0.38065548506169083,0.43834485457697303,0.49159500836584963,0.451581137655154,0.31861747050952316,0.42059787217684225,0.49159500836584963,0.38065548506169083,0.27801987762622377,0.4948269298006045,0.36503637501675834,0.37929439414786215,0.4948269298006045,2D AE mixed-T exclusion,2,normalized_delta,192
2,0.2514652851340402,0.22512291377519278,0.2514652851340402,0.35508662659416823,0.1727423343020053,0.17479102422034973,0.23420666170550775,0.35508662659416823,0.22512291377519278,0.1977429285576131,0.1423077406753835,0.33154369309348497,0.2238647874421605,0.33154369309348497,2D AE mixed-T exclusion,2,normalized_delta,192
3,0.21620472844815805,0.23415097409028704,0.21620472844815805,0.3363793000155402,0.10860413323995222,0.14421614036989625,0.19639985787512956,0.3363793000155402,0.23415097409028704,0.21044380979196348,0.1517257326282561,0.3358293924872812,0.23266631163583362,0.3358293924872812,2D AE mixed-T exclusion,2,normalized_delta,192
4,0.21363653484764997,0.22348487205433507,0.21363653484764997,0.33300102768105255,0.10715959158595353,0.14177931201698832,0.19397997709466483,0.33300102768105255,0.22348487205433507,0.19585337692207874,0.13664953145933778,0.33414801649357145,0.2222169749583293,0.33414801649357145,2D AE mixed-T exclusion,2,normalized_delta,192
5,0.21162143978248904,0.22423063357466344,0.21162143978248904,0.3298586778885306,0.10577238585674212,0.14013345074073988,0.19192150482867087,0.3298586778885306,0.22423063357466344,0.1951456709289329,0.13868521388718172,0.33503272751052127,0.22295453744221194,0.33503272751052127,2D AE mixed-T exclusion,2,normalized_delta,192
6,0.21007295619848568,0.2228244488129181,0.21007295619848568,0.3277547009037824,0.10479457361117456,0.13921244820285436,0.19058724090593712,0.3277547009037824,0.2228244488129181,0.19484500805203347,0.13816462362087087,0.33193952547582356,0.22164971904957595,0.33193952547582356,2D AE mixed-T exclusion,2,normalized_delta,192
7,0.2082531728366552,0.22013739375430588,0.2082531728366552,0.32532672216159625,0.10330173185882596,0.13774454246273474,0.188790998827719,0.32532672216159625,0.22013739375430588,0.19084787194399125,0.13237931222262744,0.33339028468257503,0.2188724896163979,0.33339028468257503,2D AE mixed-T exclusion,2,normalized_delta,192
8,0.20641285977715074,0.2235471230010165,0.20641285977715074,0.3226253205569557,0.10244255804094497,0.1368683575707129,0.18731207872287117,0.3226253205569557,0.2235471230010165,0.19816605606056908,0.13383976436269127,0.3351435338980273,0.22238311810709588,0.3351435338980273,2D AE mixed-T exclusion,2,normalized_delta,192
9,0.2050043302017461,0.2227180094700901,0.2050043302017461,0.3205688639707718,0.10091277245319652,0.13598011678901914,0.18582058440432914,0.3205688639707718,0.2227180094700901,0.19621541206923096,0.13021830590441824,0.3382698847985777,0.2215678675907423,0.3382698847985777,2D AE mixed-T exclusion,2,normalized_delta,192
10,0.20304198076098257,0.22453091784829524,0.20304198076098257,0.3172951562604726,0.09987434545998357,0.1348127319558555,0.1839940778921039,0.3172951562604726,0.22453091784829524,0.19514501495831746,0.13228867142216155,0.34274108234645895,0.22339158957564598,0.34274108234645895,2D AE mixed-T exclusion,2,normalized_delta,192
11,0.2012796374980764,0.22642119111103529,0.2012796374980764,0.31449256143921434,0.09953291281449012,0.1337686535334926,0.18259804259573234,0.31449256143921434,0.22642119111103529,0.19592514744355402,0.13856668532090752,0.34137214095772883,0.2252879912407301,0.34137214095772883,2D AE mixed-T exclusion,2,normalized_delta,192
12,0.19994612027548558,0.22648003008480824,0.19994612027548558,0.31253293479526445,0.09859804663853472,0.1322574453762539,0.18112947560335102,0.31253293479526445,0.22648003008480824,0.2006920945231228,0.13344556338055746,0.3424949371304951,0.22554419834472514,0.3424949371304951,2D AE mixed-T exclusion,2,normalized_delta,192
13,0.19781772145210744,0.23074031355031205,0.19781772145210744,0.3093904403979571,0.09733605798380202,0.1308762308120807,0.17920090973127997,0.3093904403979571,0.23074031355031205,0.20275311740709745,0.13469481938518585,0.3519730912962634,0.2298070093628489,0.3519730912962634,2D AE mixed-T exclusion,2,normalized_delta,192
14,0.19643936445192164,0.22911726837690444,0.19643936445192164,0.3071460499300838,0.09656031531336358,0.12986264925542723,0.17785633816629154,0.3071460499300838,0.22911726837690444,0.2034262963174347,0.1323312908214958,0.34836896785878035,0.22804218499923698,0.34836896785878035,2D AE mixed-T exclusion,2,normalized_delta,192
15,0.19490474420161272,0.2273743341954306,0.19490474420161272,0.3049476689280244,0.09588747555191494,0.12902537935626815,0.17662017461206916,0.3049476689280244,0.2273743341954306,0.19832471035856833,0.13130601179099788,0.3494302916487581,0.22635367126610814,0.3494302916487581,2D AE mixed-T exclusion,2,normalized_delta,192
