epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_depablo_mixed_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_lj_noisy_reconstruction,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_depablo_mixed_temp_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.985997158747453,1.4300623955462761,0.9788982272148132,0.6046454906463623,1.6542568665284376,0.7934776212160404,0.8916086600377009,0.9859971596071353,1.6542568665284376,1.5669452873143284,1.0433729278888155,0.707469863853907,0.9518282415249603,3.0175785603730576,1.4300623984101852,3.0175785603730576,shared4,2,normalized_delta,128
2,0.9370874028939468,1.3764215693643442,0.9290522566208472,0.5528299991901104,1.6152648558983436,0.7339744281310302,0.8462803088701688,0.9370873980224133,1.6152648558983436,1.512429207210013,0.9859797132934035,0.6574758799827617,0.8980248219116403,2.9642058653322603,1.3764215701300164,2.9642058653322603,shared4,2,normalized_delta,128
3,0.8790466556182275,1.2952098528387046,0.8689558139214149,0.4813885803406055,1.555143457192641,0.6674947142601013,0.812159932576693,0.8790466710925102,1.555143457192641,1.4302492096961252,0.9115360557090624,0.5763346686841471,0.8111037175233656,2.8818649614281333,1.2952098508361771,2.8818649614281333,shared4,2,normalized_delta,128
4,0.7789000364450308,1.170994359749579,0.7709236970314612,0.3581999632028433,1.4332093000411987,0.6051902014475602,0.7190006994284116,0.7789000410300034,1.4332093000411987,1.3145227163676687,0.814086236383604,0.4149412828030087,0.676154781118212,2.7787951252206042,1.1709943563813572,2.7787951252206042,shared4,2,normalized_delta,128
5,0.6917134248293363,1.1628138357000388,0.6859451211415805,0.24294179104841673,1.3699722014940703,0.5370282496397312,0.6169114433802091,0.6917134213906069,1.3699722014940703,1.3147056675239985,0.7638178796400665,0.39369056021919835,0.6779450426106396,2.8158018570172456,1.1628138348717876,2.8158018570172456,shared4,2,normalized_delta,128
6,0.6753657872860248,1.155180218191486,0.6694428508098309,0.2510237796948506,1.317732389156635,0.5249888828167548,0.6077181353018835,0.675365796742531,1.317732389156635,1.3067629318463472,0.7350657698311824,0.3951808058844489,0.6798139697478223,2.810660304288148,1.1551802124379003,2.810660304288148,shared4,2,normalized_delta,128
7,0.6632841091889602,1.1484370740506018,0.6557393349134005,0.24781990739015433,1.3082232200182402,0.494890503012217,0.6022027662167182,0.6632840991593324,1.3082232200182402,1.3035838545075518,0.6996733462916532,0.3877725524923547,0.6884054476800172,2.81789695062185,1.1484370742714687,2.81789695062185,shared4,2,normalized_delta,128
8,0.6552884578704834,1.1398072994273643,0.6467296251883874,0.24540511002907386,1.2902316038425152,0.4811856666436562,0.6043314223106091,0.6552884507064636,1.2902316038425152,1.2948323483523645,0.6794239914876671,0.38305175721115275,0.6860270570860549,2.810726402540923,1.1398073020814494,2.810726402540923,shared4,2,normalized_delta,128
9,0.638206422328949,1.1328326475478916,0.6300746477567233,0.24064717728358048,1.2778575695477998,0.45922497602609486,0.5750959813594818,0.6382064260542393,1.2778575695477998,1.2901168204107774,0.6522156363831678,0.3737237381605292,0.6868531944841264,2.818538009178026,1.1328326445514625,2.818538009178026,shared4,2,normalized_delta,128
10,0.6134218848668612,1.1150495285102031,0.6076121376110957,0.22305369147887597,1.2722421517738929,0.43971371994568753,0.5186779636603135,0.6134218817146925,1.2722421517738929,1.2704360638211367,0.6284286190751984,0.3541118284694762,0.6764332576113727,2.801224422549071,1.1150495319262794,2.801224422549071,shared4,2,normalized_delta,128
11,0.5803570953699259,1.103790875951292,0.5775270003538865,0.21231646491931036,1.2703395623427172,0.4039766685320781,0.4347956914168138,0.5803570968027298,1.2703395623427172,1.258755086910112,0.5885219682641181,0.34571701984690584,0.6899113984918406,2.791013114537175,1.1037908752850099,2.791013114537175,shared4,2,normalized_delta,128
12,0.5541584102007059,1.108384880388207,0.5526206034880418,0.215221942617343,1.2535155553084154,0.3692845690708894,0.37861153941888076,0.5541584016038822,1.2535155553084154,1.2643632427034641,0.5489405683966965,0.36522108356177574,0.7228811155901596,2.7964967755460926,1.108384885773681,2.7964967755460926,shared4,2,normalized_delta,128
