epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.95157559466362,0.762940194234252,0.95157559466362,0.0006523292702622712,1.1708848147392272,0.732266375541687,0.762940194234252,0.0005256393720483174,0.6119947311069284,0.9060221952164457,0.52582606983354,0.7435611941150473,40.0,0.4208236049771615,0.24951343749606425,0.4208236049771615,0.24951343749606425,0.24951343749606425,0.5921337724582587,0.24951343749606425,0.5921337724582587,0.52582606983354,06b 4D reconstruction,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
2,0.6566715836524963,0.6101515914797783,0.6566715836524963,0.0004534641394857317,0.8049466500282287,0.5083965176343918,0.6101515914797783,0.00042070608543872366,0.5076592322143297,0.7069933388441328,0.6492944700609329,0.8151851884861534,40.0,0.5610674849673224,0.41474832283528706,0.5610674849673224,0.41474832283528706,0.41474832283528706,0.7073866470993577,0.41474832283528706,0.7073866470993577,0.6492944700609329,06b 4D reconstruction,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
3,0.5145663621425629,0.5110330066084862,0.5145663621425629,0.0003544670208357275,0.622754940032959,0.40637778317928314,0.5110330066084862,0.0003485256236672285,0.4169526792293976,0.6009987359127354,0.7115565668740378,0.8519919522403797,40.0,0.6399052723437919,0.5212566591442614,0.6399052723437919,0.5212566591442614,0.5212566591442614,0.7585538855433223,0.5212566591442614,0.7585538855433223,0.7115565668740378,06b 4D reconstruction,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
4,0.371659202337265,0.3892276670485735,0.371659202337265,0.00025082532025408,0.4393782594203949,0.303940146625042,0.3892276670485735,0.00025971034526082803,0.30612239903873867,0.46953171639451907,0.840097041274388,0.9181890250070726,40.0,0.7720191462689736,0.6535984028650988,0.7720191462689736,0.6535984028650988,0.6535984028650988,0.8904398896728483,0.6535984028650988,0.8904398896728483,0.840097041274388,06b 4D reconstruction,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
5,0.27769767272472384,0.32122444738447664,0.27769767272472384,0.00018254878930747508,0.3319446712732315,0.2234506724178791,0.32122444738447664,0.00021157712714921218,0.2526782949322036,0.38750438924346653,0.906157167459532,0.9562403537808964,40.0,0.8627110178965043,0.7867280180368061,0.8627110178965043,0.7867280180368061,0.7867280180368061,0.9386940177562023,0.7867280180368061,0.9386940177562023,0.906157167459532,06b 4D reconstruction,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
6,0.23943319362401963,0.29236381737329065,0.23943319362401963,0.00015527236321941017,0.284657723903656,0.19420866444706916,0.29236381737329065,0.0001913210961229197,0.2540092707707709,0.328763955583175,0.9114976705686462,0.9642109883049709,40.0,0.86644065101871,0.787200821802928,0.86644065101871,0.787200821802928,0.787200821802928,0.945680480234492,0.787200821802928,0.945680480234492,0.9114976705686462,06b 4D reconstruction,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
