epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.9578747792243958,0.71690964522399,0.9578747792243958,0.0008597341731656343,0.7005199382305145,1.2152296180725097,0.71690964522399,0.0006485285872495297,0.850453966729609,0.5995332974615315,0.36269570138395024,0.8751384637865256,40.0,0.24973818659260816,0.07178931420568224,0.24973818659260816,0.07178931420568224,0.07178931420568224,0.4276870589795341,0.07178931420568224,0.4276870589795341,0.36269570138395024,2D AE mixed-T exclusion,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
2,0.6657373470067978,0.4729616990275681,0.6657373470067978,0.0006611516361590474,0.36128204441070555,0.970192650794983,0.4729616990275681,0.0005221119069919951,0.5921809544180712,0.36065809469714405,0.7574925411520649,0.9561641626807107,40.0,0.6745274854064008,0.5325848820610557,0.6745274854064008,0.5325848820610557,0.5325848820610557,0.816470088751746,0.5325848820610557,0.816470088751746,0.7574925411520649,2D AE mixed-T exclusion,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
3,0.39227508687973023,0.3129443248733878,0.39227508687973023,0.0004372922572074458,0.24366197180747987,0.5408881973028183,0.3129443248733878,0.0003349732423976093,0.3571855937766414,0.267319661323055,0.8868693196165998,0.9786335766042473,40.0,0.8536169386977428,0.7975204878518175,0.8536169386977428,0.7975204878518175,0.7975204878518175,0.909713389543668,0.7975204878518175,0.909713389543668,0.8868693196165998,2D AE mixed-T exclusion,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
4,0.26407865875959396,0.2654881152380258,0.26407865875959396,0.0002905676772352308,0.15572301805019378,0.3724342992901802,0.2654881152380258,0.0002766312169951561,0.3319983501356864,0.19712617375060087,0.9166310369306561,0.9797817359987968,40.0,0.8525046544293637,0.7376057195315995,0.8525046544293637,0.7376057195315995,0.7376057195315995,0.967403589327128,0.7376057195315995,0.967403589327128,0.9166310369306561,2D AE mixed-T exclusion,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
5,0.21528023785352707,0.24439417080488057,0.21528023785352707,0.00022806954814586788,0.11080392816662789,0.3197565485239029,0.24439417080488057,0.000246143399365792,0.3247344111561746,0.16223483550406637,0.9062919040522799,0.9783060869305958,40.0,0.8469690026062646,0.7415032723352124,0.8469690026062646,0.7415032723352124,0.7415032723352124,0.952434732877317,0.7415032723352124,0.952434732877317,0.9062919040522799,2D AE mixed-T exclusion,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
6,0.18390000939369203,0.23700261823832988,0.18390000939369203,0.00018847363331587986,0.08580846136808395,0.2819915578961372,0.23700261823832988,0.00023483882608707062,0.3354766681967747,0.1374318784782811,0.8970074329840017,0.9744171534856142,40.0,0.8395724574991776,0.738074488930309,0.8395724574991776,0.738074488930309,0.738074488930309,0.9410704260680463,0.738074488930309,0.9410704260680463,0.8970074329840017,2D AE mixed-T exclusion,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
