epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,val_ae_p_ratio_r2_step_100,val_ae_source_depablo_low_temp_p_ratio_r2_step_100,val_ae_source_depablo_low_temp_position_mse_step_100,val_ae_source_depablo_low_temp_p_ratio_r2_sum_100,val_ae_source_lj_noisy_p_ratio_r2_step_100,val_ae_source_lj_noisy_position_mse_step_100,val_ae_source_lj_noisy_p_ratio_r2_sum_100,val_ae_source_reid_p_ratio_r2_step_100,val_ae_source_reid_position_mse_step_100,val_ae_source_reid_p_ratio_r2_sum_100,val_ae_mean_source_p_ratio_r2_step_100,val_ae_min_source_p_ratio_r2_sum_100,dataset,latent_dim,target_mode,hidden_size
1,0.7129760640232187,0.6046683002655443,0.7129760640232187,0.6763309230145655,0.9093801722714775,0.5243382912717367,0.7033497955192599,0.9093801722714775,0.6046683002655443,0.3716251142031979,0.6940663457498886,0.7692810560110956,0.6116575053213941,0.7692810560110956,-0.010683635531753222,-0.21539242721937346,1.1759056513938049e-05,-0.21539242721937346,-22.55488604424926,1.8744360704658903e-05,-22.55488604424926,0.026328228709722734,1.1426037326600636e-05,0.026328228709722734,-7.581316747586303,-22.55488604424926,2D AE mixed-T exclusion,2,normalized_delta,96
2,0.5454336236966284,0.5442093724826057,0.5454336236966284,0.5193816289305687,0.7220275565981865,0.358318110124061,0.533242431884272,0.7220275565981865,0.5442093724826057,0.30464649363420904,0.6619096965441713,0.6799930597189814,0.5488497499657873,0.6799930597189814,0.03361153920890314,-0.17151165922489797,9.603776982203272e-06,-0.17151165922489797,-24.046850886220213,1.4205199158823234e-05,-24.046850886220213,0.4417096124887889,1.0621453282055881e-05,0.4417096124887889,-7.925550977652107,-24.046850886220213,2D AE mixed-T exclusion,2,normalized_delta,96
3,0.4829789553033678,0.4344215818631806,0.4829789553033678,0.4391997690263547,0.6725729388625998,0.3159403916252287,0.4759043665047278,0.6725729388625998,0.4344215818631806,0.33125744783319533,0.33535415257210843,0.6619882198865525,0.4428666067639521,0.6619882198865525,0.44108008353745565,0.5759581653326685,8.978280345672828e-06,0.5759581653326685,-18.02384952705754,1.8794241259456613e-05,-18.02384952705754,0.4453779852482965,9.941469988916651e-06,0.4453779852482965,-5.667504458825525,-18.02384952705754,2D AE mixed-T exclusion,2,normalized_delta,96
4,0.3714585287006278,0.3820745815032799,0.3714585287006278,0.27030059867783596,0.5559683284477184,0.32738476901462205,0.3845512320467255,0.5559683284477184,0.3820745815032799,0.3434856806998141,0.29934001463698223,0.522905278718099,0.38857699135163176,0.522905278718099,0.6198010502962383,0.7331881747247175,8.825851057281398e-06,0.7331881747247175,-9.00949780773865,1.602215120328765e-05,-9.00949780773865,0.1541177393747406,1.0195452671268867e-05,0.1541177393747406,-2.7073972978797314,-9.00949780773865,2D AE mixed-T exclusion,2,normalized_delta,96
5,0.34852668094007594,0.3655659001663719,0.34852668094007594,0.25900186927695024,0.5057710813064324,0.3185982828077517,0.3611237444637115,0.5057710813064324,0.3655659001663719,0.3391364742710721,0.2813245795550756,0.4966209077392705,0.3723606538551394,0.4966209077392705,0.6442125800679469,0.7714083564822618,9.503916703579308e-06,0.7714083564822618,-7.361208095881606,1.665979339122714e-05,-7.361208095881606,0.0020931613409218564,1.1063148485845887e-05,0.0020931613409218564,-2.195902192686141,-7.361208095881606,2D AE mixed-T exclusion,2,normalized_delta,96
6,0.337493706847492,0.35380965321520835,0.337493706847492,0.25633713171670314,0.4811574443390495,0.3133079868006079,0.3502675209521202,0.4811574443390495,0.35380965321520835,0.3233871960401302,0.27218519978487166,0.4860669130575843,0.3605464362941954,0.4860669130575843,0.6675286703859682,0.8004472151969839,8.363305255443265e-06,0.8004472151969839,-8.601576345802432,1.6372987784052383e-05,-8.601576345802432,0.2624704388386261,9.622779373330559e-06,0.2624704388386261,-2.5128862305889403,-8.601576345802432,2D AE mixed-T exclusion,2,normalized_delta,96
7,0.3257322127881803,0.3265354571765975,0.3257322127881803,0.24753361073763747,0.45884726284758043,0.3074476137365166,0.3379428291072448,0.45884726284758043,0.3265354571765975,0.3068761670147069,0.23359094643092249,0.4555550892255269,0.33200740089038544,0.4555550892255269,0.7680409893599263,0.8574419896636126,7.248905262713379e-06,0.8574419896636126,-4.651837150449833,1.4231942532205722e-05,-4.651837150449833,0.3549528228246768,8.938748794662388e-06,0.3549528228246768,-1.1464807793205145,-4.651837150449833,2D AE mixed-T exclusion,2,normalized_delta,96
8,0.252796981758193,0.24188566436182315,0.252796981758193,0.1769008057290002,0.374440797692851,0.24682013768898814,0.26605391370361314,0.374440797692851,0.24188566436182315,0.2380856343843334,0.15070629743786412,0.34759052032313775,0.2454608173817784,0.34759052032313775,0.9531724641598129,0.9538598303798901,3.6204569624942453e-06,0.9538598303798901,-0.02883655737382118,1.089823258553224e-05,-0.02883655737382118,0.9125083111807044,9.570651616286342e-06,0.9125083111807044,0.6125105280622578,-0.02883655737382118,2D AE mixed-T exclusion,2,normalized_delta,96
9,0.20046112572676258,0.2317874297867284,0.20046112572676258,0.12362499762522547,0.33165612907001846,0.18712258560484962,0.21413457076669784,0.33165612907001846,0.2317874297867284,0.21761401733238017,0.14741492934990674,0.3408805023645982,0.23530314968229504,0.3408805023645982,0.9426773314944672,0.912039221189889,3.394053760530369e-06,0.912039221189889,0.013903151147804271,9.512722840554488e-06,0.013903151147804271,0.9609151898703573,7.5245728169193175e-06,0.9609151898703573,0.6289525207360168,0.013903151147804271,2D AE mixed-T exclusion,2,normalized_delta,96
10,0.18977204949447984,0.22306553942984655,0.18977204949447984,0.109700899884889,0.3258965503620474,0.17761373451273693,0.20440372825322442,0.3258965503620474,0.22306553942984655,0.21040858826745534,0.13105663023452507,0.33861343072203454,0.22669288307467164,0.33861343072203454,0.952842389777018,0.9343800510979193,3.175173208092019e-06,0.9343800510979193,0.11769291344521471,9.001570379041369e-06,0.11769291344521471,0.9549723641655959,7.3614639063634965e-06,0.9549723641655959,0.6690151095695768,0.11769291344521471,2D AE mixed-T exclusion,2,normalized_delta,96
