epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_depablo_mixed_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_depablo_low_temp_reconstruction,val_source_reid_reconstruction,val_source_depablo_mixed_temp_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.9913902819156647,1.4687929024821833,1.0106148064136504,0.5832241714000702,1.581558883190155,0.8093877971172333,0.9913902839024861,1.581558883190155,1.6355448095422043,0.9003094069267574,0.6816353496752288,2.824433949432875,1.4687929020116204,2.824433949432875,shared3,2,normalized_delta,128
2,0.963307362794876,1.4374278758701524,0.976798141002655,0.5555682271718979,1.5333160042762757,0.8010379046201705,0.9633073786894482,1.5333160042762757,1.6034933234515942,0.8665871941729596,0.6514503866434097,2.794246060597269,1.4374278804712128,2.794246060597269,shared3,2,normalized_delta,128
3,0.9221445918083191,1.3986532537560714,0.9373223721981049,0.5120897948741913,1.4881597638130188,0.766184276342392,0.922144611676534,1.4881597638130188,1.5639586216525028,0.8248412129126097,0.6140194252917641,2.757099118671919,1.3986532522920978,2.757099118671919,shared3,2,normalized_delta,128
4,0.8791189014911651,1.3445013576432279,0.8904466986656189,0.44907061010599136,1.4376054167747498,0.750680661201477,0.8791188960274061,1.4376054167747498,1.5090415148358596,0.7664634007372354,0.5612095246973791,2.7058311340055967,1.3445013531467371,2.7058311340055967,shared3,2,normalized_delta,128
5,0.8218301653861999,1.2568663515542682,0.8352775633335113,0.3928628534078598,1.402022159099579,0.6706055134534836,0.8218301753203074,1.402022159099579,1.4220701349409004,0.6723475137823507,0.47133767573457014,2.626913877537376,1.2568663556847657,2.626913877537376,shared3,2,normalized_delta,128
6,0.7192432284355164,1.222596947456661,0.7315563440322876,0.27420374006032944,1.299057412147522,0.584468537569046,0.7192432299256325,1.299057412147522,1.4084547140096364,0.6420771407453637,0.380143462278341,2.6455702151122846,1.222596939378663,2.6455702151122846,shared3,2,normalized_delta,128
7,0.6725408732891083,1.197719427158958,0.686275053024292,0.23024400621652602,1.2616453528404237,0.5257332175970078,0.6725408588846525,1.2616453528404237,1.377227046615199,0.6123094845759242,0.3759347661545402,2.6049140501963466,1.1977194336422703,2.6049140501963466,shared3,2,normalized_delta,128
8,0.6696457326412201,1.1922683104088432,0.6799677610397339,0.21457223296165467,1.2428494930267333,0.55151546895504,0.6696457316478094,1.2428494930267333,1.3722607051071367,0.6076519369294769,0.36811487784511165,2.601038122804541,1.1922683125263767,2.601038122804541,shared3,2,normalized_delta,128
9,0.6522755146026611,1.1888135276342693,0.6656064748764038,0.20720906108617781,1.2407302737236023,0.508887243270874,0.6522755260268848,1.2407302737236023,1.3708089784572,0.6059562341163033,0.357429980055282,2.6030543662999808,1.1888135268238553,2.6030543662999808,shared3,2,normalized_delta,128
10,0.6468672931194306,1.1834196589495007,0.6599067866802215,0.20268831849098207,1.2315181851387025,0.5063953325152397,0.6468672787149747,1.2315181851387025,1.365833668959768,0.5990567728877068,0.35063783259768233,2.6005643904209137,1.183419665302101,2.6005643904209137,shared3,2,normalized_delta,128
11,0.6393136262893677,1.1776206477692253,0.6525262236595154,0.19446010738611222,1.226568627357483,0.49691213518381117,0.6393136233091354,1.226568627357483,1.361101701071388,0.5920923928681173,0.3408534744852468,2.599916091247609,1.177620652866991,2.599916091247609,shared3,2,normalized_delta,128
12,0.6207433938980103,1.1675215984645644,0.6354257762432098,0.1964326560497284,1.208170998096466,0.45762647688388824,0.6207433770100276,1.208170998096466,1.3514572391384527,0.5781633416288777,0.32629992350151665,2.598101534812074,1.1675215999808228,2.598101534812074,shared3,2,normalized_delta,128
13,0.598511528968811,1.161835398015223,0.6149899780750274,0.17360488176345826,1.192673909664154,0.42925580143928527,0.5985115309556326,1.192673909664154,1.3473237238432232,0.5669047299968569,0.31118958796325485,2.6074118814970317,1.1618353998190478,2.6074118814970317,shared3,2,normalized_delta,128
14,0.589999669790268,1.184483793221022,0.6063786447048187,0.1694186583161354,1.197030985355377,0.4035494074225426,0.5899996836980184,1.197030985355377,1.380496586310236,0.55607995806556,0.3086271201309405,2.6887443144070473,1.184483797534516,2.6887443144070473,shared3,2,normalized_delta,128
15,0.567702117562294,1.2019078704871629,0.583727365732193,0.15342957004904748,1.1604864835739135,0.3891902655363083,0.567702106386423,1.1604864835739135,1.4053308192052338,0.5494495418510938,0.3076385836852224,2.748635488121133,1.2019078712191498,2.748635488121133,shared3,2,normalized_delta,128
16,0.56449676156044,1.2028142384792628,0.5818457901477814,0.14284488633275033,1.1770010828971862,0.3736442893743515,0.564496752868096,1.1770010828971862,1.4076597789400502,0.5455451956705043,0.308763375133276,2.754134146633901,1.2028142391458938,2.754134146633901,shared3,2,normalized_delta,128
17,0.5544335454702377,1.1848991094451202,0.5731899559497833,0.13137337937951088,1.1773996710777284,0.3545276015996933,0.5544335506856441,1.1773996710777284,1.3843467746910296,0.5410046422167828,0.3069349084637667,2.7067577743216567,1.1848991083340688,2.7067577743216567,shared3,2,normalized_delta,128
