variant,latent_dim,seed,smoke,retry,code_version,job_id,run_directory,status,completed_json,source_summary,log,failure_artifact
single_stage,2,2026,False,False,code_v5,4670413.zeus-master,single_stage_d2_s2026_code_v5,complete,True,True,job_logs/4670413.zeus-master.zeus-master.log,False
single_stage,8,3456456,False,False,code_v5,4670415.zeus-master,single_stage_d8_s3456456_code_v5,complete,True,True,job_logs/4670415.zeus-master.zeus-master.log,False
single_stage,8,123,False,False,code_v5,4670417.zeus-master,single_stage_d8_s123_code_v5,failed_or_incomplete,False,False,job_logs/4670417.zeus-master.zeus-master.log,False
single_stage,8,456,False,False,code_v5,4670419.zeus-master,single_stage_d8_s456_code_v5,failed_or_incomplete,False,False,job_logs/4670419.zeus-master.zeus-master.log,False
single_stage,8,786,False,False,code_v5,4670421.zeus-master,single_stage_d8_s786_code_v5,failed_or_incomplete,False,False,job_logs/4670421.zeus-master.zeus-master.log,False
single_stage,8,2026,False,False,code_v5,4670423.zeus-master,single_stage_d8_s2026_code_v5,complete,True,True,job_logs/4670423.zeus-master.zeus-master.log,False
mp2,2,2026,False,False,code_v5,4670374.zeus-master,,superseded_submission,,,,
mp2,8,3456456,False,False,code_v5,4670376.zeus-master,,superseded_submission,,,,
mp2,8,123,False,False,code_v5,4670378.zeus-master,,superseded_submission,,,,
mp2,8,456,False,False,code_v5,4670380.zeus-master,,superseded_submission,,,,
mp2,8,786,False,False,code_v5,4670382.zeus-master,,superseded_submission,,,,
mp2,8,2026,False,False,code_v5,4670384.zeus-master,,superseded_submission,,,,
mp4,2,3456456,False,False,code_v5,4670386.zeus-master,,superseded_submission,,,,
mp4,2,123,False,False,code_v5,4670388.zeus-master,,superseded_submission,,,,
mp4,2,456,False,False,code_v5,4670390.zeus-master,,superseded_submission,,,,
mp4,2,786,False,False,code_v5,4670392.zeus-master,,superseded_submission,,,,
mp4,2,2026,False,False,code_v5,4670394.zeus-master,,superseded_submission,,,,
mp4,8,3456456,False,False,code_v5,4670396.zeus-master,,superseded_submission,,,,
mp4,8,123,False,False,code_v5,4670398.zeus-master,,superseded_submission,,,,
mp4,8,456,False,False,code_v5,4670400.zeus-master,,superseded_submission,,,,
mp4,8,786,False,False,code_v5,4670402.zeus-master,,superseded_submission,,,,
mp4,8,2026,False,False,code_v5,4670404.zeus-master,,superseded_submission,,,,
single_stage,2,3456456,False,False,code_v5,4670406.zeus-master,,superseded_submission,,,,
single_stage,2,123,False,False,code_v5,4670408.zeus-master,,superseded_submission,,,,
single_stage,2,456,False,False,code_v5,4670410.zeus-master,,superseded_submission,,,,
single_stage,2,786,False,False,code_v5,4670412.zeus-master,,superseded_submission,,,,
single_stage,2,2026,False,False,code_v5,4670414.zeus-master,,superseded_submission,,,,
single_stage,8,3456456,False,False,code_v5,4670416.zeus-master,,superseded_submission,,,,
single_stage,8,123,False,False,code_v5,4670418.zeus-master,,superseded_submission,,,,
single_stage,8,456,False,False,code_v5,4670420.zeus-master,,superseded_submission,,,,
single_stage,8,786,False,False,code_v5,4670422.zeus-master,,superseded_submission,,,,
single_stage,8,2026,False,False,code_v5,4670424.zeus-master,,superseded_submission,,,,
