epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.5650582271541158,0.9435689916610718,0.5653873572150866,0.5650582271541158,0.5650582271541158,0.5650582271541158,0.9086167466044426,0.9435689916610718,0.9435689916610718,0.9435689916610718,noisy-LJ only,4,normalized_delta,96
2,0.4390965991417567,0.7739118020534516,0.4376656459122896,0.4390965991417567,0.4390965991417567,0.4390965991417567,0.7475180847644806,0.7739118020534516,0.7739118020534516,0.7739118020534516,noisy-LJ only,4,normalized_delta,96
3,0.35429674847920734,0.6382580701708793,0.35358065102249386,0.35429674847920734,0.35429674847920734,0.35429674847920734,0.624489060640335,0.6382580701708793,0.6382580701708793,0.6382580701708793,noisy-LJ only,4,normalized_delta,96
4,0.33599597829331956,0.5551568874418735,0.3354048459157348,0.33599597829331956,0.33599597829331956,0.33599597829331956,0.5460252993702889,0.5551568874418735,0.5551568874418735,0.5551568874418735,noisy-LJ only,4,normalized_delta,96
5,0.33088387143363557,0.504976153254509,0.33033111740648746,0.33088387143363557,0.33088387143363557,0.33088387143363557,0.4978231779336929,0.504976153254509,0.504976153254509,0.504976153254509,noisy-LJ only,4,normalized_delta,96
6,0.3259410656367739,0.4626919463574886,0.3254186756486694,0.3259410656367739,0.3259410656367739,0.3259410656367739,0.45678544971346857,0.4626919463574886,0.4626919463574886,0.4626919463574886,noisy-LJ only,4,normalized_delta,96
7,0.3219164077987274,0.4275394938439131,0.3213499559350312,0.3219164077987274,0.3219164077987274,0.3219164077987274,0.4223024527132511,0.4275394938439131,0.4275394938439131,0.4275394938439131,noisy-LJ only,4,normalized_delta,96
8,0.3186780410632491,0.40504197619855403,0.31805348535006245,0.3186780410632491,0.3186780410632491,0.3186780410632491,0.40020626126229764,0.40504197619855403,0.40504197619855403,0.40504197619855403,noisy-LJ only,4,normalized_delta,96
9,0.3161303674429655,0.3886962677538395,0.31547046253209315,0.3161303674429655,0.3161303674429655,0.3161303674429655,0.38439712361991407,0.3886962677538395,0.3886962677538395,0.3886962677538395,noisy-LJ only,4,normalized_delta,96
10,0.31392555927857757,0.3733046569675207,0.3132472785823047,0.31392555927857757,0.31392555927857757,0.31392555927857757,0.36967454460263255,0.3733046569675207,0.3733046569675207,0.3733046569675207,noisy-LJ only,4,normalized_delta,96
11,0.31194225458304087,0.36892688302695753,0.31125440705443425,0.31194225458304087,0.31194225458304087,0.31194225458304087,0.3651327030956745,0.36892688302695753,0.36892688302695753,0.36892688302695753,noisy-LJ only,4,normalized_delta,96
12,0.3101539189219475,0.36196676425635815,0.30945433893054725,0.3101539189219475,0.3101539189219475,0.3101539189219475,0.358201611623168,0.36196676425635815,0.36196676425635815,0.36196676425635815,noisy-LJ only,4,normalized_delta,96
13,0.308319906146576,0.35631499433517455,0.3076155272834003,0.308319906146576,0.308319906146576,0.308319906146576,0.35248172202706335,0.35631499433517455,0.35631499433517455,0.35631499433517455,noisy-LJ only,4,normalized_delta,96
14,0.3064757447217902,0.34905367277562616,0.30577520994717877,0.3064757447217902,0.3064757447217902,0.3064757447217902,0.3452452651709318,0.34905367277562616,0.34905367277562616,0.34905367277562616,noisy-LJ only,4,normalized_delta,96
15,0.3045067500770092,0.3411957129985094,0.30381322399526833,0.3045067500770092,0.3045067500770092,0.3045067500770092,0.33752506905794144,0.3411957129985094,0.3411957129985094,0.3411957129985094,noisy-LJ only,4,normalized_delta,96
16,0.30243495864483216,0.33372005639970304,0.30175223950482905,0.30243495864483216,0.30243495864483216,0.30243495864483216,0.33023803296685217,0.33372005639970304,0.33372005639970304,0.33372005639970304,noisy-LJ only,4,normalized_delta,96
17,0.3002835820820183,0.3271751301586628,0.2996166533318659,0.3002835820820183,0.3002835820820183,0.3002835820820183,0.3238892492651939,0.3271751301586628,0.3271751301586628,0.3271751301586628,noisy-LJ only,4,normalized_delta,96
18,0.2980090300596009,0.3217784960716963,0.2973630999804785,0.2980090300596009,0.2980090300596009,0.2980090300596009,0.3186830386966467,0.3217784960716963,0.3217784960716963,0.3217784960716963,noisy-LJ only,4,normalized_delta,96
19,0.29555069967110953,0.31756025217473505,0.29492977694235745,0.29555069967110953,0.29555069967110953,0.29555069967110953,0.314642422914505,0.31756025217473505,0.31756025217473505,0.31756025217473505,noisy-LJ only,4,normalized_delta,96
20,0.2928417848975708,0.31449526900053026,0.2922478236053139,0.2928417848975708,0.2928417848975708,0.2928417848975708,0.3117225044667721,0.31449526900053026,0.31449526900053026,0.31449526900053026,noisy-LJ only,4,normalized_delta,96
21,0.28983897205193837,0.31223987564444544,0.28927718163095417,0.28983897205193837,0.28983897205193837,0.28983897205193837,0.3095396833717823,0.31223987564444544,0.31223987564444544,0.31223987564444544,noisy-LJ only,4,normalized_delta,96
22,0.28668861245488125,0.30986747170984746,0.2861670771682014,0.28668861245488125,0.28668861245488125,0.28668861245488125,0.30722146785259247,0.30986747170984746,0.30986747170984746,0.30986747170984746,noisy-LJ only,4,normalized_delta,96
23,0.28363084451605874,0.3076204557791352,0.2831512766927481,0.28363084451605874,0.28363084451605874,0.28363084451605874,0.3050097839161754,0.3076204557791352,0.3076204557791352,0.3076204557791352,noisy-LJ only,4,normalized_delta,96
24,0.2808950123017033,0.3060816969871521,0.2804530439314743,0.2808950123017033,0.2808950123017033,0.2808950123017033,0.3034830217659473,0.3060816969871521,0.3060816969871521,0.3060816969871521,noisy-LJ only,4,normalized_delta,96
25,0.2786989819078396,0.30535787020623684,0.27828416453674437,0.2786989819078396,0.2786989819078396,0.2786989819078396,0.30276550153642895,0.30535787020623684,0.30535787020623684,0.30535787020623684,noisy-LJ only,4,normalized_delta,96
26,0.2769309532220165,0.3048976650238037,0.2765362470963349,0.2769309532220165,0.2769309532220165,0.2769309532220165,0.30230810698121785,0.3048976650238037,0.3048976650238037,0.3048976650238037,noisy-LJ only,4,normalized_delta,96
27,0.2754543681790431,0.30399778174608943,0.27507586194761097,0.2754543681790431,0.2754543681790431,0.2754543681790431,0.30140562595427034,0.30399778174608943,0.30399778174608943,0.30399778174608943,noisy-LJ only,4,normalized_delta,96
28,0.27428632964380084,0.3029788788333535,0.2739186336838951,0.27428632964380084,0.27428632964380084,0.27428632964380084,0.3003778280541301,0.3029788788333535,0.3029788788333535,0.3029788788333535,noisy-LJ only,4,normalized_delta,96
29,0.27336288860440255,0.3017712121680379,0.2730021193288267,0.27336288860440255,0.27336288860440255,0.27336288860440255,0.29915810292214157,0.3017712121680379,0.3017712121680379,0.3017712121680379,noisy-LJ only,4,normalized_delta,96
30,0.27264207299053667,0.3003464008271694,0.2722854217110823,0.27264207299053667,0.27264207299053667,0.27264207299053667,0.2977205383554101,0.3003464008271694,0.3003464008271694,0.3003464008271694,noisy-LJ only,4,normalized_delta,96
31,0.27205000272082785,0.2989586988203228,0.27169596481882036,0.27205000272082785,0.27205000272082785,0.27205000272082785,0.29631960087269543,0.2989586988203228,0.2989586988203228,0.2989586988203228,noisy-LJ only,4,normalized_delta,96
32,0.2715522953836868,0.2977059290334582,0.2712000462145855,0.2715522953836868,0.2715522953836868,0.2715522953836868,0.2950535986199975,0.2977059290334582,0.2977059290334582,0.2977059290334582,noisy-LJ only,4,normalized_delta,96
33,0.27112139025206367,0.2966073577515781,0.2707704449997594,0.27112139025206367,0.27112139025206367,0.27112139025206367,0.2939419356919825,0.2966073577515781,0.2966073577515781,0.2966073577515781,noisy-LJ only,4,normalized_delta,96
34,0.27073053805778424,0.29567571116983893,0.270380701225251,0.27073053805778424,0.27073053805778424,0.27073053805778424,0.29299607587605714,0.29567571116983893,0.29567571116983893,0.29567571116983893,noisy-LJ only,4,normalized_delta,96
35,0.27036256015983723,0.29483652555942536,0.2700135185668866,0.27036256015983723,0.27036256015983723,0.27036256015983723,0.29214182623103263,0.29483652555942536,0.29483652555942536,0.29483652555942536,noisy-LJ only,4,normalized_delta,96
36,0.27001063905904693,0.29403071953356263,0.26966178887337444,0.27001063905904693,0.27001063905904693,0.27001063905904693,0.2913228034004569,0.29403071953356263,0.29403071953356263,0.29403071953356263,noisy-LJ only,4,normalized_delta,96
37,0.26965708743718764,0.293245588157326,0.2693085243180394,0.26965708743718764,0.26965708743718764,0.26965708743718764,0.290527618214488,0.293245588157326,0.293245588157326,0.293245588157326,noisy-LJ only,4,normalized_delta,96
38,0.26928389114762347,0.29243515852466223,0.26893591808217265,0.26928389114762347,0.26928389114762347,0.26928389114762347,0.2897103175185621,0.29243515852466223,0.29243515852466223,0.29243515852466223,noisy-LJ only,4,normalized_delta,96
39,0.26887836305672924,0.2915863869264722,0.2685318269729614,0.26887836305672924,0.26887836305672924,0.26887836305672924,0.28885804606601595,0.2915863869264722,0.2915863869264722,0.2915863869264722,noisy-LJ only,4,normalized_delta,96
40,0.2684738500416279,0.2905581465736031,0.26813176772929725,0.2684738500416279,0.2684738500416279,0.2684738500416279,0.28783637799322603,0.2905581465736031,0.2905581465736031,0.2905581465736031,noisy-LJ only,4,normalized_delta,96
41,0.2679669807851315,0.2889791178628802,0.2676371261452635,0.2679669807851315,0.2679669807851315,0.2679669807851315,0.2862717046439648,0.2889791178628802,0.2889791178628802,0.2889791178628802,noisy-LJ only,4,normalized_delta,96
42,0.26726039016184705,0.28725991207361223,0.2669458738509566,0.26726039016184705,0.26726039016184705,0.26726039016184705,0.28455113315582276,0.28725991207361223,0.28725991207361223,0.28725991207361223,noisy-LJ only,4,normalized_delta,96
43,0.26633447951326766,0.2859394716396928,0.2660321077120801,0.26633447951326766,0.26633447951326766,0.26633447951326766,0.28321608728170394,0.2859394716396928,0.2859394716396928,0.2859394716396928,noisy-LJ only,4,normalized_delta,96
44,0.26539705001811187,0.28482125551998616,0.2651028490147243,0.26539705001811187,0.26539705001811187,0.26539705001811187,0.2820933453887701,0.28482125551998616,0.28482125551998616,0.28482125551998616,noisy-LJ only,4,normalized_delta,96
45,0.2644945642929524,0.2840298804417253,0.26420567485752205,0.2644945642929524,0.2644945642929524,0.2644945642929524,0.2813000843152404,0.2840298804417253,0.2840298804417253,0.2840298804417253,noisy-LJ only,4,normalized_delta,96
46,0.26365719179064034,0.2837994902804494,0.26337322032513716,0.26365719179064034,0.26365719179064034,0.26365719179064034,0.28106044406443836,0.2837994902804494,0.2837994902804494,0.2837994902804494,noisy-LJ only,4,normalized_delta,96
47,0.2629248945694417,0.284071374759078,0.262650378777956,0.2629248945694417,0.2629248945694417,0.2629248945694417,0.2813079399392009,0.284071374759078,0.284071374759078,0.284071374759078,noisy-LJ only,4,normalized_delta,96
48,0.262385919664676,0.2848339413478971,0.2621263621772329,0.262385919664676,0.262385919664676,0.262385919664676,0.28202193954586985,0.2848339413478971,0.2848339413478971,0.2848339413478971,noisy-LJ only,4,normalized_delta,96
