epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_depablo_mixed_temp_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.7246971936899711,0.718373185774412,0.7246971936899711,0.21499294463707053,0.0,0.7259582374689348,0.9954194949384321,0.6277009429325138,0.5497100994200037,0.718373185774412,0.16763868182897568,0.0,0.5343524721953806,0.790835562210784,1.018813910064372,0.529490798627111,,,,,,,,,,,,,,,,,1,8,1,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
2,0.6942859754226735,0.6493807583233071,0.6942859754226735,0.21727322495501974,0.0,0.7155438414188265,0.9983930006466414,0.5358318635873627,0.5273751960378631,0.6493807583233071,0.16712852301342146,0.0,0.5135057162152159,0.7678149016822731,1.0158142260360448,0.3003881893596951,0.024938150321383468,0.4658577573089841,80.0,-0.6100910147354254,-1.1349001593047454,-0.6100910147354254,-1.1349001593047454,-0.25363764129891386,-0.6217370157083313,-0.43008924262971093,-1.1349001593047454,-0.25363764129891386,-0.6217370157083313,-0.43008924262971093,-1.1349001593047454,0.024938150321383468,1,8,2,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
3,0.6598565298987843,0.6065556461822283,0.6598565298987843,0.21519551782504373,0.0,0.6711796914072495,0.9845697104721739,0.5107399001207791,0.47293681759493456,0.6065556461822283,0.16418995122824395,0.0,0.4473793227225542,0.7127773626876825,0.9912557430396026,0.2748101562790742,,,,,,,,,,,,,,,,,1,8,3,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
4,0.6222964057980693,0.5657695403261724,0.6222964057980693,0.22126062797463458,0.0,0.6123140966045882,0.962828304443443,0.4925820079034096,0.4214612142408365,0.5657695403261724,0.16439208654420717,0.0,0.3823680208784274,0.5754230536435816,0.9865417825396765,0.3187453042430041,0.41745272039727055,0.6573908357687956,80.0,0.02207001892306551,-0.3769301489943002,0.02207001892306551,-0.3769301489943002,0.3040865262320579,0.12533613038887692,0.03578756806562744,-0.3769301489943002,0.3040865262320579,0.12533613038887692,0.03578756806562744,-0.3769301489943002,0.41745272039727055,1,8,4,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
5,0.5712582403956707,0.5522212094465926,0.5712582403956707,0.21749663158603336,0.0,0.5003349982463476,0.9596644055738783,0.48587451564090883,0.3391590421215484,0.5522212094465926,0.1671509529863085,0.0,0.3349235853222622,0.5164562746649608,0.997246298498728,0.36025867930041966,,,,,,,,,,,,,,,,,1,8,5,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
6,0.5376529959339257,0.5200580261527649,0.5376529959339257,0.21968087424402652,0.0,0.4147583318890579,0.9654663948322597,0.47836576960490723,0.2920214874094777,0.5200580261527649,0.16819540890199797,0.0,0.2961618873163719,0.4772449158043442,1.0078922793269158,0.2989330221634274,0.47249793581924426,0.6924214128917635,80.0,-0.02300331349544768,-0.7741215007714655,-0.02300331349544768,-0.7741215007714655,0.31169527036022726,0.339161391237671,0.03125158519177651,-0.7741215007714655,0.31169527036022726,0.339161391237671,0.03125158519177651,-0.7741215007714655,0.47249793581924426,1,8,6,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
7,0.5172211586669079,0.49251971669554306,0.5172211586669079,0.2235322128171506,0.0,0.38501516409014075,0.9732253857558234,0.4618946057904446,0.24874947903122296,0.49251971669554306,0.16759397940976278,0.0,0.2667156501125481,0.4115268606414082,1.0057189669714055,0.28611738905681044,,,,,,,,,,,,,,,,,1,8,7,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
8,0.4908411927366213,0.49196410838915405,0.4908411927366213,0.22156175387942273,0.0,0.3284016604108834,0.9768699083621042,0.4362257771686602,0.22186742500483728,0.49196410838915405,0.16682925820350647,0.0,0.25581070339910433,0.39900312407460825,1.0320547776296736,0.28098782845323017,0.569953188997943,0.7572547452708729,80.0,0.1198233839924846,-0.6297522123103017,0.1198233839924846,-0.6297522123103017,0.42566866161809713,0.45838511677830296,0.22499196988383996,-0.6297522123103017,0.42566866161809713,0.45838511677830296,0.22499196988383996,-0.6297522123103017,0.569953188997943,1,8,8,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
9,0.4673152725589605,0.4849294606514212,0.4673152725589605,0.21962080118448837,0.0,0.29748491817166245,0.9983050320650402,0.3643691214506531,0.20910201854848615,0.4849294606514212,0.16669734248093196,0.0,0.25474024887133223,0.3857433739761208,1.0376622231423178,0.26157199661591385,,,,,,,,,,,,,,,,,1,8,9,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
10,0.4536439096638341,0.4699450670707434,0.4536439096638341,0.21794454429460608,0.0,0.27001661001749566,0.9958125892595241,0.3458819842646552,0.20286445511366127,0.4699450670707434,0.16621779863323485,0.0,0.2501717525121587,0.3508740116977027,1.0356404956430196,0.24309400843009246,0.6669511969911123,0.8184601921282403,80.0,0.2079807911020793,-0.7754577740692821,0.2079807911020793,-0.7754577740692821,0.6317630941189407,0.6511226972691387,0.32449514708952,-0.7754577740692821,0.6317630941189407,0.6511226972691387,0.32449514708952,-0.7754577740692821,0.6669511969911123,1,8,10,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
