epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.456278924329031,0.3618173173691496,0.456278924329031,0.4568517184940367,0.5164778929197131,0.34260665393743805,0.4386454217837293,0.5164778929197131,0.3618173173691496,0.2877192393965781,0.4362298465284862,0.36181135063892916,0.36192014552133117,0.4362298465284862,2D AE mixed-T exclusion,6,normalized_delta,128
2,0.2795298710386029,0.23819920609057849,0.2795298710386029,0.1958577913458775,0.38472630345588466,0.2139738204344763,0.2648526384120795,0.38472630345588466,0.23819920609057849,0.22305730816987443,0.1425511736765896,0.344601042578487,0.23673650814165034,0.344601042578487,2D AE mixed-T exclusion,6,normalized_delta,128
3,0.23143487088845424,0.2317006079362811,0.23143487088845424,0.11077555341788338,0.362852163546674,0.15678243324504654,0.21013671673653464,0.362852163546674,0.2317006079362811,0.21148606746933085,0.13904071717130903,0.3408684138894865,0.2304650661767088,0.3408684138894865,2D AE mixed-T exclusion,6,normalized_delta,128
4,0.2183858127884077,0.22464402852429685,0.2183858127884077,0.10498639519721746,0.3439826107787408,0.1444507431185955,0.1978065830315179,0.3439826107787408,0.22464402852429685,0.2053115648376022,0.1294107665969549,0.3356578904081528,0.22346007394756998,0.3356578904081528,2D AE mixed-T exclusion,6,normalized_delta,128
5,0.2126303511153953,0.22227745021054363,0.2126303511153953,0.10252873578024482,0.33508023610388193,0.14038063682198895,0.19266320290203856,0.33508023610388193,0.22227745021054363,0.2011404329232198,0.12848472956102341,0.33360590293856435,0.2210770218076025,0.33360590293856435,2D AE mixed-T exclusion,6,normalized_delta,128
6,0.20968213423319015,0.2182558742294035,0.20968213423319015,0.10115369030176852,0.33031446731535197,0.1383460621476888,0.18993807325493642,0.33031446731535197,0.2182558742294035,0.19826469302147706,0.12244057820766772,0.33058567873545386,0.2170969833215329,0.33058567873545386,2D AE mixed-T exclusion,6,normalized_delta,128
7,0.20782305841494622,0.21959870069862364,0.20782305841494622,0.10078831161430261,0.32674708414564757,0.1376355996630014,0.18839033180765052,0.32674708414564757,0.21959870069862364,0.1985149079094086,0.1193320168696932,0.33755024993351024,0.21846572490420402,0.33755024993351024,2D AE mixed-T exclusion,6,normalized_delta,128
8,0.20572960678468166,0.2202699288716771,0.20572960678468166,0.09990530582492241,0.3235101107223419,0.13613015314362295,0.18651518989696245,0.3235101107223419,0.2202699288716771,0.19805704311968045,0.11949173573551601,0.34028225684734553,0.21927701190084734,0.34028225684734553,2D AE mixed-T exclusion,6,normalized_delta,128
9,0.20344992764095643,0.21757944567782922,0.20344992764095643,0.09888260676583431,0.3195805986598796,0.1351553946998149,0.18453953337517626,0.3195805986598796,0.21757944567782922,0.19683446309856198,0.1172106300039511,0.33551113059817766,0.21651874123356354,0.33551113059817766,2D AE mixed-T exclusion,6,normalized_delta,128
10,0.20129993462647255,0.22018073650914186,0.20129993462647255,0.09787563063521898,0.31579292732328973,0.13437599884627344,0.18268151893492737,0.31579292732328973,0.22018073650914186,0.19968669003549408,0.1173265640194969,0.3406475663246391,0.2192202734598767,0.3406475663246391,2D AE mixed-T exclusion,6,normalized_delta,128
11,0.19959179388746276,0.21891128157508222,0.19959179388746276,0.09698806799365932,0.31331518842949535,0.13292764313767133,0.18107696652027536,0.31331518842949535,0.21891128157508222,0.19465918869939336,0.12246692310896162,0.3364393058759896,0.21785513922811486,0.3364393058759896,2D AE mixed-T exclusion,6,normalized_delta,128
12,0.19670380820018996,0.21889921282550176,0.19670380820018996,0.09589319548786322,0.3093014915554816,0.1306848356477109,0.17862650756368526,0.3093014915554816,0.21889921282550176,0.1966770148682507,0.11736114504624551,0.33999011308493976,0.21800942433314532,0.33999011308493976,2D AE mixed-T exclusion,6,normalized_delta,128
13,0.19497011292256006,0.21783630613275598,0.19497011292256006,0.09517171852899381,0.306079975572509,0.12920926932864168,0.1768203211433815,0.306079975572509,0.21783630613275598,0.19674946719711212,0.11999203244493784,0.3336006207563179,0.21678070679945596,0.3336006207563179,2D AE mixed-T exclusion,6,normalized_delta,128
14,0.19269275779093137,0.21879165388143404,0.19269275779093137,0.09414295878155458,0.3027119498375678,0.12799304147245988,0.17494931669719407,0.3027119498375678,0.21879165388143404,0.1937846187526915,0.11934112604143784,0.3405696703513202,0.21789847171514984,0.3405696703513202,2D AE mixed-T exclusion,6,normalized_delta,128
15,0.19049198197640915,0.21912100786798971,0.19049198197640915,0.09338754253068254,0.2986390769190517,0.12656719821338172,0.17286460588770533,0.2986390769190517,0.21912100786798971,0.19979001938840968,0.12101357699567943,0.3331123496724391,0.21797198201884274,0.3331123496724391,2D AE mixed-T exclusion,6,normalized_delta,128
16,0.188516181246849,0.2191634791422675,0.188516181246849,0.09255050208095335,0.295658471198425,0.12493983699342974,0.17104960342426934,0.295658471198425,0.2191634791422675,0.19860804524084436,0.11981909907373943,0.3359623185236399,0.21812982094607455,0.3359623185236399,2D AE mixed-T exclusion,6,normalized_delta,128
17,0.18660268232517513,0.22278616053105088,0.18660268232517513,0.09176732457886395,0.2924553240197802,0.12297171815819576,0.16906478891894663,0.2924553240197802,0.22278616053105088,0.19974011521132545,0.12145689205805722,0.34456474972937845,0.2219205856662537,0.34456474972937845,2D AE mixed-T exclusion,6,normalized_delta,128
