epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_depablo_low_temp_reconstruction,val_source_reid_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.55682482342971,0.47294628533877825,0.5651986659095999,0.6058213187670204,0.6462613761947866,0.42002658589105857,0.5573697602842885,0.6462613761947866,0.49184418077531616,0.713690868647475,0.30754129825846144,0.39760668171863806,0.47294628287485824,0.713690868647475,shared_no_mixed,2,normalized_delta,128
2,0.3797588450866833,0.428594277563848,0.3914006009959338,0.4647081726243798,0.38441086283378434,0.2904870110122781,0.3798686821568141,0.4647081726243798,0.4363517631825648,0.593327925864019,0.3141928811606608,0.37826202709816004,0.42859427804094663,0.593327925864019,shared_no_mixed,2,normalized_delta,128
3,0.3468664121209529,0.41226699760085656,0.35302088720756664,0.3996951137997315,0.3699429444707277,0.27082808408559417,0.3468220474520178,0.3996951137997315,0.41881660081838307,0.559551798434634,0.3037905966765002,0.3734586006716678,0.41226699859426735,0.559551798434634,shared_no_mixed,2,normalized_delta,128
4,0.31815986816624275,0.30976825670192115,0.3157098787722358,0.3268885236023597,0.37000523299109517,0.2586781253155909,0.3185239606363486,0.37000523299109517,0.2927495750941728,0.23110983254093873,0.3166100045371997,0.3815849316747565,0.309768256250965,0.3815849316747565,shared_no_mixed,2,normalized_delta,128
5,0.2631443066032309,0.29416127730357017,0.24606793941112987,0.17130206391530137,0.36450687476940324,0.25340481750797805,0.26307125206422755,0.36450687476940324,0.27673929388585844,0.212675076605458,0.29622894607876477,0.37357980563844506,0.29416127610755594,0.37357980563844506,shared_no_mixed,2,normalized_delta,128
6,0.23607351128992282,0.2523854773295553,0.2204696008249333,0.14294863102013167,0.35948030608787873,0.20541401229668083,0.2359476498015637,0.35948030608787873,0.23665243030378694,0.15211844082529608,0.2322395053545111,0.37279848756366657,0.25238547791449123,0.37279848756366657,shared_no_mixed,2,normalized_delta,128
7,0.20700484326011256,0.23810355890738336,0.194083504470294,0.12090344311223483,0.34606867351552895,0.15421916753576512,0.20706376138784297,0.34606867351552895,0.22458987000741457,0.14577559210163982,0.20439605147234705,0.36413902828567907,0.2381035572865553,0.36413902828567907,shared_no_mixed,2,normalized_delta,128
8,0.1981651559733508,0.23691021349085004,0.1856939183253991,0.11770896356500371,0.33254630816610237,0.14431605773667494,0.19819044315592702,0.33254630816610237,0.22248235897798288,0.14380915421796472,0.200518405574717,0.36640308301307656,0.23691021426858608,0.36640308301307656,shared_no_mixed,2,normalized_delta,128
9,0.1941913480298561,0.23238263090974406,0.18173392650328185,0.1149910831574718,0.32540272866424763,0.14127893623029977,0.19389091601733974,0.32540272866424763,0.21887124639592673,0.13932244649254963,0.20081363462499882,0.3570118121214603,0.23238263107966958,0.3570118121214603,shared_no_mixed,2,normalized_delta,128
10,0.18888861530525775,0.229993815563227,0.17640722146943996,0.11148035157681771,0.31685563706907266,0.13870945404724855,0.18901514756437965,0.31685563706907266,0.21728332819123017,0.14006326186813806,0.19859812082232614,0.3513200674598154,0.2299938167167599,0.3513200674598154,shared_no_mixed,2,normalized_delta,128
11,0.18763502598331686,0.22843547059517158,0.17487858664571193,0.10961256284450352,0.31403028384635323,0.13863527812063695,0.18742604160383122,0.31403028384635323,0.21427063267481955,0.13355687698839527,0.19966848256360542,0.35208105325306716,0.22843547093502262,0.35208105325306716,shared_no_mixed,2,normalized_delta,128
12,0.1849871871568132,0.22738145793739117,0.17257672538163893,0.10860079180606654,0.3108056673159202,0.13588140989376002,0.18509595633858225,0.3108056673159202,0.2133862555027008,0.1331852717913295,0.1990464290898097,0.349912671509542,0.2273814574635604,0.349912671509542,shared_no_mixed,2,normalized_delta,128
13,0.18405297521436423,0.22538253802217936,0.17179782224590318,0.10819833294790186,0.3088470520157563,0.13513700188905522,0.18406079561757113,0.3088470520157563,0.212226031838279,0.13308300008311083,0.19608911289588402,0.34697549886217244,0.22538253728038912,0.34697549886217244,shared_no_mixed,2,normalized_delta,128
14,0.1830345048062634,0.2270827808270329,0.17051816891159927,0.10768966383340073,0.30708811289157,0.134576493959155,0.1831180902280419,0.30708811289157,0.21324488744139672,0.13213694828905556,0.19729484378507262,0.3518165499560143,0.22708278067671417,0.3518165499560143,shared_no_mixed,2,normalized_delta,128
