variant,seed,original_index,frame,encoded,best,gain,affine_x0_to_xt_mse,last_increment_extrapolation_mse,last_increment_extrapolation_valid,nodes,pca_in_sample_rank2_mse,pca_in_sample_rank4_mse,pca_in_sample_rank8_mse,persistence_mse,persistence_valid,source,zero_motion_mse
r16_d4,123,199,25,3.033790108020185e-07,2.7565792493078334e-07,0.0913744355548893,3.059806539703343e-07,4.915061013405986e-13,1,124,1.0150084973155102e-09,7.085851630473689e-10,1.5876291260639728e-11,4.448325855441494e-09,1,lj_noisy,2.667711492651892e-06
r16_d4,123,199,100,1.0352580829930956e-05,9.651655091147404e-06,0.0677054108823825,9.903439139780502e-06,5.812908420433345e-12,1,124,2.5060011539419633e-09,4.775600804500786e-10,3.929730317680499e-11,5.113907166872388e-09,1,lj_noisy,4.6094550043561184e-05
r16_d4,123,199,199,4.062562220497057e-05,3.603584264055826e-05,0.1129774589360196,3.6973367682176636e-05,7.752042244379041e-12,1,124,9.035106206443904e-09,2.2065345367617812e-09,1.584083700957866e-11,5.335251259251159e-09,1,lj_noisy,0.000190143375524
r16_d4,456,42,25,2.551270483763801e-07,2.26809433456765e-07,0.1109941697668964,2.225384085403809e-07,8.032382911745112e-13,1,182,2.2321488277643462e-09,4.518659850191644e-10,4.070890726569952e-11,4.825966025007064e-09,1,lj_noisy,2.6836686646340906e-06
r16_d4,456,42,100,6.353227945510298e-06,4.95400217914721e-06,0.2202385587867807,5.107303100005573e-06,2.7736524080768866e-13,1,182,1.7294663200212312e-09,5.260730821595262e-10,1.916546152938208e-11,4.7645561195010385e-09,1,lj_noisy,4.6181210315193575e-05
r16_d4,456,42,199,2.3252860046341084e-05,1.9289089323137887e-05,0.1704637930690555,1.9460967338386053e-05,7.166591191806403e-12,1,182,9.741140062640192e-09,1.865759864694341e-09,4.555005714163179e-11,4.946397021861843e-09,1,lj_noisy,0.000186024526729
r16_d4,456,178,25,2.955273998850317e-07,2.559123402079422e-07,0.1340486861539769,3.091855744290968e-07,3.8318533121403424e-13,1,183,3.4631009407503875e-09,3.9659994413954415e-10,7.43271167910083e-11,3.493589530993933e-09,1,lj_noisy,2.143467522143216e-06
r16_d4,456,178,100,7.930759238661267e-06,7.304529844986973e-06,0.0789620986880447,7.881904110917419e-06,2.266345102440865e-13,1,183,3.821764562108941e-09,8.193834200820414e-10,9.598921453487598e-12,3.590633379436036e-09,1,lj_noisy,3.5922101417283005e-05
r16_d4,456,178,199,2.5684053980512545e-05,2.344362837902736e-05,0.0872302169737332,2.4054689464574643e-05,1.829417415302424e-12,1,183,1.5160464592915672e-08,2.8875959731006053e-09,1.2559917519977291e-10,4.285518756398404e-09,1,lj_noisy,0.000146697609924
r16_d4,456,199,25,3.618751236444951e-07,2.692165708140237e-07,0.2560511811292637,3.059806539703343e-07,4.915061013405986e-13,1,124,1.0150084973155102e-09,7.085851630473689e-10,1.5876291260639728e-11,4.448325855441494e-09,1,lj_noisy,2.667711492651892e-06
r16_d4,456,199,100,1.0303354429197498e-05,9.681312803877518e-06,0.0603727290558158,9.903439139780502e-06,5.812908420433345e-12,1,124,2.5060011539419633e-09,4.775600804500786e-10,3.929730317680499e-11,5.113907166872388e-09,1,lj_noisy,4.6094550043561184e-05
r16_d4,456,199,199,3.834715971606784e-05,3.730554453795776e-05,0.0271627725709664,3.6973367682176636e-05,7.752042244379041e-12,1,124,9.035106206443904e-09,2.2065345367617812e-09,1.584083700957866e-11,5.335251259251159e-09,1,lj_noisy,0.000190143375524
r16_d4,786,42,25,2.336201845309916e-07,2.1729765364852938e-07,0.0698678109309379,2.225384085403809e-07,8.032382911745112e-13,1,182,2.2321488277643462e-09,4.518659850191644e-10,4.070890726569952e-11,4.825966025007064e-09,1,lj_noisy,2.6836686646340906e-06
r16_d4,786,42,100,6.050426691217581e-06,4.926687324768864e-06,0.185728945047771,5.107303100005573e-06,2.7736524080768866e-13,1,182,1.7294663200212312e-09,5.260730821595262e-10,1.916546152938208e-11,4.7645561195010385e-09,1,lj_noisy,4.6181210315193575e-05
r16_d4,786,42,199,2.1387053493526764e-05,1.8081083908327852e-05,0.1545780762272619,1.9460967338386053e-05,7.166591191806403e-12,1,182,9.741140062640192e-09,1.865759864694341e-09,4.555005714163179e-11,4.946397021861843e-09,1,lj_noisy,0.000186024526729
r16_d4,786,178,25,3.770274759062886e-07,2.554648403929605e-07,0.322423810681487,3.091855744290968e-07,3.8318533121403424e-13,1,183,3.4631009407503875e-09,3.9659994413954415e-10,7.43271167910083e-11,3.493589530993933e-09,1,lj_noisy,2.143467522143216e-06
r16_d4,786,178,100,7.993765393621288e-06,7.184681635408197e-06,0.1012143487296624,7.881904110917419e-06,2.266345102440865e-13,1,183,3.821764562108941e-09,8.193834200820414e-10,9.598921453487598e-12,3.590633379436036e-09,1,lj_noisy,3.5922101417283005e-05
r16_d4,786,178,199,2.6607769541442398e-05,2.382598904659972e-05,0.104547676967435,2.4054689464574643e-05,1.829417415302424e-12,1,183,1.5160464592915672e-08,2.8875959731006053e-09,1.2559917519977291e-10,4.285518756398404e-09,1,lj_noisy,0.000146697609924
r16_d4,786,199,25,3.811384203800117e-07,2.921557893387217e-07,0.2334653928422394,3.059806539703343e-07,4.915061013405986e-13,1,124,1.0150084973155102e-09,7.085851630473689e-10,1.5876291260639728e-11,4.448325855441494e-09,1,lj_noisy,2.667711492651892e-06
r16_d4,786,199,100,1.076794978871476e-05,9.222329936164895e-06,0.1435389171455585,9.903439139780502e-06,5.812908420433345e-12,1,124,2.5060011539419633e-09,4.775600804500786e-10,3.929730317680499e-11,5.113907166872388e-09,1,lj_noisy,4.6094550043561184e-05
r16_d4,786,199,199,4.029090632684529e-05,3.619880226324312e-05,0.1015639616147242,3.6973367682176636e-05,7.752042244379041e-12,1,124,9.035106206443904e-09,2.2065345367617812e-09,1.584083700957866e-11,5.335251259251159e-09,1,lj_noisy,0.000190143375524
