variant,frame,encoded_mse,optimized_mse,relative_gain_mean,relative_gain_std,evaluations
ljonly_r16_d4,25,5.636184394259342e-07,2.668673033667801e-07,0.4352797494288031,0.2639636646226314,9
ljonly_r16_d4,100,8.610523309471318e-06,7.4750849610912456e-06,0.14082538042779655,0.11101306613978257,9
ljonly_r16_d4,199,3.067090963466196e-05,2.7895042068040413e-05,0.10206339095715078,0.07395718354485424,9
r16_d4,25,3.210976113147505e-07,2.559235257295869e-07,0.19123533339795262,0.0913468753514439,9
r16_d4,100,8.032991697998821e-06,7.213730997237791e-06,0.10477431537057816,0.06441796728907463,9
r16_d4,199,2.9091998941213307e-05,2.6222575898928982e-05,0.10315435257688134,0.042685955417553836,9
