epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.6981750943158802,0.611586667626704,0.7095905559627633,0.6825784132668846,0.8821834918699767,0.5297633774970707,0.6981750942113107,0.8821834918699767,0.6046956082805991,0.4037006936559919,0.7230008514015935,0.7142548721167259,0.6136521390581038,0.7230008514015935,2D AE mixed-T exclusion,2,normalized_delta,96
2,0.5277571451507117,0.5592396641199134,0.5447864632857473,0.5484148441568801,0.6738242623053099,0.3610323361660305,0.5277571475427402,0.6738242623053099,0.5539309095493272,0.3056239815050503,0.6839945704559796,0.6898458176292479,0.5598214565300926,0.6898458176292479,2D AE mixed-T exclusion,2,normalized_delta,96
3,0.47395936517339005,0.4156232454372864,0.4857693836092949,0.4653624951839447,0.6417887180259353,0.3147268771733108,0.47395936346106354,0.6417887180259353,0.4103832751904663,0.3324415516690351,0.343850277538877,0.5752141056000255,0.4171686449359792,0.5752141056000255,2D AE mixed-T exclusion,2,normalized_delta,96
4,0.3701905907768952,0.3817104944175011,0.3588151669815967,0.2728716493437165,0.5120078231943281,0.3256923024591647,0.3701905916657364,0.5120078231943281,0.3747683582043177,0.36279701002058573,0.2854311855917331,0.5059278274420649,0.38471867435146123,0.5059278274420649,2D AE mixed-T exclusion,2,normalized_delta,96
5,0.3438203727728442,0.3340481901590369,0.3308620937560734,0.2420674844007743,0.464739828282281,0.3246538060276132,0.3438203729035562,0.464739828282281,0.32947194318434125,0.3350987751618959,0.22063624240399804,0.45001271323417313,0.33524924360002234,0.45001271323417313,2D AE mixed-T exclusion,2,normalized_delta,96
6,0.31938132800553976,0.31225858075348173,0.3033489146514943,0.1986911142342969,0.4329771290092092,0.3264757439494133,0.31938132906430644,0.4329771290092092,0.3082471639212025,0.33725535587291233,0.18308881032135105,0.4188933316327166,0.31307916594232665,0.4188933316327166,2D AE mixed-T exclusion,2,normalized_delta,96
7,0.2830846385736214,0.2722436358416943,0.26470204011390086,0.15413366269908454,0.38224515946287857,0.31287509304912464,0.2830846384036959,0.38224515946287857,0.26903577247438465,0.3036012441443745,0.14957011830847478,0.3657718989707064,0.27298108714118524,0.3657718989707064,2D AE mixed-T exclusion,2,normalized_delta,96
8,0.23640579047955965,0.23981044414012057,0.22024953008482331,0.12343351360606519,0.3355434260870281,0.2502404315691245,0.23640579042073928,0.3355434260870281,0.2365233001127643,0.245651913821348,0.14157813820202136,0.33689727836463135,0.24137577679600022,0.33689727836463135,2D AE mixed-T exclusion,2,normalized_delta,96
9,0.20714494589912263,0.22748678558457056,0.19364881131209824,0.10524026822102697,0.32842700406908987,0.18776756840709008,0.20714494689906895,0.32842700406908987,0.22468718067546817,0.21535531774861738,0.13603727298323065,0.33447540055203717,0.22862266376129506,0.33447540055203717,2D AE mixed-T exclusion,2,normalized_delta,96
10,0.1991804295464566,0.22472856109716782,0.18601314335277205,0.09889547571932014,0.3242928917470731,0.17435292346697104,0.19918043031112143,0.3242928917470731,0.2214776445841907,0.21427268577099312,0.12936099369107978,0.33458140524453484,0.22607169490220258,0.33458140524453484,2D AE mixed-T exclusion,2,normalized_delta,96
11,0.19407339448991576,0.21811025636270642,0.1813806907518914,0.09533484203642921,0.31759180952059596,0.16929352869720835,0.19407339341807783,0.31759180952059596,0.21524867505864484,0.20240433371509425,0.12267553741548909,0.3324805181619013,0.2191867964308282,0.3324805181619013,2D AE mixed-T exclusion,2,normalized_delta,96
