split,source,sim_idx,frame,z0,z1,z2,z3,z4,z5
train,reid,0,0,-1.2710860967636108,1.8022195100784302,1.0283561944961548,1.1640818119049072,-1.119370460510254,-0.38588282465934753
train,reid,0,10,-1.3529868125915527,2.1184146404266357,1.2083854675292969,1.7339155673980713,-1.2121729850769043,-0.9007912278175354
train,reid,0,20,-1.4620064496994019,2.481581211090088,1.4197630882263184,2.353358745574951,-1.3275954723358154,-1.45087730884552
train,reid,0,30,-1.571436882019043,2.862276077270508,1.642301082611084,3.0050220489501953,-1.4479814767837524,-2.0278677940368652
train,reid,0,40,-1.6796298027038574,3.2595927715301514,1.8753817081451416,3.688364028930664,-1.5728200674057007,-2.6310226917266846
train,reid,0,50,-1.7862844467163086,3.673853874206543,2.1191940307617188,4.403867244720459,-1.7022478580474854,-3.260509729385376
train,reid,0,60,-1.8911494016647339,4.105486869812012,2.3739824295043945,5.152283191680908,-1.8364043235778809,-3.9167885780334473
train,reid,0,70,-1.9943034648895264,4.554950714111328,2.6400275230407715,5.934098720550537,-1.9755185842514038,-4.600089073181152
train,reid,0,80,-2.096177577972412,5.023274898529053,2.9180309772491455,6.750284194946289,-2.120124578475952,-5.310945987701416
train,reid,0,90,-2.1969330310821533,5.51053524017334,3.208101749420166,7.600398063659668,-2.270395040512085,-6.048744201660156
train,reid,0,100,-2.297086715698242,6.017775535583496,3.510930299758911,8.485328674316406,-2.4268949031829834,-6.813913822174072
train,reid,1,0,-1.243578553199768,1.5172438621520996,0.7972695827484131,0.4381185472011566,-1.1026471853256226,0.3641304075717926
train,reid,1,10,-1.3714302778244019,1.8594920635223389,1.0001109838485718,0.9616983532905579,-1.2269700765609741,-0.08193432539701462
train,reid,1,20,-1.5121731758117676,2.234463930130005,1.2239842414855957,1.519472599029541,-1.367224931716919,-0.547516942024231
train,reid,1,30,-1.6442053318023682,2.620360851287842,1.4535704851150513,2.106977939605713,-1.5081524848937988,-1.037746787071228
train,reid,1,40,-1.7659096717834473,3.015428066253662,1.6876565217971802,2.7236530780792236,-1.6485793590545654,-1.5528202056884766
train,reid,1,50,-1.8769882917404175,3.4185447692871094,1.925568699836731,3.3679769039154053,-1.7880487442016602,-2.0916473865509033
train,reid,1,60,-1.9772915840148926,3.8285434246063232,2.1666345596313477,4.037976264953613,-1.9261856079101562,-2.6526336669921875
train,reid,1,70,-2.066537380218506,4.243798732757568,2.4098501205444336,4.731227397918701,-2.0623836517333984,-3.2339706420898438
train,reid,1,80,-2.1446738243103027,4.662890434265137,2.6543941497802734,5.445265769958496,-2.196197748184204,-3.833709716796875
train,reid,1,90,-2.211704969406128,5.08470344543457,2.8996078968048096,6.178060054779053,-2.327310800552368,-4.450214385986328
train,reid,1,100,-2.2679636478424072,5.507810592651367,3.144693613052368,6.926675796508789,-2.4553909301757812,-5.081106185913086
train,reid,2,0,-1.2669600248336792,1.519942283630371,0.8917407393455505,0.483887255191803,-1.106522798538208,0.27629509568214417
train,reid,2,10,-1.1826534271240234,1.6278480291366577,0.9324318170547485,0.9238272309303284,-1.0757280588150024,-0.18547400832176208
train,reid,2,20,-1.0936410427093506,1.7489981651306152,0.979917585849762,1.3943266868591309,-1.0471659898757935,-0.672868013381958
train,reid,2,30,-1.0010820627212524,1.8839950561523438,1.0347442626953125,1.8952419757843018,-1.0213119983673096,-1.185774803161621
train,reid,2,40,-0.9052101969718933,2.0325748920440674,1.096832275390625,2.425449848175049,-0.9982539415359497,-1.7230281829833984
train,reid,2,50,-0.8064984679222107,2.194636583328247,1.1661815643310547,2.9841208457946777,-0.9781252145767212,-2.283855438232422
train,reid,2,60,-0.7047913074493408,2.3696272373199463,1.2424830198287964,3.5703275203704834,-0.9607475399971008,-2.8674659729003906
train,reid,2,70,-0.6005083918571472,2.557335376739502,1.3256670236587524,4.183052062988281,-0.9462190866470337,-3.4729037284851074
train,reid,2,80,-0.49391594529151917,2.7572319507598877,1.4155058860778809,4.820689678192139,-0.9345495700836182,-4.098633289337158
train,reid,2,90,-0.38533759117126465,2.9690213203430176,1.5118550062179565,5.4822163581848145,-0.9257786273956299,-4.743727684020996
train,reid,2,100,-0.27448320388793945,3.1914987564086914,1.6140360832214355,6.165804862976074,-0.9194624423980713,-5.406770706176758
train,reid,3,0,-1.2623249292373657,1.601812481880188,0.9225462675094604,0.6496965885162354,-1.1278079748153687,0.13836205005645752
train,reid,3,10,-1.179701805114746,1.7161070108413696,0.9678517580032349,1.0953636169433594,-1.1002565622329712,-0.32497531175613403
train,reid,3,20,-1.092356562614441,1.841195821762085,1.0186015367507935,1.5665535926818848,-1.0743857622146606,-0.8094858527183533
train,reid,3,30,-1.0014469623565674,1.978369951248169,1.075652837753296,2.0646989345550537,-1.0507839918136597,-1.3165009021759033
train,reid,3,40,-0.9074013829231262,2.1275317668914795,1.1390337944030762,2.5888893604278564,-1.0296070575714111,-1.845098614692688
train,reid,3,50,-0.8099681735038757,2.28802490234375,1.2083299160003662,3.1383392810821533,-1.0105597972869873,-2.3947362899780273
train,reid,3,60,-0.7095850110054016,2.459975242614746,1.283703327178955,3.712527275085449,-0.9938703775405884,-2.9648144245147705
train,reid,3,70,-0.6061643362045288,2.64268159866333,1.364747166633606,4.310245513916016,-0.979317307472229,-3.5543394088745117
train,reid,3,80,-0.4995984435081482,2.8355696201324463,1.4511222839355469,4.930599212646484,-0.9666972756385803,-4.162623882293701
train,reid,3,90,-0.3903312087059021,3.038628578186035,1.5429022312164307,5.572786808013916,-0.9562075734138489,-4.788814067840576
train,reid,3,100,-0.27864333987236023,3.2514355182647705,1.6398893594741821,6.2355756759643555,-0.9478411674499512,-5.4317946434021
train,reid,4,0,-1.256544589996338,1.5213119983673096,0.8461509943008423,0.49397456645965576,-1.0897754430770874,0.27218177914619446
train,reid,4,10,-1.3068805932998657,1.7737717628479004,0.987978458404541,0.973747968673706,-1.1578832864761353,-0.16532230377197266
