split,source,original_index,frame,coordinate_mse_shared,zero_displacement_mse_shared,explained_displacement_score_shared,shuffled_same_source_coordinate_mse_shared,shuffled_original_index_shared,valid_shared,total_shared,control_shared,transfer_only_shared,variant_shared,seed,coordinate_mse_ljonly,zero_displacement_mse_ljonly,explained_displacement_score_ljonly,shuffled_same_source_coordinate_mse_ljonly,shuffled_original_index_ljonly,valid_ljonly,total_ljonly,control_ljonly,transfer_only_ljonly,variant_ljonly,latent_dim,shared_minus_ljonly_mse
train,lj_noisy,199,75,4.9241043598158285e-06,2.538395165174734e-05,0.8060150591455735,4.795610493601998e-06,42,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,5.1920883379352745e-06,2.538395165174734e-05,0.7954578385127884,5.353766482585343e-06,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.6798397811944596e-07
train,lj_noisy,199,100,1.0263883268635254e-05,4.609454845194705e-05,0.7773297794784731,9.9594981293194e-06,42,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,1.0604620001686271e-05,4.609454845194705e-05,0.7699376529799083,1.054799577104859e-05,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.4073673305101693e-07
train,lj_noisy,199,125,1.637379318708554e-05,7.323205500142649e-05,0.7764122120188135,1.592737498867791e-05,42,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,1.6607869838480838e-05,7.323205500142649e-05,0.7732158432785023,1.65458295668941e-05,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.3407665139529854e-07
train,lj_noisy,199,149,2.2428757802117616e-05,0.0001047892219503,0.7859631230705533,2.2101598005974665e-05,42,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,2.3014059479464777e-05,0.0001047892219503,0.7803776089646796,2.3256250642589293e-05,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-5.853016773471609e-07
train,lj_noisy,199,175,3.0149187296046875e-05,0.0001456237077945,0.79296511706339,3.063661279156804e-05,42,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,3.169194678775966e-05,0.0001456237077945,0.782370966460598,3.273392576375045e-05,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.5427594917127863e-06
train,lj_noisy,199,199,3.959167224820703e-05,0.0001901433715829,0.7917798978812545,4.171211912762374e-05,42,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,4.214478758512996e-05,0.0001901433715829,0.7783525808221954,4.443887883098796e-05,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.5531153369229287e-06
train,lj_noisy,42,0,1.611741424767388e-07,0.0,,7.662118832740816e-07,102,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,7.029660196167242e-07,0.0,,1.1683844149956712e-06,102,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-5.417918771399854e-07
train,lj_noisy,42,5,1.116164867198677e-07,9.799599354209933e-08,-0.1389903064957136,6.771578568987024e-07,102,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,5.11254313551035e-07,9.799599354209933e-08,-4.21709403692508,1.01390071449714e-06,102,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.9963782683116733e-07
train,lj_noisy,42,10,9.57590913230888e-08,4.02869886784174e-07,0.7623076470483658,6.358820883178851e-07,102,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,3.957509306928842e-07,4.02869886784174e-07,0.0176706086129084,9.356824079986836e-07,102,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.999918393697954e-07
train,lj_noisy,42,25,2.615562948449224e-07,2.683668753888924e-06,0.9025377873234544,8.319847779603151e-07,102,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,4.781747975357575e-07,2.683668753888924e-06,0.8218204847961095,1.2333423455856971e-06,102,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.1661850269083516e-07
train,lj_noisy,42,50,1.2228231298649916e-06,1.129412430600496e-05,0.8917292658789996,2.2114336388767697e-06,102,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,1.8851002323572173e-06,1.129412430600496e-05,0.8330901820024301,3.555912826413987e-06,102,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-6.622771024922256e-07
train,lj_noisy,42,75,2.949914915006957e-06,2.5744931917870417e-05,0.8854176455227165,4.9389923333365005e-06,102,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,4.17941282648826e-06,2.5744931917870417e-05,0.8376607543643497,7.332497261813842e-06,102,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.2294979114813032e-06
train,lj_noisy,42,100,5.641904863296077e-06,4.618121238308959e-05,0.877831166135387,8.685165084898472e-06,102,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,6.648099770245608e-06,4.618121238308959e-05,0.8560431953345604,1.0530576219025534e-05,102,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.0061949069495313e-06
train,lj_noisy,42,125,8.790940228209365e-06,7.250723137985915e-05,0.878757745111596,1.243956012331182e-05,102,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,9.216126272804104e-06,7.250723137985915e-05,0.8728936949126962,1.403917576681124e-05,102,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-4.2518604459473863e-07
train,lj_noisy,42,149,1.1914794413314668e-05,0.0001034081433317,0.8847789542542249,1.6072101061581634e-05,102,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,1.233044622495072e-05,0.0001034081433317,0.8807594273751616,1.8853517758543603e-05,102,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-4.1565181163605133e-07
train,lj_noisy,42,175,1.6069881894509308e-05,0.000143292825669,0.8878528508355025,2.1060688595753163e-05,102,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,1.7224594557774253e-05,0.000143292825669,0.8797944385746411,2.634434713399969e-05,102,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.1547126632649451e-06
train,lj_noisy,42,199,2.1256673790048808e-05,0.0001860245247371,0.8857318742241957,2.733218570938334e-05,102,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,2.3361246348940767e-05,0.0001860245247371,0.8744184597060525,3.566599480109289e-05,102,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.1045725588919595e-06
train,lj_noisy,102,0,4.977923140359053e-07,0.0,,2.533029430651368e-07,99,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,7.573356128887099e-07,0.0,,9.247908678844396e-07,99,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.595432988528046e-07
train,lj_noisy,102,5,3.589605626075354e-07,1.047859115033134e-07,-2.425656726726902,1.7368417104535186e-07,99,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,5.673379632753495e-07,1.047859115033134e-07,-4.414258034653923,6.364617206600087e-07,99,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.0837740066781407e-07
train,lj_noisy,102,10,2.6454765134076297e-07,4.6877312342985533e-07,0.4356595160465755,1.714537916086556e-07,99,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,4.3402141614024004e-07,4.6877312342985533e-07,0.0741333185557839,4.129197179736366e-07,99,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.6947376479947707e-07
train,lj_noisy,102,25,4.0943183421404683e-07,3.25413498103444e-06,0.8741810537668924,7.063799216666666e-07,99,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,5.403834961725806e-07,3.25413498103444e-06,0.8339394341900345,3.8583175410167314e-07,99,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.309516619585338e-07
train,lj_noisy,102,50,1.7800276737034435e-06,1.3549693903769366e-05,0.8686296763347354,2.7957960355706746e-06,99,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,1.979804437723942e-06,1.3549693903769366e-05,0.8538856706443247,1.8229120541946031e-06,99,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.997767640204986e-07
train,lj_noisy,102,75,4.344107310316758e-06,3.12767515424639e-05,0.8611074649354541,6.074300472391769e-06,99,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,4.6606983232777566e-06,3.12767515424639e-05,0.8509852176639889,4.709821951109916e-06,99,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.1659101296099834e-07
