split,source,original_index,frame,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse,shuffled_original_index,valid,total,control,transfer_only,variant,seed,affine_x0_to_xt_mse,last_increment_extrapolation_mse,last_increment_extrapolation_valid,nodes,pca_in_sample_rank2_mse,pca_in_sample_rank4_mse,pca_in_sample_rank8_mse,persistence_mse,persistence_valid,zero_motion_mse,_merge,matched_motion_audit
train,reid,85,149,7.278613338712603e-06,9.663699165685102e-05,0.9246808782649372,1.4512486814055592e-05,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,7.949773206788306e-06,1.38223303868591e-12,1,148,3.352542976545054e-11,7.452290879845302e-13,3.053727288353036e-13,4.396038119911956e-09,1,9.663699641748697e-05,both,True
train,reid,85,175,1.0379532795923296e-05,0.0001334734115516,0.9222352026875056,2.104364102706313e-05,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.1092872927549413e-05,1.102909790553904e-12,1,148,7.435536086383309e-12,3.487267551913268e-13,3.4756249076041893e-13,4.3955872683727246e-09,1,0.00013347342132800002,both,True
train,reid,85,199,1.4109726180322468e-05,0.0001727537455735,0.9183246294690997,2.914088145189453e-05,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.4473754600852362e-05,1.6219675547982051e-12,1,148,2.551851751366273e-10,1.774630482869081e-12,3.745477621663371e-13,4.398773549937981e-09,1,0.000172753730485,both,True
train,depablo_low_temp,99,0,1.0770119160952165e-06,0.0,,1.6092773194031906e-06,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.1022407167137891e-31,,0,144,4.841287240567242e-10,2.347805079835346e-11,2.273170168275593e-14,,0,0.0,both,True
train,depablo_low_temp,99,5,8.049512985053298e-07,1.005318210900441e-07,-7.006930440306586,1.24146311009099e-06,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,2.4053179713398762e-09,3.897582627714368e-12,1,144,1.203847179093171e-11,4.381765492116729e-12,2.316020780451336e-13,4.2014288475991795e-09,1,1.005318129375037e-07,both,True
train,depablo_low_temp,99,10,5.725039500248386e-07,4.115541969440528e-07,-0.3910779048686641,9.257294095732505e-07,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.335402732307057e-08,1.6713590437167172e-12,1,144,3.512149235768229e-12,5.38338881819163e-13,2.282173361833417e-13,4.2504901121444944e-09,1,4.115542098881404e-07,both,True
train,depablo_low_temp,99,25,2.3477598176668837e-07,2.6255513603246072e-06,0.9105803126480596,6.711010200888268e-07,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.0534089047990289e-07,1.323887935991132e-12,1,144,5.240420359405037e-12,8.06488381712192e-13,2.581140910869848e-13,4.2802664907068275e-09,1,2.625551486125708e-06,both,True
train,depablo_low_temp,99,50,3.9502478443864685e-07,1.0610699973767623e-05,0.9627710909350704,1.7247452888113912e-06,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4.636337202517425e-07,1.438749283338168e-12,1,144,3.5460752787420906e-12,2.634599209207988e-13,2.5260317889730575e-13,4.306485564504826e-09,1,1.0610699503369241e-05,both,True
train,depablo_low_temp,99,75,9.10697849576536e-07,2.401239726168569e-05,0.962073847119394,3.692202426464064e-06,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.0938807384895779e-06,1.27348165676248e-12,1,144,1.043223742848885e-12,3.5396008074263833e-13,2.5317453449740573e-13,4.324077255345618e-09,1,2.401239648344194e-05,both,True
train,depablo_low_temp,99,100,1.611311290616868e-06,4.289457501727156e-05,0.9624355459876204,6.244264113774989e-06,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,2.016380571351421e-06,1.415169288443767e-12,1,144,6.700240577092334e-13,3.149211567976685e-13,2.759865277156065e-13,4.367614795736632e-09,1,4.2894574040592234e-05,both,True
train,depablo_low_temp,99,125,2.5712361093610525e-06,6.73249815008603e-05,0.9618085879558956,9.645853424444796e-06,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,3.2533307112927333e-06,1.404475934741912e-12,1,144,2.708999102465131e-12,3.053983525859758e-13,2.53758672220241e-13,4.41319035759563e-09,1,6.73249814017712e-05,both,True
train,depablo_low_temp,99,149,3.918359652743675e-06,9.607322863303124e-05,0.9592148644477168,1.413323207088979e-05,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4.760378535173725e-06,1.6654677590325969e-12,1,144,2.927205383667628e-12,2.268055237937149e-13,2.089451613609095e-13,4.453188063315953e-09,1,9.607322154944009e-05,both,True
train,depablo_low_temp,99,175,6.17243586020777e-06,0.0001331570965703,0.9536454607438336,2.038111961155664e-05,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,6.774724471471958e-06,1.346270916406445e-12,1,144,4.131538118016488e-13,2.97371029320508e-13,2.647254602415007e-13,4.491626531094724e-09,1,0.000133157107261,both,True
train,depablo_low_temp,99,199,9.348069397674408e-06,0.0001729730283841,0.9459564911073092,2.7226367819821465e-05,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,9.018370211332623e-06,2.4268350694427112e-12,1,144,1.43201624097181e-11,4.5004112320071734e-13,2.691428553932575e-13,4.530845385948224e-09,1,0.00017297302998400002,both,True
train,depablo_low_temp,145,0,2.037725607806351e-06,0.0,,2.4519326871086378e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,5.3501086638727225e-30,,0,164,5.000738290180945e-09,6.494517248590988e-11,7.880875528500355e-15,,0,0.0,both,True
train,depablo_low_temp,145,5,1.618858163965342e-06,1.0263002536703425e-07,-14.773728576757566,2.1171213120396715e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,6.5289705820558194e-09,7.351653592538743e-12,1,164,4.6447495711296975e-10,1.387038741546197e-11,1.8521206951127113e-13,4.581923901728856e-09,1,1.026300310892184e-07,both,True
train,depablo_low_temp,145,10,1.238631853084371e-06,4.336185099873546e-07,-1.8565013359796207,1.8439670839143216e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4.005303327769198e-08,2.1918764094925943e-12,1,164,5.854479055093218e-11,2.9494930324362123e-12,2.681983666878589e-13,4.783315282246344e-09,1,4.3361844521737874e-07,both,True
train,depablo_low_temp,145,25,7.403903055092087e-07,2.8988624762860127e-06,0.7445928147451176,1.5967743820510805e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,3.516316097300552e-07,1.2650302000195581e-12,1,164,2.361922741622254e-10,4.464891614790342e-12,2.370697845444575e-13,4.9542474755124954e-09,1,2.898862575876075e-06,both,True
train,depablo_low_temp,145,50,1.2741014643324888e-06,1.2047797099512536e-05,0.894246105424199,2.724211981330882e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.6251380271597048e-06,1.220498579040054e-12,1,164,5.5934722489195984e-11,9.355962064441243e-13,2.413781983665482e-13,5.0523244971101994e-09,1,1.2047797139091662e-05,both,True
train,depablo_low_temp,145,75,2.714578158702352e-06,2.75988695648266e-05,0.9016416903480008,5.339610197552247e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,3.864878353885961e-06,1.410817667230728e-12,1,164,7.777250386411042e-12,2.4333825200692007e-12,2.441621627338202e-13,5.1320026984924394e-09,1,2.7598870995881992e-05,both,True
train,depablo_low_temp,145,100,4.763439392263535e-06,4.965141852153465e-05,0.9040623705403794,9.230132491211409e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,7.0918385472854185e-06,1.393067367917734e-12,1,164,3.674134589085895e-11,5.65885438180392e-13,2.4494833553904944e-13,5.1673687393528555e-09,1,4.965142205782966e-05,both,True
train,depablo_low_temp,145,125,7.45090483178501e-06,7.831659604562446e-05,0.9048617380223678,1.4440062841458712e-05,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.1327572513955072e-05,1.2129622348678998e-12,1,164,5.039897870946629e-11,9.674988675693501e-13,3.2007072853741975e-13,5.229210403190338e-09,1,7.831659280631547e-05,both,True
train,depablo_low_temp,145,149,1.075827003660379e-05,0.0001121514578699,0.9040737388444606,2.089009285555221e-05,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.63596126078558e-05,1.427618956614233e-12,1,164,2.193487220246932e-11,2.5260818220710442e-12,2.9513461306841163e-13,5.293646920301258e-09,1,0.00011215145389000001,both,True
train,depablo_low_temp,145,175,1.5246602742990945e-05,0.0001558988878969,0.9022019788038969,2.98424820357468e-05,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,2.290066366425819e-05,2.122026939910649e-12,1,164,7.62115447341523e-12,4.412035338850844e-13,2.8012232038377284e-13,5.3787271816120765e-09,1,0.00015589889648700002,both,True
train,depablo_low_temp,145,199,2.0346633391454816e-05,0.0002029132301686,0.8997274185889923,4.022792927571573e-05,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,2.9958501519031514e-05,2.848193138222856e-12,1,164,1.7464746226781901e-10,1.017142137862647e-11,2.4318631429659963e-13,5.367272625231659e-09,1,0.00020291320714200002,both,True
train,depablo_low_temp,7,0,1.4270942756411389e-06,0.0,,4.8117296813643406e-08,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.74939379975411e-31,,0,112,7.244023347597835e-10,6.471063015896968e-11,1.446958829511928e-14,,0,0.0,both,True
train,depablo_low_temp,7,5,1.0883934464800404e-06,1.011753809621041e-07,-9.757492940774844,2.8622794800980955e-08,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,5.885931514033157e-09,3.649643281351711e-12,1,112,2.380980050536405e-10,6.336109417345498e-12,3.215894861795871e-13,4.301072746820245e-09,1,1.011753797346604e-07,both,True
train,depablo_low_temp,7,10,8.005030736057961e-07,4.158454487424024e-07,-0.9250014062355938,1.1093838736542241e-07,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,3.054005915830614e-08,2.047112142653607e-12,1,112,8.425220176862753e-11,5.711651986168528e-13,3.0981963267464773e-13,4.310645207402571e-09,1,4.1584543609178134e-07,both,True
