variant,source,frame,seeds,unique_networks,evaluations,coordinate_valid,coordinate_mse,zero_motion_mse,affine_x0_to_xt_mse,pca_in_sample_rank4_mse,shuffled_same_source_coordinate_mse,ae_over_affine_mse,shuffled_over_ae_mse
mp2_r16_d4,lj_noisy,199,5,5,25,25,3.3190834219567474e-05,0.0001834665443202,3.39152465253845e-05,4.516824586117567e-09,4.019981824967545e-05,0.9786405118631579,1.211172276771997
mp2_r16_d4,reid,5,5,5,25,25,1.9839404217236733e-08,1.0300576369152964e-07,3.4468657469043684e-09,3.390114281250994e-11,2.598090121264107e-08,5.755780954060804,1.30956055575845
mp2_r16_d4,reid,10,5,5,25,25,4.0638333800302464e-08,4.223456105070434e-07,2.1099180744044667e-08,9.9706653904948e-12,7.091831268013493e-08,1.9260621676873784,1.745108769188935
mp2_r16_d4,reid,25,5,5,25,25,2.204389692650466e-07,2.730813257314309e-06,1.8912829531911967e-07,5.456425814145832e-12,4.74524694595857e-07,1.1655525625771428,2.152635244929441
mp2_r16_d4,reid,50,5,5,25,25,9.225119248412739e-07,1.1211941868125954e-05,9.26532267996886e-07,9.50706910526163e-13,2.0981063357794483e-06,0.9956608708682064,2.2743406120635736
mp2_r16_d4,reid,75,5,5,25,25,2.249681365356082e-06,2.562586217425644e-05,2.318738281408706e-06,2.0941629734733575e-12,5.087494829467687e-06,0.970217891080545,2.261429066272429
mp2_r16_d4,reid,100,5,5,25,25,4.26269882041197e-06,4.6070201792877205e-05,4.424947193655038e-06,1.6363214344433401e-12,9.573687818829058e-06,0.9633332633944837,2.245921708797575
mp2_r16_d4,reid,125,5,5,25,25,7.026325606602768e-06,7.261199486532741e-05,7.282684138910498e-06,6.498826789687972e-13,1.561893709549622e-05,0.9647988945534466,2.222916780403518
mp2_r16_d4,reid,149,5,5,25,25,1.0452473766235926e-05,0.00010387085302100449,1.0755859999921008e-05,1.9496544489897556e-12,2.2857127751194638e-05,0.9717934006497565,2.1867672918758054
mp2_r16_d4,reid,175,5,5,25,25,1.5099063189154549e-05,0.0001441765827672,1.5348147402845737e-05,9.784617862978829e-13,3.222631788958097e-05,0.983771056717568,2.134325652251637
mp2_r16_d4,reid,199,5,5,25,25,2.0375529907141754e-05,0.00018736525662380003,2.036958465388666e-05,8.013173975041908e-12,4.226774565722103e-05,1.0002918691449096,2.0744366330519783
mp2_r16_d8,depablo_low_temp,5,5,5,25,25,5.099406429565079e-08,1.0330704498472887e-07,4.372092237277946e-09,7.781693536739708e-12,8.237264282229261e-08,11.663538079288,1.6153378625542907
mp2_r16_d8,depablo_low_temp,10,5,5,25,25,4.1480214676425934e-08,4.278319277541216e-07,2.4954174088918685e-08,1.118432041926718e-12,1.3097700573894145e-07,1.6622555620803299,3.1575778177777463
mp2_r16_d8,depablo_low_temp,25,5,5,25,25,1.351730400500628e-07,2.764258881519992e-06,2.0117711658352973e-07,1.8002288390329277e-12,7.504995039653295e-07,0.6719106146147507,5.552138974512772
mp2_r16_d8,depablo_low_temp,50,5,5,25,25,5.183401773933838e-07,1.1252334530167582e-05,8.95106097426774e-07,4.3793566553556915e-13,3.2187672104555532e-06,0.5790823890972184,6.209758283916963
mp2_r16_d8,depablo_low_temp,75,5,5,25,25,1.1678698803052612e-06,2.5546909560774275e-05,2.106854597293095e-06,9.206131302821488e-13,7.493671892007114e-06,0.5543191646000396,6.416529802145764
mp2_r16_d8,depablo_low_temp,100,5,5,25,25,2.0886029938083082e-06,4.572099040783272e-05,3.856385888030757e-06,3.4891008753279574e-13,1.3801412806060397e-05,0.541595953945066,6.607963718799059
mp2_r16_d8,depablo_low_temp,125,5,5,25,25,3.285358309312869e-06,7.185182385627643e-05,6.16406316275599e-06,4.864029770351856e-13,2.2257128730416298e-05,0.532985828108219,6.774642713193546
mp2_r16_d8,depablo_low_temp,149,5,5,25,25,4.708933633992274e-06,0.00010261770591026967,8.924335227320942e-06,9.312472623151731e-13,3.230592476029415e-05,0.5276509133785511,6.860560643090846
mp2_r16_d8,depablo_low_temp,175,5,5,25,25,6.611038043047302e-06,0.0001423011971972,1.2538439479607814e-05,3.455010452420198e-13,4.50001817807788e-05,0.5272616304285169,6.806825416487295
mp2_r16_d8,depablo_low_temp,199,5,5,25,25,8.831309642118868e-06,0.00018488138315240002,1.647194945541349e-05,3.1700798251106407e-12,5.798480589873095e-05,0.5361423470866994,6.565821859782377
mp2_r16_d8,lj_noisy,5,5,5,25,25,5.628612079533468e-08,9.486441761707228e-08,3.75890614981168e-09,6.558001540568354e-10,6.360397136973006e-08,14.974069197804951,1.130011634679964
mp2_r16_d8,lj_noisy,10,5,5,25,25,5.636644125672774e-08,3.963125139200146e-07,2.7726751678773896e-08,3.288913812111291e-10,7.299531176840902e-08,2.0329262478979406,1.2950136666592644
mp2_r16_d8,lj_noisy,25,5,5,25,25,3.1181198380636486e-07,2.622390837923455e-06,3.051739450465259e-07,6.299594392357058e-10,4.3349835493700084e-07,1.021751656285162,1.3902555945579154
mp2_r16_d8,lj_noisy,50,5,5,25,25,1.5113326753635193e-06,1.0900670728266218e-05,1.605750744216208e-06,3.3287516469883534e-10,2.0904580242131486e-06,0.9412000466493475,1.383188531744232
mp2_r16_d8,lj_noisy,75,5,5,25,25,3.834198705590097e-06,2.5082033711610382e-05,4.124711122291213e-06,4.028707572640717e-10,5.355824141588528e-06,0.9295678150328885,1.3968561759149223
mp2_r16_d8,lj_noisy,100,5,5,25,25,7.393032883555861e-06,4.5120623103113054e-05,7.936718917391868e-06,5.357621695990441e-10,1.0352584686188493e-05,0.9314973807823005,1.4003163315038798
mp2_r16_d8,lj_noisy,125,5,5,25,25,1.2052947513438994e-05,7.115652117857791e-05,1.2863806909897439e-05,6.720508953066945e-10,1.666482068685582e-05,0.9369658296227559,1.3826344691433032
mp2_r16_d8,lj_noisy,149,5,5,25,25,1.749476072291145e-05,0.00010185746687709655,1.8536028385473923e-05,5.540660870712175e-10,2.3433602109435014e-05,0.9438246618472769,1.3394639961406245
mp2_r16_d8,lj_noisy,175,5,5,25,25,2.4816462646413127e-05,0.0001414022826588,2.594718332607546e-05,5.455727664543405e-10,3.198586840881035e-05,0.9564222187259137,1.2888971673581149
mp2_r16_d8,lj_noisy,199,5,5,25,25,3.297814109828323e-05,0.0001834665443202,3.39152465253845e-05,4.516824586117567e-09,4.1341875039506704e-05,0.9723691990149659,1.2536144750032279
mp2_r16_d8,reid,5,5,5,25,25,2.2183640231432377e-08,1.0300576369152964e-07,3.4468657469043684e-09,3.390114281250994e-11,2.7616111903938645e-08,6.435887516464926,1.2448863944705029
mp2_r16_d8,reid,10,5,5,25,25,4.209340573879672e-08,4.223456105070434e-07,2.1099180744044667e-08,9.9706653904948e-12,7.110837046298003e-08,1.9950256007299128,1.6892995283924186
mp2_r16_d8,reid,25,5,5,25,25,2.0565613390033377e-07,2.730813257314309e-06,1.8912829531911967e-07,5.456425814145832e-12,4.6602070767676197e-07,1.0873895603686712,2.2660190038513877
mp2_r16_d8,reid,50,5,5,25,25,8.962540442780665e-07,1.1211941868125954e-05,9.26532267996886e-07,9.50706910526163e-13,2.1023318188895246e-06,0.9673209182619409,2.345687400030596
mp2_r16_d8,reid,75,5,5,25,25,2.2000112585374154e-06,2.562586217425644e-05,2.318738281408706e-06,2.0941629734733575e-12,5.069503968115896e-06,0.9487967124952281,2.3043081931708573
mp2_r16_d8,reid,100,5,5,25,25,4.186231158200826e-06,4.6070201792877205e-05,4.424947193655038e-06,1.6363214344433401e-12,9.59934243837779e-06,0.9460522295505563,2.2930751015917217
mp2_r16_d8,reid,125,5,5,25,25,6.899194048628488e-06,7.261199486532741e-05,7.282684138910498e-06,6.498826789687972e-13,1.5828485334168364e-05,0.9473422047465894,2.294251360753501
mp2_r16_d8,reid,149,5,5,25,25,1.0228765122519689e-05,0.00010387085302100449,1.0755859999921008e-05,1.9496544489897556e-12,2.3417205870828183e-05,0.9509946320047686,2.2893482830369005
mp2_r16_d8,reid,175,5,5,25,25,1.469344279712459e-05,0.0001441765827672,1.5348147402845737e-05,9.784617862978829e-13,3.337028312671464e-05,0.9573430858762956,2.2711003532300125
mp2_r16_d8,reid,199,5,5,25,25,1.967997480278427e-05,0.00018736525662380003,2.036958465388666e-05,8.013173975041908e-12,4.4070678259217396e-05,0.9661451196565854,2.239366599848613
r16_d2,depablo_low_temp,5,5,5,25,25,1.2078744580890088e-06,1.0330704498472887e-07,4.372092237277946e-09,7.781693536739708e-12,1.6615821638055195e-06,276.26920763250604,1.3756248860782492
r16_d2,depablo_low_temp,10,5,5,25,25,9.246038938215406e-07,4.278319277541216e-07,2.4954174088918685e-08,1.118432041926718e-12,1.4401336088099015e-06,37.05207355398415,1.5575681850717624
r16_d2,depablo_low_temp,25,5,5,25,25,5.235155356331233e-07,2.764258881519992e-06,2.0117711658352973e-07,1.8002288390329277e-12,1.4378198409303878e-06,2.6022618502724044,2.746470244080786
r16_d2,depablo_low_temp,50,5,5,25,25,7.411779694166399e-07,1.1252334530167582e-05,8.95106097426774e-07,4.3793566553556915e-13,3.2025934797275113e-06,0.8280336504771418,4.3209507188242275
r16_d2,depablo_low_temp,75,5,5,25,25,1.539917565196447e-06,2.5546909560774275e-05,2.106854597293095e-06,9.206131302821488e-13,6.7736282289843075e-06,0.7309083252232719,4.398695347124115
r16_d2,depablo_low_temp,100,5,5,25,25,2.8014345343763127e-06,4.572099040783272e-05,3.856385888030757e-06,3.4891008753279574e-13,1.189429527585162e-05,0.7264404070845851,4.245787338557124
r16_d2,depablo_low_temp,125,5,5,25,25,4.527421258444519e-06,7.185182385627643e-05,6.16406316275599e-06,4.864029770351856e-13,1.8466331566742157e-05,0.7344865130194873,4.078774762189152
r16_d2,depablo_low_temp,149,5,5,25,25,6.734701562436385e-06,0.00010261770591026967,8.924335227320942e-06,9.312472623151731e-13,2.6430528705532197e-05,0.7546446195587525,3.92452857197885
r16_d2,depablo_low_temp,175,5,5,25,25,1.0006010243159835e-05,0.0001423011971972,1.2538439479607814e-05,3.455010452420198e-13,3.758025522984099e-05,0.7980267607809843,3.755768214961709
r16_d2,depablo_low_temp,199,5,5,25,25,1.4225281165636262e-05,0.00018488138315240002,1.647194945541349e-05,3.1700798251106407e-12,5.100209520604832e-05,0.8636064118665163,3.585313682885446
r16_d2,lj_noisy,5,5,5,25,25,3.0236133298444655e-07,9.486441761707228e-08,3.75890614981168e-09,6.558001540568354e-10,4.041370902285735e-07,80.43864915318377,1.3366030842619756
r16_d2,lj_noisy,10,5,5,25,25,2.2156177251986264e-07,3.963125139200146e-07,2.7726751678773896e-08,3.288913812111291e-10,3.438581642001282e-07,7.990902615883359,1.5519742430716557
r16_d2,lj_noisy,25,5,5,25,25,3.6703511625546524e-07,2.622390837923455e-06,3.051739450465259e-07,6.299594392357058e-10,5.990173883674288e-07,1.2027079054848806,1.632043806812475
r16_d2,lj_noisy,50,5,5,25,25,1.6226439265665249e-06,1.0900670728266218e-05,1.605750744216208e-06,3.3287516469883534e-10,2.2229234264159457e-06,1.010520426293536,1.3699391406958874
r16_d2,lj_noisy,75,5,5,25,25,4.085674345333246e-06,2.5082033711610382e-05,4.124711122291213e-06,4.028707572640717e-10,5.3130880587559656e-06,0.9905358761376037,1.3004188806248596
r16_d2,lj_noisy,100,5,5,25,25,7.930011015560013e-06,4.5120623103113054e-05,7.936718917391868e-06,5.357621695990441e-10,9.919613312376896e-06,0.9991548268369241,1.2508952752919194
r16_d2,lj_noisy,125,5,5,25,25,1.2875575084763113e-05,7.115652117857791e-05,1.2863806909897439e-05,6.720508953066945e-10,1.5597990750393364e-05,1.0009148283201157,1.2114403160797023
r16_d2,lj_noisy,149,5,5,25,25,1.8464204513293224e-05,0.00010185746687709655,1.8536028385473923e-05,5.540660870712175e-10,2.1757573886134196e-05,0.9961251746767401,1.1783650831244814
r16_d2,lj_noisy,175,5,5,25,25,2.5965491877286693e-05,0.0001414022826588,2.594718332607546e-05,5.455727664543405e-10,2.982012782013044e-05,1.0007056084269783,1.1484522596783766
r16_d2,lj_noisy,199,5,5,25,25,3.464513247308787e-05,0.0001834665443202,3.39152465253845e-05,4.516824586117567e-09,3.89601484494051e-05,1.0215208799133177,1.124548981871237
r16_d2,reid,5,5,5,25,25,2.1735879911943812e-07,1.0300576369152964e-07,3.4468657469043684e-09,3.390114281250994e-11,2.871495410161629e-07,63.05983901886755,1.3210854227179223
r16_d2,reid,10,5,5,25,25,1.7841189279721447e-07,4.223456105070434e-07,2.1099180744044667e-08,9.9706653904948e-12,2.7750226081479925e-07,8.455868261499774,1.5554022574616835
r16_d2,reid,25,5,5,25,25,3.8218932871814106e-07,2.730813257314309e-06,1.8912829531911967e-07,5.456425814145832e-12,6.748657165189798e-07,2.0207940227730914,1.7657890103380756
r16_d2,reid,50,5,5,25,25,1.3392209166340762e-06,1.1211941868125954e-05,9.26532267996886e-07,9.50706910526163e-13,2.4650302214013208e-06,1.4454120626898417,1.8406449531842672
r16_d2,reid,75,5,5,25,25,2.86182942772939e-06,2.562586217425644e-05,2.318738281408706e-06,2.0941629734733575e-12,5.5449096339543755e-06,1.2342183896626484,1.9375402252236165
r16_d2,reid,100,5,5,25,25,4.970733178879527e-06,4.6070201792877205e-05,4.424947193655038e-06,1.6363214344433401e-12,9.850024041497817e-06,1.1233429375173325,1.9816038574249424
r16_d2,reid,125,5,5,25,25,7.712921578786337e-06,7.261199486532741e-05,7.282684138910498e-06,6.498826789687972e-13,1.5452509919668956e-05,1.059076767805586,2.0034574138766854
r16_d2,reid,149,5,5,25,25,1.1139710020415805e-05,0.00010387085302100449,1.0755859999921008e-05,1.9496544489897556e-12,2.2357642174029024e-05,1.0356875248002126,2.007021918259457
r16_d2,reid,175,5,5,25,25,1.602107669441466e-05,0.0001441765827672,1.5348147402845737e-05,9.784617862978829e-13,3.197365853338852e-05,1.0438443333847673,1.9957247033550076
r16_d2,reid,199,5,5,25,25,2.1811372066622424e-05,0.00018736525662380003,2.036958465388666e-05,8.013173975041908e-12,4.3153823708038835e-05,1.0707813849538,1.9785011037465363
r16_d4,depablo_low_temp,5,5,5,25,25,1.4394002937478946e-06,1.0330704498472887e-07,4.372092237277946e-09,7.781693536739708e-12,1.9671974880708376e-06,329.22459445733506,1.366678537315475
r16_d4,depablo_low_temp,10,5,5,25,25,1.1317478826811112e-06,4.278319277541216e-07,2.4954174088918685e-08,1.118432041926718e-12,1.725895996997906e-06,45.35304909905564,1.5249827487277976
r16_d4,depablo_low_temp,25,5,5,25,25,6.699231215634427e-07,2.764258881519992e-06,2.0117711658352973e-07,1.8002288390329277e-12,1.6779475220118911e-06,3.330016519474705,2.5046866841913995
r16_d4,depablo_low_temp,50,5,5,25,25,8.593681840807221e-07,1.1252334530167582e-05,8.95106097426774e-07,4.3793566553556915e-13,3.463785610620107e-06,0.9600741035629293,4.030618860209918
r16_d4,depablo_low_temp,75,5,5,25,25,1.6527737454907764e-06,2.5546909560774275e-05,2.106854597293095e-06,9.206131302821488e-13,7.1515302624902685e-06,0.784474518371735,4.32698684983448
r16_d4,depablo_low_temp,100,5,5,25,25,2.8407685908860004e-06,4.572099040783272e-05,3.856385888030757e-06,3.4891008753279574e-13,1.2429455418896396e-05,0.7366401271467736,4.375384696512644
r16_d4,depablo_low_temp,125,5,5,25,25,4.423904456416494e-06,7.185182385627643e-05,6.16406316275599e-06,4.864029770351856e-13,1.9247239470132628e-05,0.7176929144961162,4.350735794534658
r16_d4,depablo_low_temp,149,5,5,25,25,6.490995779131481e-06,0.00010261770591026967,8.924335227320942e-06,9.312472623151731e-13,2.7609332646534314e-05,0.7273366154220607,4.253481836376813
r16_d4,depablo_low_temp,175,5,5,25,25,9.711871966828766e-06,0.0001423011971972,1.2538439479607814e-05,3.455010452420198e-13,3.9419642926077357e-05,0.7745678385754382,4.058912953209897
r16_d4,depablo_low_temp,199,5,5,25,25,1.405174878982507e-05,0.00018488138315240002,1.647194945541349e-05,3.1700798251106407e-12,5.363205324101191e-05,0.853071388293204,3.816752921162888
r16_d4,lj_noisy,5,5,5,25,25,3.723918209175281e-07,9.486441761707228e-08,3.75890614981168e-09,6.558001540568354e-10,4.986751022073577e-07,99.06919887749387,1.3391140035747373
r16_d4,lj_noisy,10,5,5,25,25,2.6452832074141953e-07,3.963125139200146e-07,2.7726751678773896e-08,3.288913812111291e-10,4.1258123701481963e-07,9.54054495117537,1.5596864481596437
r16_d4,lj_noisy,25,5,5,25,25,3.618418696760273e-07,2.622390837923455e-06,3.051739450465259e-07,6.299594392357058e-10,6.184525068420044e-07,1.1856905727022728,1.7091789498980086
r16_d4,lj_noisy,50,5,5,25,25,1.6295691375489697e-06,1.0900670728266218e-05,1.605750744216208e-06,3.3287516469883534e-10,2.240891567453218e-06,1.0148331821850645,1.375143598278829
r16_d4,lj_noisy,75,5,5,25,25,4.115376259505865e-06,2.5082033711610382e-05,4.124711122291213e-06,4.028707572640717e-10,5.330689127731602e-06,0.997736844470174,1.2953102685127655
r16_d4,lj_noisy,100,5,5,25,25,8.031711495277704e-06,4.5120623103113054e-05,7.936718917391868e-06,5.357621695990441e-10,9.910308654070831e-06,1.0119687466413454,1.2338974899556165
r16_d4,lj_noisy,125,5,5,25,25,1.306704718444962e-05,7.115652117857791e-05,1.2863806909897439e-05,6.720508953066945e-10,1.5513164180447346e-05,1.0157993878465175,1.1871973799029911
r16_d4,lj_noisy,149,5,5,25,25,1.8656542233657093e-05,0.00010185746687709655,1.8536028385473923e-05,5.540660870712175e-10,2.1588276358670554e-05,1.0065016003254297,1.1571424162256876
r16_d4,lj_noisy,175,5,5,25,25,2.613331816974096e-05,0.0001414022826588,2.594718332607546e-05,5.455727664543405e-10,2.9656680490006692e-05,1.0071736049854183,1.1348226159946782
r16_d4,lj_noisy,199,5,5,25,25,3.49324617855018e-05,0.0001834665443202,3.39152465253845e-05,4.516824586117567e-09,3.898263043083716e-05,1.0299928605665876,1.1159428347822975
r16_d4,reid,5,5,5,25,25,3.018320751380088e-07,1.0300576369152964e-07,3.4468657469043684e-09,3.390114281250994e-11,3.910122701711316e-07,87.5671109062151,1.2954629490333205
r16_d4,reid,10,5,5,25,25,2.278629577290303e-07,4.223456105070434e-07,2.1099180744044667e-08,9.9706653904948e-12,3.4700106677831854e-07,10.799611629155109,1.522849831480572
r16_d4,reid,25,5,5,25,25,3.4859703852418987e-07,2.730813257314309e-06,1.8912829531911967e-07,5.456425814145832e-12,6.620089617115355e-07,1.8431776056353473,1.8990665110472456
r16_d4,reid,50,5,5,25,25,1.2780477592855276e-06,1.1211941868125954e-05,9.26532267996886e-07,9.50706910526163e-13,2.4257745559452814e-06,1.3793882883848176,1.898031226392801
r16_d4,reid,75,5,5,25,25,2.8816144833854197e-06,2.562586217425644e-05,2.318738281408706e-06,2.0941629734733575e-12,5.61007744181552e-06,1.242751071343312,1.946852181012294
r16_d4,reid,100,5,5,25,25,5.01144276654486e-06,4.6070201792877205e-05,4.424947193655038e-06,1.6363214344433401e-12,9.969916429781734e-06,1.1325429541240182,1.9894303685035386
r16_d4,reid,125,5,5,25,25,7.601375446029124e-06,7.261199486532741e-05,7.282684138910498e-06,6.498826789687972e-13,1.545702630892265e-05,1.043760144067748,2.0334512376963607
r16_d4,reid,149,5,5,25,25,1.0838537389190605e-05,0.00010387085302100449,1.0755859999921008e-05,1.9496544489897556e-12,2.2227722747629742e-05,1.0076867297705814,2.050804638068389
r16_d4,reid,175,5,5,25,25,1.5587297452839268e-05,0.0001441765827672,1.5348147402845737e-05,9.784617862978829e-13,3.180395739946107e-05,1.015581688376878,2.040376626909618
