latent_dim,split,source,frame,seed,networks,shared_mse,ljonly_mse,difference
8,train,lj_noisy,5,123,5,8.579042543033212e-08,8.803927585177007e-07,-7.946023330873686e-07
8,train,lj_noisy,5,456,5,1.6666784006247328e-07,4.7461965664297167e-07,-3.0795181658049844e-07
8,train,lj_noisy,5,786,5,2.0926385673192273e-07,5.204800515912211e-07,-3.112161948592984e-07
8,train,lj_noisy,5,2026,5,3.0256699403707896e-07,1.3678656387128286e-06,-1.0652986446757495e-06
8,train,lj_noisy,5,3456456,5,8.856023896441911e-07,8.857768307279912e-07,-1.7444108380004765e-10
8,train,lj_noisy,10,123,5,6.912799221936439e-08,7.067607100452733e-07,-6.376327178259089e-07
8,train,lj_noisy,10,456,5,1.29081562505462e-07,3.778914845042891e-07,-2.488099219988271e-07
8,train,lj_noisy,10,786,5,1.3878385658472324e-07,4.060616390688665e-07,-2.672777824841432e-07
8,train,lj_noisy,10,2026,5,2.183345308992557e-07,1.1122140449515427e-06,-8.938795140522871e-07
8,train,lj_noisy,10,3456456,5,5.826043889101129e-07,6.657704602730519e-07,-8.316607136293896e-08
8,train,lj_noisy,25,123,5,3.75648573935905e-07,6.505781868781924e-07,-2.7492961294228737e-07
8,train,lj_noisy,25,456,5,3.496764350074955e-07,4.871464057032426e-07,-1.3746997069574717e-07
8,train,lj_noisy,25,786,5,3.264179497364239e-07,4.6013383894205615e-07,-1.3371588920563226e-07
8,train,lj_noisy,25,2026,5,3.847085167762998e-07,8.906941047825967e-07,-5.059855880062969e-07
8,train,lj_noisy,25,3456456,5,3.56667018763801e-07,5.80671382977016e-07,-2.2400436421321502e-07
8,train,lj_noisy,50,123,5,1.6781179056124528e-06,1.8558468354967772e-06,-1.7772892988432436e-07
8,train,lj_noisy,50,456,5,1.6413145885962877e-06,1.8279862615599995e-06,-1.8667167296371186e-07
8,train,lj_noisy,50,786,5,1.6699180378054735e-06,1.7289756669924828e-06,-5.90576291870093e-08
8,train,lj_noisy,50,2026,5,1.6676041468599578e-06,2.0477251609918312e-06,-3.801210141318733e-07
8,train,lj_noisy,50,3456456,5,1.6971623153949622e-06,1.9306907915961347e-06,-2.3352847620117224e-07
8,train,lj_noisy,75,123,5,4.113989325560396e-06,4.600697411660803e-06,-4.867080861004068e-07
8,train,lj_noisy,75,456,5,4.225141174174496e-06,4.488993272389052e-06,-2.638520982145563e-07
8,train,lj_noisy,75,786,5,4.234660309521132e-06,4.424801045388449e-06,-1.9014073586731685e-07
8,train,lj_noisy,75,2026,5,4.1654374399513475e-06,4.7932009692885915e-06,-6.277635293372439e-07
8,train,lj_noisy,75,3456456,5,4.278562664694619e-06,4.492695279623149e-06,-2.1413261492853052e-07
8,train,lj_noisy,100,123,5,8.026615341805155e-06,8.8989012510865e-06,-8.722859092813457e-07
8,train,lj_noisy,100,456,5,8.119911308313022e-06,8.387641992158024e-06,-2.677306838450025e-07
8,train,lj_noisy,100,786,5,8.20682189441868e-06,8.438141867372905e-06,-2.313199729542248e-07
8,train,lj_noisy,100,2026,5,8.094579516182421e-06,8.795757639745717e-06,-7.011781235632952e-07
8,train,lj_noisy,100,3456456,5,8.040703050937736e-06,8.28345182526391e-06,-2.4274877432617357e-07
8,train,lj_noisy,125,123,5,1.2986585352336988e-05,1.4164741332933773e-05,-1.1781559805967849e-06
8,train,lj_noisy,125,456,5,1.2937708197569009e-05,1.3362405115913135e-05,-4.2469691834412585e-07
8,train,lj_noisy,125,786,5,1.3340601435629651e-05,1.3546378795581404e-05,-2.0577735995175317e-07
8,train,lj_noisy,125,2026,5,1.3166915960027836e-05,1.3758135355601554e-05,-5.912193955737176e-07
8,train,lj_noisy,125,3456456,5,1.307412840105826e-05,1.3389343257586006e-05,-3.1521485652774574e-07
8,train,lj_noisy,149,123,5,1.8416979946778157e-05,2.022289754677331e-05,-1.8059175999951546e-06
8,train,lj_noisy,149,456,5,1.8437272774463054e-05,1.9184659140591976e-05,-7.473863661289221e-07
8,train,lj_noisy,149,786,5,1.931331589730689e-05,1.9580086700443644e-05,-2.667708031367524e-07
8,train,lj_noisy,149,2026,5,1.8957080101245083e-05,1.9701609380717856e-05,-7.445292794727711e-07
8,train,lj_noisy,149,3456456,5,1.899055168905761e-05,1.9377280477783642e-05,-3.8672878872603076e-07
8,train,lj_noisy,175,123,5,2.553990707383491e-05,2.9256780180730857e-05,-3.7168731068959444e-06
8,train,lj_noisy,175,456,5,2.6112643536180257e-05,2.7224332734476774e-05,-1.1116891982965175e-06
8,train,lj_noisy,175,786,5,2.7619116008281707e-05,2.8015510542900303e-05,-3.963945346185944e-07
8,train,lj_noisy,175,2026,5,2.6647215054254048e-05,2.820564550347626e-05,-1.5584304492222144e-06
8,train,lj_noisy,175,3456456,5,2.7104361288365907e-05,2.7624532594927587e-05,-5.201713065616787e-07
8,train,lj_noisy,199,123,5,3.391215104784351e-05,4.117399257665966e-05,-7.261841528816149e-06
8,train,lj_noisy,199,456,5,3.51646653143689e-05,3.6532148078549655e-05,-1.367482764180749e-06
8,train,lj_noisy,199,786,5,3.740714455489069e-05,3.7909713500994255e-05,-5.025689461035647e-07
8,train,lj_noisy,199,2026,5,3.526829350448679e-05,3.83785147278104e-05,-3.1102212233236046e-06
8,train,lj_noisy,199,3456456,5,3.637429181253537e-05,3.7218473516986704e-05,-8.441817044513327e-07
8,validation,lj_noisy,0,123,20,1.8703414532694752e-07,1.2018861582419048e-06,-1.0148520129149574e-06
8,validation,lj_noisy,0,456,20,2.5342942873152196e-07,6.206781293371932e-07,-3.672487006056713e-07
8,validation,lj_noisy,0,786,20,3.470725747689585e-07,6.248192931934682e-07,-2.777467184245097e-07
8,validation,lj_noisy,0,2026,20,4.3517360897027403e-07,1.665155201635571e-06,-1.2299815926652967e-06
8,validation,lj_noisy,0,3456456,20,1.253796710898314e-06,1.1895571759623635e-06,6.423953493595035e-08
8,validation,lj_noisy,5,123,20,1.0951393827340894e-07,9.66847532168913e-07,-8.57333593895504e-07
8,validation,lj_noisy,5,456,20,1.7213213308053812e-07,4.712102267490081e-07,-2.9907809366847006e-07
8,validation,lj_noisy,5,786,20,2.354332984566554e-07,4.7480394016474747e-07,-2.3937064170809207e-07
8,validation,lj_noisy,5,2026,20,3.002957060793676e-07,1.341501896945374e-06,-1.0412061908660064e-06
8,validation,lj_noisy,5,3456456,20,8.683704621148536e-07,8.846663178019298e-07,-1.629585568707625e-08
8,validation,lj_noisy,10,123,20,8.863830647243277e-08,7.856891041768677e-07,-6.970507977044349e-07
8,validation,lj_noisy,10,456,20,1.3375081966415792e-07,3.7211445587104207e-07,-2.3836363620688418e-07
8,validation,lj_noisy,10,786,20,1.765516525864541e-07,3.685066936043313e-07,-1.919550410178772e-07
8,validation,lj_noisy,10,2026,20,2.3127384256582674e-07,1.0802494927020235e-06,-8.489756501361967e-07
8,validation,lj_noisy,10,3456456,20,5.738424228241001e-07,6.652247549254753e-07,-9.138233210137514e-08
8,validation,lj_noisy,25,123,20,3.760918893647158e-07,7.117715007609604e-07,-3.3567961139624457e-07
8,validation,lj_noisy,25,456,20,3.363376514187166e-07,4.6312639909729116e-07,-1.267887476785745e-07
8,validation,lj_noisy,25,786,20,3.8296773823276454e-07,4.3442965775852825e-07,-5.1461919525763725e-08
8,validation,lj_noisy,25,2026,20,4.4073759681850787e-07,8.494901265976295e-07,-4.087525297791217e-07
8,validation,lj_noisy,25,3456456,20,3.8507135116105926e-07,5.842636099373522e-07,-1.9919225877629287e-07
8,validation,lj_noisy,50,123,20,1.6419329796235615e-06,1.8429841531997227e-06,-2.0105117357616106e-07
8,validation,lj_noisy,50,456,20,1.558325689643425e-06,1.728980396364932e-06,-1.7065470672150699e-07
8,validation,lj_noisy,50,786,20,1.656469396493776e-06,1.6559895698264882e-06,4.798266672878208e-10
8,validation,lj_noisy,50,2026,20,1.6961343305865739e-06,1.9855513357924792e-06,-2.894170052059054e-07
8,validation,lj_noisy,50,3456456,20,1.7818416381487624e-06,1.860023263589028e-06,-7.818162544026562e-08
8,validation,lj_noisy,75,123,20,3.993821189851588e-06,4.364227709174884e-06,-3.7040651932329635e-07
8,validation,lj_noisy,75,456,20,4.010174347968132e-06,4.281180406451313e-06,-2.710060584831808e-07
8,validation,lj_noisy,75,786,20,4.088002049229544e-06,4.211270049836458e-06,-1.2326800060691318e-07
8,validation,lj_noisy,75,2026,20,4.052392819176021e-06,4.712384543381631e-06,-6.599917242056109e-07
8,validation,lj_noisy,75,3456456,20,4.292511550829658e-06,4.510076360020321e-06,-2.1756480919066235e-07
8,validation,lj_noisy,100,123,20,7.745170796624734e-06,8.39023855405685e-06,-6.45067757432116e-07
8,validation,lj_noisy,100,456,20,7.751418570478563e-06,8.03982172783435e-06,-2.8840315735578775e-07
8,validation,lj_noisy,100,786,20,7.935006055959094e-06,8.000263096619165e-06,-6.525704066007161e-08
8,validation,lj_noisy,100,2026,20,7.819687857590906e-06,8.716003435438324e-06,-8.963155778474171e-07
8,validation,lj_noisy,100,3456456,20,7.89618395629077e-06,8.374868593818974e-06,-4.786846375282034e-07
8,validation,lj_noisy,125,123,20,1.3000798480788944e-05,1.3865080427422072e-05,-8.642819466331273e-07
8,validation,lj_noisy,125,456,20,1.2884806392321479e-05,1.3263684786579688e-05,-3.7887839425820885e-07
8,validation,lj_noisy,125,786,20,1.322820749010134e-05,1.3188713364797876e-05,3.949412530346291e-08
8,validation,lj_noisy,125,2026,20,1.3013143734497134e-05,1.403106007273891e-05,-1.0179163382417756e-06
8,validation,lj_noisy,125,3456456,20,1.3201992078393233e-05,1.390286870446289e-05,-7.008766260696579e-07
8,validation,lj_noisy,149,123,20,1.9537272055458744e-05,2.077934500448464e-05,-1.242072949025897e-06
8,validation,lj_noisy,149,456,20,1.9376010050109473e-05,1.9951553895225516e-05,-5.755438451160446e-07
8,validation,lj_noisy,149,786,20,1.9916381052098587e-05,1.9860776137647918e-05,5.560491445066822e-08
8,validation,lj_noisy,149,2026,20,1.9408310481594527e-05,2.0799789172087913e-05,-1.3914786904933867e-06
8,validation,lj_noisy,149,3456456,20,1.991651815842488e-05,2.1120396831975084e-05,-1.2038786735502073e-06
8,validation,lj_noisy,175,123,20,2.8588562327058752e-05,3.144532547594281e-05,-2.8567631488840555e-06
8,validation,lj_noisy,175,456,20,2.8590988085852588e-05,2.9412296316877474e-05,-8.213082310248869e-07
8,validation,lj_noisy,175,786,20,2.9618232565553627e-05,2.940593303719652e-05,2.122995283571077e-07
8,validation,lj_noisy,175,2026,20,2.8395992740115616e-05,3.070823422604008e-05,-2.3122414859244595e-06
8,validation,lj_noisy,175,3456456,20,2.9453443130478262e-05,3.1569932343700205e-05,-2.11648921322194e-06
8,validation,lj_noisy,199,123,20,3.88986926736834e-05,4.5501891054300356e-05,-6.6031983806169595e-06
8,validation,lj_noisy,199,456,20,3.9149944586824856e-05,4.0238380825029616e-05,-1.0884362382047569e-06
8,validation,lj_noisy,199,786,20,4.167119077465031e-05,4.0299819920619485e-05,1.3713708540308287e-06
8,validation,lj_noisy,199,2026,20,4.009258182122721e-05,4.2577897966111776e-05,-2.485316144884565e-06
8,validation,lj_noisy,199,3456456,20,4.0744643411017026e-05,4.3979467591270804e-05,-3.234824180253781e-06
