source,coordinate,n,pearson,spearman
depablo_low_temp,z0_0,20,-0.2648703314830082,-0.10977443609022557
depablo_low_temp,z0_1,20,0.25998290029367777,0.38646616541353385
depablo_low_temp,pc1,20,-0.2697545537777196,-0.13684210526315788
depablo_mixed_temp,z0_0,20,-0.1035823287494044,-0.03157894736842105
depablo_mixed_temp,z0_1,20,0.35267561078561327,0.3383458646616541
depablo_mixed_temp,pc1,20,-0.10809889982691391,-0.03157894736842105
lj_noisy,z0_0,20,-0.2165524385885136,-0.10075187969924812
lj_noisy,z0_1,20,-0.16376849842949542,-0.045112781954887216
lj_noisy,pc1,20,-0.21684648919747615,-0.10075187969924812
reid,z0_0,20,0.34485311666581714,0.27669172932330827
reid,z0_1,20,0.1752790494893067,0.08872180451127819
reid,pc1,20,0.3464108775292776,0.27669172932330827
