epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.6912832169156325,0.6035866998136044,0.702741499323594,0.6819384461170749,0.8712083813391234,0.5207028239181167,0.6912832171247717,0.8712083813391234,0.5985900861260138,0.3608934567309916,0.7220112146460451,0.7321772045688704,0.605027291981969,0.7321772045688704,2D AE mixed-T exclusion,6,normalized_delta,96
2,0.514045871402088,0.4665094898131333,0.5278561243885442,0.5096768851342954,0.6878305085395512,0.3446302210421939,0.5140458715720135,0.6878305085395512,0.45904981770405645,0.3496505318908021,0.3993409022805281,0.6607659969595261,0.4699191437102854,0.6607659969595261,2D AE mixed-T exclusion,6,normalized_delta,96
3,0.3982605647883917,0.3793504470861272,0.388253144763018,0.3020929017349293,0.5548289310775305,0.3378598670426168,0.3982605666183589,0.5548289310775305,0.3742513139192995,0.35050978779327124,0.286840405271505,0.5070932662347332,0.3814811530998365,0.5070932662347332,2D AE mixed-T exclusion,6,normalized_delta,96
4,0.3633192041986867,0.3555216542592174,0.354614530582177,0.28238343290592494,0.47903547710493993,0.32853870415373854,0.3633192047215344,0.47903547710493993,0.35039549288830085,0.34226413756550755,0.26770575117552653,0.4627558073261753,0.3575752320224031,0.4627558073261753,2D AE mixed-T exclusion,6,normalized_delta,96
5,0.3526339677603621,0.35137932103519376,0.3442269907185906,0.2779159555309697,0.4594686915607829,0.320517250072015,0.3526339657212559,0.4594686915607829,0.3459592046804334,0.33783750716247596,0.2668649973347783,0.4558058062684722,0.3535027702552422,0.4558058062684722,2D AE mixed-T exclusion,6,normalized_delta,96
6,0.3496683333265154,0.3525266659666637,0.34068689267886315,0.27495537933550385,0.45453141559111443,0.31951820215112287,0.34966833235924705,0.45453141559111443,0.3464711190617986,0.33758218181174016,0.2687182684603613,0.4595893883379176,0.35529661287000636,0.4595893883379176,2D AE mixed-T exclusion,6,normalized_delta,96
7,0.34637350808633,0.34568601764346424,0.33760380854732114,0.2741974925132174,0.4496776609044326,0.31524537142954373,0.34637350828239793,0.4496776609044326,0.33980676040151403,0.3438636942591984,0.25577503704698756,0.4448169234674424,0.3481518849245428,0.4448169234674424,2D AE mixed-T exclusion,6,normalized_delta,96
8,0.3420306691213658,0.3422012956567893,0.33309385360855803,0.2690191807715516,0.4437165120714589,0.3133563153053585,0.3420306693827897,0.4437165120714589,0.33644816590669124,0.3318499445304042,0.24854897559271194,0.45371344848535955,0.34470412286949187,0.45371344848535955,2D AE mixed-T exclusion,6,normalized_delta,96
9,0.33851147944989957,0.3355219882177679,0.3291249296382854,0.2636388403020407,0.441317664714236,0.31057793635286784,0.3385114804563815,0.441317664714236,0.3308563492554975,0.3201424957078416,0.24483764232718386,0.44653070491040125,0.3371702809818089,0.44653070491040125,2D AE mixed-T exclusion,6,normalized_delta,96
10,0.33210589658272893,0.33037656174090346,0.3228188695876222,0.25406772659013144,0.4367710397823861,0.30547893019883254,0.33210589885711667,0.4367710397823861,0.3253099178454201,0.32483990472974256,0.22622578230220824,0.4456232344673481,0.3322296404997663,0.4456232344673481,2D AE mixed-T exclusion,6,normalized_delta,96
