epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,1.121017058690389,1.0059101160150021,1.121017058690389,0.46544736127058667,0.0,1.0059101160150021,0.4285923787392676,0.0,,,,,,,,,,,1,1,1,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,1.1219985286394756,1.0054177723359317,1.1219985286394756,0.4657167394955953,0.0,1.0054177723359317,0.42838420788757503,0.0,-0.9168946731231151,0.5317923995232378,20.0,-0.9168946731231151,-0.9168946731231151,-0.9168946731231151,-0.9168946731231151,-0.9168946731231151,-0.9168946731231151,-0.9168946731231151,1,1,2,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,1.128045876820882,1.004867647541687,1.128045876820882,0.46846915781497955,0.0,1.004867647541687,0.42814955906942487,0.0,,,,,,,,,,,1,1,3,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,1.1024568875630696,1.0042035239748657,1.1024568875630696,0.45705342292785645,0.0,1.0042035239748657,0.4278631703928113,0.0,-0.8827536249221826,0.5172398205701476,20.0,-0.8827536249221826,-0.8827536249221826,-0.8827536249221826,-0.8827536249221826,-0.8827536249221826,-0.8827536249221826,-0.8827536249221826,1,1,4,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,1.0980310241381328,1.0033764217514545,1.0980310241381328,0.45474104086558026,0.0,1.0033764217514545,0.4275034659076482,0.0,,,,,,,,,,,1,1,5,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,1.1168333689371746,1.002319490769878,1.1168333689371746,0.46193663279215497,0.0,1.002319490769878,0.42704124154988676,0.0,-0.7731110585072445,0.5047316924935475,20.0,-0.7731110585072445,-0.7731110585072445,-0.7731110585072445,-0.7731110585072445,-0.7731110585072445,-0.7731110585072445,-0.7731110585072445,1,1,6,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,1.107500950495402,1.0009894103277475,1.107500950495402,0.459179550409317,0.0,1.0009894103277475,0.4264574764529243,0.0,,,,,,,,,,,1,1,7,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,1.1190010408560436,0.9992097651120275,1.1190010408560436,0.4644508461157481,0.0,0.9992097651120275,0.425674568163231,0.0,-0.6098133159717984,0.4977297834111529,20.0,-0.6098133159717984,-0.6098133159717984,-0.6098133159717984,-0.6098133159717984,-0.6098133159717984,-0.6098133159717984,-0.6098133159717984,1,1,8,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,1.1212676962216694,0.9969745457638055,1.1212676962216694,0.4640156875054042,0.0,0.9969745457638055,0.42468796658795327,0.0,,,,,,,,,,,1,1,9,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,1.1050114432970684,0.9939925447106361,1.1050114432970684,0.45809008677800495,0.0,0.9939925447106361,0.42336759460158646,0.0,-0.4346822287560843,0.5038597131567714,20.0,-0.4346822287560843,-0.4346822287560843,-0.4346822287560843,-0.4346822287560843,-0.4346822287560843,-0.4346822287560843,-0.4346822287560843,1,1,10,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
