epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_source_depablo_low_temp_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.4423183822345988,0.4049651153742316,0.4423183822345988,0.4870831931463143,0.3536331628318578,0.4476071532028289,0.42944116972700036,0.4870831931463143,0.4049651153742316,0.3166583328745625,0.5320954531333164,0.36065188165950146,0.4031352225557934,0.5320954531333164,2D AE mixed-T exclusion,6,normalized_delta,192
2,0.3111642470738816,0.2406703261245729,0.3111642470738816,0.37082157626774553,0.2598496738450724,0.27624489704467897,0.3023053823858323,0.37082157626774553,0.2406703261245729,0.20982805134708735,0.1703203867630739,0.3384530957690195,0.23953384462639357,0.3384530957690195,2D AE mixed-T exclusion,6,normalized_delta,192
3,0.22255047148699023,0.23160556382961994,0.22255047148699023,0.3426793870478074,0.14826937205758653,0.11815923375621783,0.20303599762053726,0.3426793870478074,0.23160556382961994,0.19686232410628904,0.16085382496545975,0.3328826779940803,0.230199609021943,0.3328826779940803,2D AE mixed-T exclusion,6,normalized_delta,192
4,0.21637286615043508,0.22657132863334598,0.21637286615043508,0.3351597710385204,0.14382237180088173,0.11211150058182899,0.19703121447374372,0.3351597710385204,0.22657132863334598,0.1936008645162145,0.15023301746206064,0.33175092589992444,0.22519493595939988,0.33175092589992444,2D AE mixed-T exclusion,6,normalized_delta,192
5,0.213275973594104,0.22956480820835007,0.213275973594104,0.3314530979676526,0.14188626336618648,0.1083039199341201,0.1938810937559864,0.3314530979676526,0.22956480820835007,0.20875997111409347,0.1440858511940429,0.3322325822063967,0.228359468171511,0.3322325822063967,2D AE mixed-T exclusion,6,normalized_delta,192
6,0.2113455441212993,0.22574197499705675,0.2113455441212993,0.3288975398504501,0.14114958882252446,0.10586813048560496,0.19197175305285985,0.3288975398504501,0.22574197499705675,0.1910755496293782,0.14806478002451753,0.33387327571154424,0.22433786845514667,0.33387327571154424,2D AE mixed-T exclusion,6,normalized_delta,192
7,0.20929470347310045,0.22595011273148,0.20929470347310045,0.3264554262849408,0.1401321875497196,0.10352606847419091,0.19003789410295044,0.3264554262849408,0.22595011273148,0.195340017097051,0.1427868299357789,0.3356740474946013,0.2246002981758104,0.3356740474946013,2D AE mixed-T exclusion,6,normalized_delta,192
8,0.20791833428252443,0.2260999544416323,0.20791833428252443,0.324196666558513,0.13941722213030922,0.10237385484441242,0.18866258117774484,0.324196666558513,0.2260999544416323,0.19394041738284634,0.14229919636916172,0.337986798344278,0.2247421373654287,0.337986798344278,2D AE mixed-T exclusion,6,normalized_delta,192
9,0.2058932200391805,0.22434931557876528,0.2058932200391805,0.32153609350032536,0.13836525705002817,0.1007841402436499,0.18689516359800115,0.32153609350032536,0.22434931557876528,0.19481626845539568,0.13273152232072072,0.3412405874237026,0.22292945939993966,0.3412405874237026,2D AE mixed-T exclusion,6,normalized_delta,192
10,0.2035928157358356,0.21956852438582225,0.2035928157358356,0.3182776785764982,0.13735325263108442,0.09885946722108983,0.18483013280955748,0.3182776785764982,0.21956852438582225,0.1898572111745028,0.12659905241606267,0.3380557313144795,0.21817066496834833,0.3380557313144795,2D AE mixed-T exclusion,6,normalized_delta,192
