epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_source_depablo_low_temp_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.41355982279777526,0.2670566238941004,0.42767496023575463,0.4949849210381508,0.3367556864768267,0.408938858166337,0.4135598218937715,0.4949849210381508,0.2656370085341235,0.2641213518511504,0.17146683252230285,0.3655816873088479,0.2670566238941004,0.3655816873088479,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
2,0.19741722650329271,0.21828287699756524,0.2185675630569458,0.3539821950892607,0.15329653802265725,0.08497294701387485,0.1974172267085976,0.3539821950892607,0.21741413655504585,0.20757222049683333,0.0957140608932823,0.3515623496025801,0.21828287699756524,0.3515623496025801,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
3,0.18663173366586366,0.2146815564064309,0.20870873935023943,0.3450686753988266,0.14058020476003488,0.07424632126341263,0.1866317338074247,0.3450686753988266,0.21377555165315668,0.2037793627846986,0.09136346929986029,0.34890183713473377,0.2146815564064309,0.34890183713473377,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
4,0.18143890357017517,0.2154287740783766,0.20318619520465533,0.3354426840146383,0.1361232492942363,0.07275077623253068,0.1814389031804684,0.3354426840146383,0.2145052323852045,0.20654542655311525,0.09525907977391035,0.34448181590810417,0.2154287740783766,0.34448181590810417,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
5,0.17667117617527645,0.21353976341259356,0.19788735874493918,0.3252562717795372,0.13226477231830358,0.07249248482597372,0.17667117630793816,0.3252562717795372,0.21256744952934484,0.2038190152719617,0.09413150346791371,0.34266877149790526,0.2135397634125936,0.34266877149790526,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
6,0.1727835907638073,0.21202913316587607,0.19390396158893902,0.3185258875886599,0.12811442263548573,0.07171045934781432,0.17278358985732,0.3185258875886599,0.2109234076263383,0.19832266159262507,0.09449617089610547,0.3432685670088977,0.21202913316587604,0.3432685670088977,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
7,0.1684738303522269,0.20890592560265214,0.19032418421904246,0.3138125107785066,0.12117087478314836,0.07043810486358901,0.168473830141748,0.3138125107785066,0.20777348236056667,0.1878623704686761,0.09643977680336684,0.3424156295359135,0.20890592560265211,0.3424156295359135,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
8,0.16455457487702368,0.20609121700562535,0.1866508419016997,0.3092256573438644,0.11640819650391737,0.06802987165376544,0.16455457516718242,0.3092256573438644,0.2050222413825492,0.18402622558362783,0.09179320959374308,0.3424542158395052,0.20609121700562535,0.3424542158395052,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
9,0.1617081267287334,0.20492574706301092,0.18369715189933777,0.304879587829113,0.11414071141555905,0.06610408093625059,0.1617081267269742,0.304879587829113,0.20385791217442603,0.1852396500185132,0.0910724627263844,0.3384651284441352,0.20492574706301092,0.3384651284441352,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
10,0.15920938661197823,0.20558922032096114,0.18106111082434653,0.3008073645730813,0.11181522596317033,0.0650055691326658,0.15920938655630582,0.3008073645730813,0.20461035462344687,0.18593150972481817,0.09123344343854115,0.33960270779952406,0.20558922032096114,0.33960270779952406,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
11,0.1564207299997409,0.20466917445107052,0.17813073004285496,0.2962870914538701,0.10882350113987922,0.06415159692366917,0.1564207298391395,0.2962870914538701,0.20372721240498745,0.18531045350898057,0.08855243506282567,0.34014463478140533,0.20466917445107055,0.34014463478140533,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
12,0.1535391955326001,0.20741258099240562,0.17513592278957366,0.29160860550403594,0.10557380075752736,0.06343518039646248,0.15353919555267526,0.29160860550403594,0.20653241712134332,0.1883839060855098,0.08987493159947917,0.34397890529222785,0.2074125809924056,0.34397890529222785,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
13,0.1503827350238959,0.2078974493256149,0.17202938851714134,0.28651431929071747,0.10184753097966313,0.06278635459765793,0.15038273495601284,0.28651431929071747,0.2069540264281289,0.18857770253252237,0.09222646225290373,0.34288818319141867,0.20789744932561494,0.34288818319141867,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
14,0.14716342403988045,0.2136582375918515,0.1686642417808374,0.2810581237574418,0.09843875489135583,0.06199339421465993,0.1471634242878192,0.2810581237574418,0.2128430576211152,0.1926425666711293,0.09324726032279432,0.3550848857816309,0.2136582375918515,0.3550848857816309,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
15,0.14400707138578098,0.21508759537913527,0.16518847435712813,0.27523118794957796,0.09541805615524451,0.06137197037910422,0.14400707149464223,0.27523118794957796,0.2143611779079462,0.19092956040147693,0.09129782782448456,0.3630353979114443,0.21508759537913527,0.3630353979114443,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
16,0.14055806884169578,0.2182196173372989,0.1614216152826945,0.26831095284223555,0.09268617020919918,0.06067708307504654,0.1405580687088271,0.26831095284223555,0.21747331628374134,0.1966416678801179,0.0917664929451421,0.36625069118663667,0.2182196173372989,0.36625069118663667,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
17,0.13746409177283447,0.2185280060642399,0.15793792455891767,0.2620628498891989,0.09022740159245829,0.06010202248518666,0.1374640913222813,0.2620628498891989,0.21787239049452667,0.20060806839726866,0.09206175237661228,0.36291419741883874,0.21852800606423992,0.36291419741883874,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
18,0.13429391471544902,0.22748993637102347,0.1544303276439508,0.2555682639479637,0.0877594016144673,0.05955407845415175,0.13429391467219423,0.2555682639479637,0.22685651224494602,0.20716929904185236,0.09360909975506365,0.38169141031615433,0.22748993637102344,0.38169141031615433,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
19,0.13094034159680207,0.23052537891486038,0.15064542667071024,0.24881857685248057,0.08532854725420475,0.0586739011288931,0.1309403417451928,0.24881857685248057,0.22977807879587636,0.20956794500444084,0.09307128559798002,0.3889369061421603,0.23052537891486038,0.3889369061421603,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
20,0.12767314407229424,0.23192227537278087,0.14696016059319178,0.2423881636162599,0.08283055028691888,0.05780071824230254,0.12767314404849378,0.2423881636162599,0.23116813764418476,0.21485985423764214,0.09566883084131404,0.3852381410393864,0.23192227537278087,0.3852381410393864,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
21,0.12500170148412387,0.23602289502865945,0.14407964069147905,0.23696367584168912,0.08091664632968605,0.057124782325079046,0.12500170149881806,0.23696367584168912,0.23527691221920152,0.2165175818442367,0.09612358151562513,0.39542752172611656,0.23602289502865945,0.39542752172611656,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
