epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.997580861344057,1.1677362620830536,0.997580861344057,0.000348321018357049,1.5880661291234635,0.9698587901452008,0.43481772612122926,1.1677362620830536,0.0004071691121983652,0.48906834175189334,2.2020343840122223,0.8121060480674108,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
2,0.9822428261532503,1.1469013690948486,0.9822428261532503,0.00034286506022052727,1.5656854475245756,0.9501213957281673,0.43092168429318595,1.1469013690948486,0.00039977904089028016,0.4829653898874919,2.170399765173594,0.7873390366633733,0.09013911008227804,0.4916232491753217,60.0,-2.614300318477383,-7.058975434539811,-2.614300318477383,-7.058975434539811,-0.2765981310759489,-0.5073273898163901,-7.058975434539811,-0.2765981310759489,-0.5073273898163901,-7.058975434539811,0.09013911008227804,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
3,0.956658075837528,1.1048380037148793,0.956658075837528,0.00033373957814867883,1.5340309423558853,0.912562748965095,0.4233805449569927,1.1048380037148793,0.0003848339571656349,0.4720286776622136,2.1091405351956687,0.7333447982867559,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
4,0.9030125912498025,1.0263811697562535,0.9030125912498025,0.00031455730855026664,1.4674633460886337,0.8300625611754024,0.4115118349299711,1.0263811697562535,0.0003569264857408901,0.4536326254407565,1.997438907623291,0.6280720035235087,0.14735071838234193,0.5840129857201122,60.0,-1.9872658377757044,-5.277789481660551,-1.9872658377757044,-5.277789481660551,-0.22981904721035562,-0.4541889844562068,-5.277789481660551,-0.22981904721035562,-0.4541889844562068,-5.277789481660551,0.14735071838234193,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
5,0.8110758346669814,0.8986561795075735,0.8110758346669814,0.00028160094242433417,1.3600520596784704,0.6830066512612736,0.39016878429581137,0.8986561795075735,0.0003113787727973734,0.4251589799920718,1.8126447300116222,0.4581647788484891,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
6,0.6766696642426884,0.7319958060979843,0.6766696642426884,0.0002332198859863531,1.1948256001752966,0.4741397955838372,0.3610436250181759,0.7319958060979843,0.00025163490378569503,0.38583246370156604,1.54386572043101,0.26628925651311874,0.3235531008308885,0.6854182056608809,60.0,-0.5023367354727788,-1.2021981045473136,-0.5023367354727788,-1.2021981045473136,-0.06535502407865756,-0.23945707779236525,-1.2021981045473136,-0.06535502407865756,-0.23945707779236525,-1.2021981045473136,0.3235531008308885,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
7,0.5331424229285296,0.5826826393604279,0.5331424229285296,0.00018104761821793064,0.9825374869739308,0.293502341298496,0.3233874457723954,0.5826826393604279,0.0001975693788457041,0.34002266824245453,1.2284622689088185,0.17956299210588136,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
8,0.44004634373328266,0.485895000398159,0.44004634373328266,0.00014671353239785223,0.7902839253930485,0.24335416362566106,0.2865009448107551,0.485895000398159,0.00016246067267881395,0.3014700810114543,0.9672699073950449,0.18894501278797785,0.5130563717716186,0.7261945028640968,60.0,-0.03945638400457522,-0.45470529146223027,-0.03945638400457522,-0.45470529146223027,0.2341861538937725,0.10214998555473209,-0.45470529146223027,0.2341861538937725,0.10214998555473209,-0.45470529146223027,0.5130563717716186,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
9,0.3890369113753824,0.41909976303577423,0.3890369113753824,0.00012802575913477033,0.66679566748002,0.24010369181632996,0.2602113862248028,0.41909976303577423,0.0001384845054417383,0.2825409347812335,0.7949676265319189,0.17979071786006293,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
10,0.3513348821331473,0.3722616086403529,0.3513348821331473,0.00011447918008985546,0.5700132355970495,0.23565436724354238,0.2483370418057722,0.3722616086403529,0.00012165871157776564,0.2761397709449132,0.6642156591018041,0.17642939711610475,0.5747140327340703,0.7603528517253533,60.0,0.06050796428578087,-0.30799966613591456,0.06050796428578087,-0.30799966613591456,0.24690214109253028,0.2426214179007269,-0.30799966613591456,0.24690214109253028,0.2426214179007269,-0.30799966613591456,0.5747140327340703,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
11,0.3183013165698332,0.3337477073073387,0.3183013165698332,0.00010266874339910882,0.48135824939783883,0.2331372411812053,0.24040846701930552,0.3337477073073387,0.00010785583981487434,0.2691778478523095,0.5558857048551241,0.1761795791486899,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
12,0.290431162890266,0.30190199861923855,0.290431162890266,9.268512204631835e-05,0.4098147013608147,0.23012792888809652,0.23135086280458114,0.30190199861923855,9.649536696088035e-05,0.25992315635085106,0.4712584887941678,0.17452435567975044,0.6400135396529512,0.804669386123752,60.0,0.0899208685155235,-0.3375683920466792,0.0899208685155235,-0.3375683920466792,0.18620132469712825,0.42112967289612147,-0.3375683920466792,0.18620132469712825,0.42112967289612147,-0.3375683920466792,0.6400135396529512,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
13,0.2679956783266628,0.2788526440660159,0.2679956783266628,8.466391334556701e-05,0.3547253889196059,0.22771388379966512,0.22154775875456192,0.2788526440660159,8.829084072203841e-05,0.2517196337381999,0.4129428540666898,0.17189544811844826,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
14,0.2511742053663029,0.2619920186698437,0.2511742053663029,7.86542210228029e-05,0.31807296065723195,0.22428020396653345,0.21116943482090444,0.2619920186698437,8.233372621665087e-05,0.24268499637643495,0.3747456719477971,0.16854539016882578,0.7046111508529219,0.8493893588467775,60.0,0.13658666010849144,-0.32420671325506567,0.13658666010849144,-0.32420671325506567,0.14303904325214556,0.5909276503283944,-0.32420671325506567,0.14303904325214556,0.5909276503283944,-0.32420671325506567,0.7046111508529219,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
15,0.23799156616715825,0.24976643919944763,0.23799156616715825,7.400794172152767e-05,0.2927902673973757,0.2193439024336198,0.20184051990509033,0.24976643919944763,7.806510681499883e-05,0.23349694659312567,0.3507022758324941,0.16510009517272314,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
16,0.2279297551688026,0.2394984004398187,0.2279297551688026,7.05043031998417e-05,0.275904019965845,0.21589192572761984,0.1919933268252541,0.2394984004398187,7.452795580320526e-05,0.22385956471165022,0.3343013525009155,0.16033429528276125,0.7530439648877159,0.8816955015066206,60.0,0.17863305073045954,-0.3272372512497914,0.17863305073045954,-0.3272372512497914,0.15880185544748515,0.7043345479936849,-0.3272372512497914,0.15880185544748515,0.7043345479936849,-0.3272372512497914,0.7530439648877159,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
