variant,seed,split,source,frame,control,transfer_only,valid,total,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse
ljonly_r16_d4,456,train,lj_noisy,175,same_source_cyclic_next_latent,False,5,5,2.7181525365449487e-05,0.00014140228158788,0.8080711967366779,2.9499788070097566e-05
ljonly_r16_d4,456,train,lj_noisy,199,same_source_cyclic_next_latent,False,5,5,3.6472990905167536e-05,0.00018346654542252,0.8025935590332661,3.8965732528595254e-05
ljonly_r16_d4,456,validation,lj_noisy,0,same_source_cyclic_next_latent,False,20,20,7.149650386395478e-07,0.0,,8.246346737905696e-07
ljonly_r16_d4,456,validation,lj_noisy,5,same_source_cyclic_next_latent,False,20,20,4.343089266001243e-07,9.562797735895856e-08,-3.532372898473368,5.536397594596565e-07
ljonly_r16_d4,456,validation,lj_noisy,10,same_source_cyclic_next_latent,False,20,20,2.6554645771170726e-07,4.023101709549337e-07,0.3446944848188091,3.990840452772204e-07
ljonly_r16_d4,456,validation,lj_noisy,25,same_source_cyclic_next_latent,False,20,20,3.452912807233588e-07,2.700515562992223e-06,0.8736147791840357,5.686177487973509e-07
ljonly_r16_d4,456,validation,lj_noisy,50,same_source_cyclic_next_latent,False,20,20,1.5971662605807069e-06,1.1352922138030408e-05,0.8617259425669644,2.1325340696876084e-06
ljonly_r16_d4,456,validation,lj_noisy,75,same_source_cyclic_next_latent,False,20,20,4.062134712512488e-06,2.626361301736324e-05,0.8479883908194703,5.085052407594048e-06
ljonly_r16_d4,456,validation,lj_noisy,100,same_source_cyclic_next_latent,False,20,20,7.856303841435875e-06,4.754355759359896e-05,0.8371290750084949,9.4150713948693e-06
ljonly_r16_d4,456,validation,lj_noisy,125,same_source_cyclic_next_latent,False,20,20,1.3129434910297277e-05,7.536162738688264e-05,0.8285990634165747,1.5329765165006393e-05
ljonly_r16_d4,456,validation,lj_noisy,149,same_source_cyclic_next_latent,False,20,20,1.9826409697998315e-05,0.00010829863385876113,0.8205057922281982,2.277443531966128e-05
ljonly_r16_d4,456,validation,lj_noisy,175,same_source_cyclic_next_latent,False,20,20,2.9326176900212886e-05,0.00015109891755851,0.81025373526692,3.328409575260593e-05
ljonly_r16_d4,456,validation,lj_noisy,199,same_source_cyclic_next_latent,False,20,20,4.027001714348444e-05,0.00019709730695462,0.8002959512740453,4.506226723606232e-05
ljonly_r16_d4,786,train,lj_noisy,0,same_source_cyclic_next_latent,False,5,5,1.4811018445470836e-06,0.0,,1.5577759882035025e-06
ljonly_r16_d4,786,train,lj_noisy,5,same_source_cyclic_next_latent,False,5,5,1.1464159115348593e-06,9.486441570061288e-08,-11.137307247190328,1.2357472655821767e-06
ljonly_r16_d4,786,train,lj_noisy,10,same_source_cyclic_next_latent,False,5,5,8.911665531741165e-07,3.9631250956517763e-07,-1.2650033687260165,9.962244575945078e-07
ljonly_r16_d4,786,train,lj_noisy,25,same_source_cyclic_next_latent,False,5,5,7.091804491210496e-07,2.6223908207612114e-06,0.7256404392766769,8.974329887223575e-07
ljonly_r16_d4,786,train,lj_noisy,50,same_source_cyclic_next_latent,False,5,5,1.924722755575203e-06,1.09006710772519e-05,0.8195839402185712,2.3545163912785937e-06
ljonly_r16_d4,786,train,lj_noisy,75,same_source_cyclic_next_latent,False,5,5,4.6959596147644335e-06,2.5082033971557394e-05,0.807781416952381,5.44785289093852e-06
ljonly_r16_d4,786,train,lj_noisy,100,same_source_cyclic_next_latent,False,5,5,8.791807795205387e-06,4.512062150752172e-05,0.7998903852221579,9.866948494163807e-06
ljonly_r16_d4,786,train,lj_noisy,125,same_source_cyclic_next_latent,False,5,5,1.4037438631930854e-05,7.115652042557485e-05,0.7981006884032452,1.552409103169339e-05
ljonly_r16_d4,786,train,lj_noisy,149,same_source_cyclic_next_latent,False,5,5,2.025701614911668e-05,0.000101857472327506,0.7980716775580214,2.219258349214215e-05
ljonly_r16_d4,786,train,lj_noisy,175,same_source_cyclic_next_latent,False,5,5,2.8732583450619133e-05,0.00014140228158788,0.795748730642931,3.127060626866296e-05
ljonly_r16_d4,786,train,lj_noisy,199,same_source_cyclic_next_latent,False,5,5,3.825024250545539e-05,0.00018346654542252,0.7921253573117626,4.141962926951237e-05
ljonly_r16_d4,786,validation,lj_noisy,0,same_source_cyclic_next_latent,False,20,20,1.4776766533941555e-06,0.0,,1.60927978924974e-06
ljonly_r16_d4,786,validation,lj_noisy,5,same_source_cyclic_next_latent,False,20,20,1.1422035697705723e-06,9.562797735895856e-08,-10.983067511316522,1.289482571564804e-06
