variant,split,source,frame,control,transfer_only,seeds,valid_sum,valid_min,total_sum,total_min,coordinate_mse_mean,zero_displacement_mse_mean,explained_displacement_score_mean,shuffled_same_source_coordinate_mse_mean,coordinate_mse_std,zero_displacement_mse_std,explained_displacement_score_std,shuffled_same_source_coordinate_mse_std
ljonly_r16_d4,train,lj_noisy,0,same_source_cyclic_next_latent,False,5,25,5,25,5,1.0948361045848288e-06,0.0,,1.1621314945386985e-06,4.2994374424592593e-07,0.0,,4.1035449808947413e-07
ljonly_r16_d4,train,lj_noisy,5,same_source_cyclic_next_latent,False,5,25,5,25,5,8.253594000962039e-07,9.486441570061288e-08,-7.687512623446911,9.08314916046038e-07,3.859439445962651e-07,0.0,4.115399106848764,3.711810775634503e-07
ljonly_r16_d4,train,lj_noisy,10,same_source_cyclic_next_latent,False,5,25,5,25,5,6.371348490574747e-07,3.9631250956517763e-07,-0.6065774235642976,7.419473345748884e-07,3.341895224081501e-07,0.0,0.8632043654107056,3.2285659254052464e-07
ljonly_r16_d4,train,lj_noisy,25,same_source_cyclic_next_latent,False,5,25,5,25,5,6.031426300978637e-07,2.6223908207612114e-06,0.768899480752223,8.19560218587867e-07,2.1538321049823964e-07,0.0,0.08437349456311713,2.2282597692268011e-07
ljonly_r16_d4,train,lj_noisy,50,same_source_cyclic_next_latent,False,5,25,5,25,5,1.8559806994744577e-06,1.09006710772519e-05,0.8272790309118931,2.395905353296257e-06,1.9153757580242504e-07,0.0,0.018250826104061958,2.221207475776587e-07
ljonly_r16_d4,train,lj_noisy,75,same_source_cyclic_next_latent,False,5,25,5,25,5,4.489823368203361e-06,2.5082033971557394e-05,0.8174709470523964,5.497526490216842e-06,2.5452726831542166e-07,0.0,0.011102398362614663,2.964660864863731e-07
ljonly_r16_d4,train,lj_noisy,100,same_source_cyclic_next_latent,False,5,25,5,25,5,8.429411518591224e-06,4.512062150752172e-05,0.8093399423042309,9.93611552985385e-06,3.313980862578933e-07,0.0,0.008401861393690698,3.6596901937307045e-07
ljonly_r16_d4,train,lj_noisy,125,same_source_cyclic_next_latent,False,5,25,5,25,5,1.3527189767046367e-05,7.115652042557485e-05,0.8063999972101416,1.557844960188959e-05,4.3965379508663776e-07,0.0,0.007107916642470267,4.5817695182602986e-07
ljonly_r16_d4,train,lj_noisy,149,same_source_cyclic_next_latent,False,5,25,5,25,5,1.9598001599661075e-05,0.000101857472327506,0.8052939841688709,2.213018600741634e-05,5.372808967814585e-07,0.0,0.006001820004192905,7.44410127426709e-07
ljonly_r16_d4,train,lj_noisy,175,same_source_cyclic_next_latent,False,5,25,5,25,5,2.797785600705538e-05,0.00014140228158788,0.8014717242047802,3.102403679804411e-05,6.294999342670198e-07,0.0,0.004958111486258984,1.3158473646949643e-06
ljonly_r16_d4,train,lj_noisy,199,same_source_cyclic_next_latent,False,5,25,5,25,5,3.756484999030363e-05,0.00018346654542252,0.7959624306458795,4.111056616238784e-05,8.265026355196332e-07,0.0,0.004859853295879289,1.947047463619998e-06
ljonly_r16_d4,validation,lj_noisy,0,same_source_cyclic_next_latent,False,5,100,20,100,20,1.1142574876998878e-06,0.0,,1.2298228278950775e-06,4.2806333656894913e-07,0.0,,4.243467016672079e-07
ljonly_r16_d4,validation,lj_noisy,5,same_source_cyclic_next_latent,False,5,100,20,100,20,8.394627489849426e-07,9.562797735895856e-08,-7.800593007170012,9.732682457297415e-07,3.855619592971512e-07,0.0,4.062255219740417,3.8670400443834326e-07
ljonly_r16_d4,validation,lj_noisy,10,same_source_cyclic_next_latent,False,5,100,20,100,20,6.413175120201231e-07,4.023101709549337e-07,-0.5987391361457957,7.965264631693003e-07,3.300109190100476e-07,0.0,0.8310344976349592,3.3574958303917654e-07
ljonly_r16_d4,validation,lj_noisy,25,same_source_cyclic_next_latent,False,5,100,20,100,20,5.792322039610554e-07,2.700515562992223e-06,0.7856578376613892,8.404386197469193e-07,1.8318119546558087e-07,0.0,0.06937134806105853,1.9932003892350194e-07
ljonly_r16_d4,validation,lj_noisy,50,same_source_cyclic_next_latent,False,5,100,20,100,20,1.7732988550278604e-06,1.1352922138030408e-05,0.8454995469060554,2.384230947427568e-06,1.1115979061043633e-07,0.0,0.010323717635542011,1.6710000715701217e-07
ljonly_r16_d4,validation,lj_noisy,75,same_source_cyclic_next_latent,False,5,100,20,100,20,4.3040629520874065e-06,2.626361301736324e-05,0.8380852003570649,5.405884842275554e-06,1.3618258158698934e-07,0.0,0.005591892590384848,2.4079504341430436e-07
ljonly_r16_d4,validation,lj_noisy,100,same_source_cyclic_next_latent,False,5,100,20,100,20,8.079265089691035e-06,4.754355759359896e-05,0.8318221671143331,9.738542821651208e-06,1.471680375591386e-07,0.0,0.0034661623217184002,2.408286911261836e-07
ljonly_r16_d4,validation,lj_noisy,125,same_source_cyclic_next_latent,False,5,100,20,100,20,1.332375258243701e-05,7.536162738688264e-05,0.8255292251117158,1.5852096630624146e-05,1.6703564455755602e-07,0.0,0.0025431125321336108,3.1090281426910015e-07
