split,source,original_index,frame,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse,shuffled_original_index,valid,total,control,transfer_only,variant,seed,job_id,run_status
train,reid,43,100,3.9095306192393764e-07,4.367970905150287e-05,0.9910495497700554,1.9782810340984724e-06,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,43,125,5.782382004326792e-07,6.829092308180407e-05,0.9915327224418972,2.0684615265054163e-06,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,43,149,8.325506541950745e-07,9.70740511547774e-05,0.9914235509459924,2.2884291865921118e-06,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,43,175,1.19778837870399e-06,0.0001339756854576,0.9910596585148118,2.65543962996162e-06,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,43,199,1.6771721220720792e-06,0.0001733038807287,0.9903223625748068,3.06915853798273e-06,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,73,0,4.4684053790433615e-08,0.0,,4.083326814452448e-07,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,73,5,2.1032056096714772e-08,1.0321873844532092e-07,0.7962380047121358,2.495627313692239e-07,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,73,10,6.862266133111916e-08,4.108747191367002e-07,0.8329839775119188,1.689851814035137e-07,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,73,25,4.363457719591679e-07,2.558030018917634e-06,0.8294211683474314,2.832919108186616e-07,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,73,50,9.615513363314676e-07,1.0220051990472712e-05,0.905915220663472,1.2704040273092687e-06,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,73,75,9.56640406002407e-07,2.298522122146096e-05,0.9583801958316936,3.1295028293243377e-06,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
