epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.3172748436530431,0.300687737762928,0.3172748436530431,0.00011111174414205986,0.0,0.300687737762928,0.00010558703615970444,0.0,,,,,,,,,,,1,1,1,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,0.3144385317961375,0.2988743409514427,0.3144385317961375,0.00011011303649866022,0.0,0.2988743409514427,0.00010491870671103243,0.0,0.971618953418807,0.9950304549841756,20.0,0.971618953418807,0.971618953418807,0.971618953418807,0.971618953418807,0.971618953418807,0.971618953418807,0.971618953418807,1,1,2,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,0.3112518439690272,0.2967326417565346,0.3112518439690272,0.00010882860442507081,0.0,0.2967326417565346,0.00010412874871690292,0.0,,,,,,,,,,,1,1,3,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,0.31098081171512604,0.2941049262881279,0.31098081171512604,0.00010867838985480678,0.0,0.2941049262881279,0.00010316119551134761,0.0,0.9721408386156768,0.9950957686128497,20.0,0.9721408386156768,0.9721408386156768,0.9721408386156768,0.9721408386156768,0.9721408386156768,0.9721408386156768,0.9721408386156768,1,1,4,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,0.30791711310545605,0.2908337414264679,0.30791711310545605,0.00010766286626070117,0.0,0.2908337414264679,0.00010195959657721687,0.0,,,,,,,,,,,1,1,5,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,0.30234956244627637,0.2867269441485405,0.30234956244627637,0.00010548821834769721,0.0,0.2867269441485405,0.00010045577619166579,0.0,0.9729492155047749,0.9951962352589236,20.0,0.9729492155047749,0.9729492155047749,0.9729492155047749,0.9729492155047749,0.9729492155047749,0.9729492155047749,0.9729492155047749,1,1,6,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,0.3019678940375646,0.28154850006103516,0.3019678940375646,0.0001055175550087976,0.0,0.28154850006103516,9.856537144514732e-05,0.0,,,,,,,,,,,1,1,7,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,0.2929745664199193,0.2750469669699669,0.2929745664199193,0.00010194929685288419,0.0,0.2750469669699669,9.620025048207026e-05,0.0,0.9742781325172649,0.995352265594724,20.0,0.9742781325172649,0.9742781325172649,0.9742781325172649,0.9742781325172649,0.9742781325172649,0.9742781325172649,0.9742781325172649,1,1,8,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,0.28665031989415485,0.26692821085453033,0.28665031989415485,9.97570338464963e-05,0.0,0.26692821085453033,9.32564289541915e-05,0.0,,,,,,,,,,,1,1,9,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,0.27715545396010083,0.2569185085594654,0.27715545396010083,9.6208833080406e-05,0.0,0.2569185085594654,8.963946129370015e-05,0.0,0.9765347122888826,0.9955859819933705,20.0,0.9765347122888826,0.9765347122888826,0.9765347122888826,0.9765347122888826,0.9765347122888826,0.9765347122888826,0.9765347122888826,1,1,10,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
