source,frame,mode,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,latent_mse,normalized_latent_mse,variant,seed
depablo_low_temp,10,constant_acceleration,20,20,20,0.880821318969034,0.0908088857022841,0.0890919672458267,1.8956311453877106e-07,0.0007129715988412,6.852176920801867e-05,5.090643562084551e-05,2.4890663472376672e-05,velocity_transfer3,123
depablo_low_temp,10,constant_latent,20,20,20,0.6119240009259526,0.1678396554129506,0.0890919672458267,1.3801323834883305e-07,0.0004628761671483,0.0002498305693734,0.0322201958857476,0.0141353576444089,velocity_transfer3,123
depablo_low_temp,10,constant_velocity,20,20,20,0.8450458266807723,0.1019842366412691,0.0890919672458267,1.893104863981421e-07,0.0007152630074415,8.658438964630477e-05,0.0004050299324262,0.0002000865484546,velocity_transfer3,123
depablo_low_temp,10,constant_velocity_recent,20,20,20,0.8702191867163824,0.0954840858795013,0.0890919672458267,1.8863987563122465e-07,0.0007111202983651,7.420898364216555e-05,3.725650478827447e-05,1.7586391771828856e-05,velocity_transfer3,123
depablo_low_temp,10,free_rollout,20,20,20,0.8328199555160317,0.1053369118277382,0.0890919672458267,2.0617967706471065e-07,0.0007763832632917,8.531165658496321e-05,0.0014371405559359,0.0005097059125546,velocity_transfer3,123
depablo_low_temp,10,oracle_ae,20,20,20,0.8759258319693426,0.093879796887341,0.0890919672458267,1.8962146874912378e-07,0.0007136222091503,7.262182989506983e-05,0.0,0.0,velocity_transfer3,123
depablo_low_temp,10,teacher_forced,20,20,20,0.868521867691484,0.0961869083565758,0.0890919672458267,1.924822747412236e-07,0.0007249435118865,7.45269742765231e-05,5.8051734959008174e-05,2.113326750077249e-05,velocity_transfer3,123
depablo_low_temp,25,constant_acceleration,20,20,20,0.8478428148910682,0.0949573928190064,0.1113451632350467,3.4066902898644e-07,0.0008268774021416,0.0002071149785479,0.017254170823071,0.0084817391127216,velocity_transfer3,123
depablo_low_temp,25,constant_latent,20,20,20,0.529797462608565,0.2014885941075332,0.1113451632350467,1.2473635990772891e-06,0.0020465588138904,0.0010189300155616,0.5382429674267769,0.2347462557256222,velocity_transfer3,123
depablo_low_temp,25,constant_velocity,20,20,20,0.9561606669048582,0.0626363539428538,0.1113451632350467,3.3375366434995615e-07,0.0007872359943576,0.000233688802109,0.0097079180704895,0.0046052793899434,velocity_transfer3,123
depablo_low_temp,25,constant_velocity_recent,20,20,20,0.962230830413194,0.0544386483097103,0.1113451632350467,3.239841142033129e-07,0.0007969791535288,0.0001499508420238,0.0024240483675384,0.0010013260747655,velocity_transfer3,123
depablo_low_temp,25,free_rollout,20,20,20,0.9310159595998688,0.0733422258528379,0.1113451632350467,3.3871355427095294e-07,0.0007808509515598,0.0002485965636878,0.0202667255420237,0.0076503105694428,velocity_transfer3,123
depablo_low_temp,25,oracle_ae,20,20,20,0.9591294831389195,0.0563002103487004,0.1113451632350467,3.166228566442442e-07,0.0007983719697222,0.0001237974633113,0.0,0.0,velocity_transfer3,123
depablo_low_temp,25,teacher_forced,20,20,20,0.960697834392208,0.0551086752897522,0.1113451632350467,3.166416252753379e-07,0.0007978608831763,0.0001262062680325,4.096423535884242e-05,1.651100096751179e-05,velocity_transfer3,123
depablo_low_temp,50,constant_acceleration,20,20,20,0.6275380906465061,0.1589392898757708,0.121923909291221,1.854687192093252e-06,0.0010593772516585,0.0012291446008021,0.5304980626155157,0.2607003947399789,velocity_transfer3,123
depablo_low_temp,50,constant_latent,20,20,20,0.4915808571469499,0.216256829872172,0.121923909291221,7.763420012452115e-06,0.0058129702461883,0.0023392351547954,2.8419581711292268,1.224056777358055,velocity_transfer3,123
depablo_low_temp,50,constant_velocity,20,20,20,0.9836942529303572,0.0378075792640052,0.121923909291221,8.792815570757285e-07,0.0009516897378489,0.0003488594578811,0.0727448088116943,0.0307987185195088,velocity_transfer3,123
