source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,scope,seed,budget
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,shared3,123,one_trajectory
depablo_low_temp,initial_pc1,20,20,20,0.9733114608397267,0.047999766307921,0.1309363081666797,shared3,123,one_trajectory
depablo_low_temp,initial_z,20,20,20,0.9742044818199213,0.0478056304540577,0.1309363081666797,shared3,123,one_trajectory
depablo_low_temp,observed_prefix,20,20,20,0.9699831938702508,0.0535357077482988,0.1309363081666797,shared3,123,one_trajectory
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,shared3,123,one_trajectory
depablo_mixed_temp,initial_pc1,20,20,20,0.9248958878087798,0.0795397317549098,0.1264354805514444,shared3,123,one_trajectory
depablo_mixed_temp,initial_z,20,20,20,0.9209274785147078,0.0814683768390389,0.1264354805514444,shared3,123,one_trajectory
depablo_mixed_temp,observed_prefix,20,20,20,0.9362183412980408,0.0692771884026489,0.1264354805514444,shared3,123,one_trajectory
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,shared3,123,one_trajectory
reid,initial_pc1,20,20,20,0.1886880856217941,0.1488020707682564,0.0392619338029476,shared3,123,one_trajectory
reid,initial_z,20,20,20,0.2878922977858262,0.1391549337669337,0.0392619338029476,shared3,123,one_trajectory
reid,observed_prefix,20,20,20,0.9300263193249404,0.046148294891567,0.0392619338029476,shared3,123,one_trajectory
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,shared3,123,thirty_trajectories
depablo_low_temp,initial_pc1,20,20,20,-0.041565955739178,0.337998966143656,0.1309363081666797,shared3,123,thirty_trajectories
depablo_low_temp,initial_z,20,20,20,-0.0671867156013139,0.3368698204745448,0.1309363081666797,shared3,123,thirty_trajectories
depablo_low_temp,observed_prefix,20,20,20,0.9682475878919626,0.0483065208389874,0.1309363081666797,shared3,123,thirty_trajectories
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,shared3,123,thirty_trajectories
depablo_mixed_temp,initial_pc1,20,20,20,-0.0378196060139346,0.3268587202712217,0.1264354805514444,shared3,123,thirty_trajectories
depablo_mixed_temp,initial_z,20,20,20,-0.0322972516954611,0.3265849966685683,0.1264354805514444,shared3,123,thirty_trajectories
depablo_mixed_temp,observed_prefix,20,20,20,0.0981101044305367,0.2903334083789227,0.1264354805514444,shared3,123,thirty_trajectories
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,shared3,123,thirty_trajectories
reid,initial_pc1,20,20,20,0.0317276371346653,0.1731671820961824,0.0392619338029476,shared3,123,thirty_trajectories
reid,initial_z,20,20,20,0.0928837690339521,0.1669326911444511,0.0392619338029476,shared3,123,thirty_trajectories
reid,observed_prefix,20,20,20,0.9421168312502952,0.0382159645267265,0.0392619338029476,shared3,123,thirty_trajectories
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,shared4,123,one_trajectory
depablo_low_temp,initial_pc1,20,20,20,0.8333764477307348,0.1166278185672196,0.1309363081666797,shared4,123,one_trajectory
depablo_low_temp,initial_z,20,20,20,0.902950726875191,0.0902400864201809,0.1309363081666797,shared4,123,one_trajectory
depablo_low_temp,observed_prefix,20,20,20,0.9826184694142917,0.0386414394554365,0.1309363081666797,shared4,123,one_trajectory
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,shared4,123,one_trajectory
depablo_mixed_temp,initial_pc1,20,20,20,0.7719079654923845,0.1304356881414199,0.1264354805514444,shared4,123,one_trajectory
depablo_mixed_temp,initial_z,20,20,20,0.8002801884401559,0.1172057082463998,0.1264354805514444,shared4,123,one_trajectory
depablo_mixed_temp,observed_prefix,20,20,20,0.7958738239571339,0.1204061784205343,0.1264354805514444,shared4,123,one_trajectory
lj_noisy,constant,20,20,20,-0.0138433359667873,0.0651860800538785,0.0053100823581802,shared4,123,one_trajectory
lj_noisy,initial_pc1,20,20,20,-0.0140904306692026,0.0650982622612838,0.0053100823581802,shared4,123,one_trajectory
lj_noisy,initial_z,20,20,20,-0.0430253935998807,0.0656933394256416,0.0053100823581802,shared4,123,one_trajectory
lj_noisy,observed_prefix,20,20,20,-0.012369752429747,0.0656483408277762,0.0053100823581802,shared4,123,one_trajectory
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,shared4,123,one_trajectory
reid,initial_pc1,20,20,20,0.8555525501010212,0.0646961471507479,0.0392619338029476,shared4,123,one_trajectory
reid,initial_z,20,20,20,0.8910493584342174,0.0524067147828288,0.0392619338029476,shared4,123,one_trajectory
reid,observed_prefix,20,20,20,0.9627463070532074,0.0304328700780668,0.0392619338029476,shared4,123,one_trajectory
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,shared4,123,thirty_trajectories
depablo_low_temp,initial_pc1,20,20,20,-0.0070312103513441,0.3401716646624119,0.1309363081666797,shared4,123,thirty_trajectories
depablo_low_temp,initial_z,20,20,20,0.8247530680521193,0.1194624693083862,0.1309363081666797,shared4,123,thirty_trajectories
depablo_low_temp,observed_prefix,20,20,20,0.9563693674719792,0.062536331969755,0.1309363081666797,shared4,123,thirty_trajectories
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,shared4,123,thirty_trajectories
depablo_mixed_temp,initial_pc1,20,20,20,0.0007321169666016,0.3197785181168932,0.1264354805514444,shared4,123,thirty_trajectories
depablo_mixed_temp,initial_z,20,20,20,0.8332324403371556,0.1138923559304723,0.1264354805514444,shared4,123,thirty_trajectories
depablo_mixed_temp,observed_prefix,20,20,20,0.8215520725745294,0.1201305600697704,0.1264354805514444,shared4,123,thirty_trajectories
lj_noisy,constant,20,20,20,-0.0138433359667873,0.0651860800538785,0.0053100823581802,shared4,123,thirty_trajectories
lj_noisy,initial_pc1,20,20,20,-0.0619244300440227,0.0681497516141716,0.0053100823581802,shared4,123,thirty_trajectories
lj_noisy,initial_z,20,20,20,-0.0703588204552212,0.068299929111599,0.0053100823581802,shared4,123,thirty_trajectories
lj_noisy,observed_prefix,20,20,20,0.5086198856778468,0.0414952750321851,0.0053100823581802,shared4,123,thirty_trajectories
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,shared4,123,thirty_trajectories
reid,initial_pc1,20,20,20,-0.0882023024547686,0.1777169730979993,0.0392619338029476,shared4,123,thirty_trajectories
reid,initial_z,20,20,20,0.7253521797751961,0.0926742216096758,0.0392619338029476,shared4,123,thirty_trajectories
reid,observed_prefix,20,20,20,0.9710805424203688,0.0227144556271412,0.0392619338029476,shared4,123,thirty_trajectories
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,shared3,456,one_trajectory
depablo_low_temp,initial_pc1,20,20,20,0.9756650601657744,0.0443288603361774,0.1309363081666797,shared3,456,one_trajectory
depablo_low_temp,initial_z,20,20,20,0.976737878922746,0.0429191866000392,0.1309363081666797,shared3,456,one_trajectory
depablo_low_temp,observed_prefix,20,20,20,0.976578207188616,0.0435771551973728,0.1309363081666797,shared3,456,one_trajectory
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,shared3,456,one_trajectory
depablo_mixed_temp,initial_pc1,20,20,20,0.9513113189479452,0.0651910536699891,0.1264354805514444,shared3,456,one_trajectory
depablo_mixed_temp,initial_z,20,20,20,0.9503773751498708,0.0656916584576553,0.1264354805514444,shared3,456,one_trajectory
depablo_mixed_temp,observed_prefix,20,20,20,0.8837572147267703,0.0877502797117563,0.1264354805514444,shared3,456,one_trajectory
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,shared3,456,one_trajectory
reid,initial_pc1,20,20,20,-0.0905337998688313,0.1758324211532467,0.0392619338029476,shared3,456,one_trajectory
reid,initial_z,20,20,20,0.0400578476279844,0.1640727887178028,0.0392619338029476,shared3,456,one_trajectory
reid,observed_prefix,20,20,20,0.9394230115251548,0.0424112442283628,0.0392619338029476,shared3,456,one_trajectory
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,shared3,456,thirty_trajectories
depablo_low_temp,initial_pc1,20,20,20,-0.0248881446981161,0.3467261092775214,0.1309363081666797,shared3,456,thirty_trajectories
depablo_low_temp,initial_z,20,20,20,0.119997177337754,0.3191165342896128,0.1309363081666797,shared3,456,thirty_trajectories
depablo_low_temp,observed_prefix,20,20,20,0.96097270255011,0.0563369102826261,0.1309363081666797,shared3,456,thirty_trajectories
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,shared3,456,thirty_trajectories
depablo_mixed_temp,initial_pc1,20,20,20,0.0022050499799132,0.3184562596431955,0.1264354805514444,shared3,456,thirty_trajectories
depablo_mixed_temp,initial_z,20,20,20,0.0788902335198653,0.2977256646438881,0.1264354805514444,shared3,456,thirty_trajectories
depablo_mixed_temp,observed_prefix,20,20,20,-2.0765421346588147,0.4254093694596358,0.1264354805514444,shared3,456,thirty_trajectories
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,shared3,456,thirty_trajectories
reid,initial_pc1,20,20,20,0.1217903844619001,0.1650781629787465,0.0392619338029476,shared3,456,thirty_trajectories
reid,initial_z,20,20,20,0.1556421402402553,0.1600226995944844,0.0392619338029476,shared3,456,thirty_trajectories
reid,observed_prefix,20,20,20,0.9259414348101334,0.0416855855508718,0.0392619338029476,shared3,456,thirty_trajectories
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,shared4,456,one_trajectory
depablo_low_temp,initial_pc1,20,20,20,0.6297042571939799,0.1904311005876684,0.1309363081666797,shared4,456,one_trajectory
depablo_low_temp,initial_z,20,20,20,0.8211451964223557,0.1291225717268539,0.1309363081666797,shared4,456,one_trajectory
depablo_low_temp,observed_prefix,20,20,20,0.9004384546462677,0.0911959999483252,0.1309363081666797,shared4,456,one_trajectory
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,shared4,456,one_trajectory
depablo_mixed_temp,initial_pc1,20,20,20,0.6627704737499431,0.1778751889932804,0.1264354805514444,shared4,456,one_trajectory
depablo_mixed_temp,initial_z,20,20,20,0.8241636281534761,0.121754249284135,0.1264354805514444,shared4,456,one_trajectory
depablo_mixed_temp,observed_prefix,20,20,20,0.8147913978006012,0.1394123649277882,0.1264354805514444,shared4,456,one_trajectory
