scope,budget,source,probe,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
shared3,one_trajectory,depablo_low_temp,constant,3,-0.0225933853861557,0.0,0.34299813620176806,20,20
shared3,one_trajectory,depablo_low_temp,initial_pc1,3,0.978061389449809,0.0062997308564584475,0.04194287676250777,20,20
shared3,one_trajectory,depablo_low_temp,initial_z,3,0.9790051679788866,0.00625073839247517,0.04132132935425507,20,20
shared3,one_trajectory,depablo_low_temp,observed_prefix,3,0.9766129788077227,0.0066472389560800985,0.045300247267635034,20,20
shared3,one_trajectory,depablo_mixed_temp,constant,3,-0.0257357943474008,0.0,0.3235672229246395,20,20
shared3,one_trajectory,depablo_mixed_temp,initial_pc1,3,0.9362115352733507,0.013608215008185529,0.07306178628338937,20,20
shared3,one_trajectory,depablo_mixed_temp,initial_z,3,0.9335962099226979,0.01514952761287673,0.07454797615857103,20,20
shared3,one_trajectory,depablo_mixed_temp,observed_prefix,3,0.9088965904977485,0.026298564996176985,0.0817245786567723,20,20
shared3,one_trajectory,reid,constant,3,-0.09034610605757849,0.0,0.1780048784632208,20,20
shared3,one_trajectory,reid,initial_pc1,3,0.33322411777837013,0.5115757278956056,0.12608409677907464,20,20
shared3,one_trajectory,reid,initial_z,3,0.410746373177964,0.4450210139755116,0.11856725441293763,20,20
shared3,one_trajectory,reid,observed_prefix,3,0.9403117539667701,0.010757375664888434,0.041206081442206964,20,20
shared3,thirty_trajectories,depablo_low_temp,constant,3,-0.0225933853861557,0.0,0.34299813620176806,20,20
shared3,thirty_trajectories,depablo_low_temp,initial_pc1,3,-0.028482864840507934,0.01170722981694596,0.342825434879286,20,20
shared3,thirty_trajectories,depablo_low_temp,initial_z,3,0.10845968242217437,0.17017124170498615,0.2957658295644606,20,20
shared3,thirty_trajectories,depablo_low_temp,observed_prefix,3,0.9707273785803464,0.011202348909985232,0.04612954035721,20,20
shared3,thirty_trajectories,depablo_mixed_temp,constant,3,-0.0257357943474008,0.0,0.3235672229246395,20,20
shared3,thirty_trajectories,depablo_mixed_temp,initial_pc1,3,-0.02247100934237947,0.02158111307329031,0.324142697805668,20,20
shared3,thirty_trajectories,depablo_mixed_temp,initial_z,3,0.17318916039030122,0.2655072528330236,0.274372168262554,20,20
shared3,thirty_trajectories,depablo_mixed_temp,observed_prefix,3,-0.5736419849296749,1.30398750528345,0.3115070029361164,20,20
shared3,thirty_trajectories,reid,constant,3,-0.09034610605757849,0.0,0.1780048784632208,20,20
shared3,thirty_trajectories,reid,initial_pc1,3,0.07099930706022174,0.04612317395283021,0.16721769881033954,20,20
shared3,thirty_trajectories,reid,initial_z,3,0.08036460002830044,0.08225478649414728,0.16364708112465318,20,20
shared3,thirty_trajectories,reid,observed_prefix,3,0.9396395234533577,0.01264279654979068,0.03760152830078867,20,20
shared4,one_trajectory,depablo_low_temp,constant,3,-0.0225933853861557,0.0,0.34299813620176806,20,20
shared4,one_trajectory,depablo_low_temp,initial_pc1,3,0.7846123242309169,0.13718780143189976,0.13450462613304828,20,20
shared4,one_trajectory,depablo_low_temp,initial_z,3,0.873262363119998,0.045280510202965474,0.1045583076582693,20,20
shared4,one_trajectory,depablo_low_temp,observed_prefix,3,0.9248223166337329,0.05025609006727286,0.0756072094014056,20,20
shared4,one_trajectory,depablo_mixed_temp,constant,3,-0.0257357943474008,0.0,0.3235672229246395,20,20
shared4,one_trajectory,depablo_mixed_temp,initial_pc1,3,0.7736491483308642,0.11175943915317614,0.13595089707321048,20,20
shared4,one_trajectory,depablo_mixed_temp,initial_z,3,0.8367752909917594,0.04417250817451942,0.11323719679058326,20,20
shared4,one_trajectory,depablo_mixed_temp,observed_prefix,3,0.8365355228674606,0.054866508907843024,0.11893332070643116,20,20
shared4,one_trajectory,lj_noisy,constant,3,-0.0138433359667873,0.0,0.0651860800538785,20,20
shared4,one_trajectory,lj_noisy,initial_pc1,3,-0.10728551899286276,0.08799827074215502,0.06810394330066667,20,20
shared4,one_trajectory,lj_noisy,initial_z,3,-0.13747741564181534,0.10461108536198399,0.06943097223416987,20,20
shared4,one_trajectory,lj_noisy,observed_prefix,3,-0.09195660944106517,0.07671196445061591,0.06799205150515482,20,20
shared4,one_trajectory,reid,constant,3,-0.09034610605757849,0.0,0.1780048784632208,20,20
shared4,one_trajectory,reid,initial_pc1,3,0.880949504555162,0.0220039183849369,0.059168112598312866,20,20
shared4,one_trajectory,reid,initial_z,3,0.8958560312757292,0.0043839842865318855,0.054081108734437104,20,20
shared4,one_trajectory,reid,observed_prefix,3,0.9430538367502107,0.03025009132233528,0.03774826601181957,20,20
shared4,thirty_trajectories,depablo_low_temp,constant,3,-0.0225933853861557,0.0,0.34299813620176806,20,20
shared4,thirty_trajectories,depablo_low_temp,initial_pc1,3,0.22392268465418844,0.38161512242428974,0.28329653128201054,20,20
shared4,thirty_trajectories,depablo_low_temp,initial_z,3,0.7789168595231377,0.0915130028526004,0.13955486411096898,20,20
shared4,thirty_trajectories,depablo_low_temp,observed_prefix,3,0.9734768350073392,0.01512599928302182,0.04588656660428939,20,20
shared4,thirty_trajectories,depablo_mixed_temp,constant,3,-0.0257357943474008,0.0,0.3235672229246395,20,20
shared4,thirty_trajectories,depablo_mixed_temp,initial_pc1,3,0.22790694382350385,0.41941699168299995,0.26623470968954416,20,20
shared4,thirty_trajectories,depablo_mixed_temp,initial_z,3,0.7790745233934354,0.07467357376150378,0.13732048707890362,20,20
shared4,thirty_trajectories,depablo_mixed_temp,observed_prefix,3,0.7231664689071101,0.1217666489527197,0.14903670712459743,20,20
