variant,source,frame,mode,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
acceleration_transfer3,depablo_mixed_temp,25,oracle_ae,3,0.4056380875465498,0.0,0.1787678609936081,20,20
acceleration_transfer3,depablo_mixed_temp,25,teacher_forced,3,-0.2991861355016991,3.9857718328698066e-05,0.29007890118001267,20,20
acceleration_transfer3,depablo_mixed_temp,50,constant_acceleration,3,-1.1024842356439215,0.0,0.386942894306275,20,20
acceleration_transfer3,depablo_mixed_temp,50,constant_latent,3,-0.8444963106066856,0.0,0.37425513472923705,20,20
acceleration_transfer3,depablo_mixed_temp,50,constant_velocity,3,-0.8935902666933364,0.0,0.419863513804076,20,20
acceleration_transfer3,depablo_mixed_temp,50,constant_velocity_recent,3,-1.7976997850007972,0.0,0.5077470540382583,20,20
acceleration_transfer3,depablo_mixed_temp,50,free_rollout,3,-1.8032989053872768,0.06821293365319724,0.5064357761419443,20,20
acceleration_transfer3,depablo_mixed_temp,50,oracle_ae,3,0.8645596616309104,0.0,0.0890071502442583,20,20
acceleration_transfer3,depablo_mixed_temp,50,teacher_forced,3,0.3883077923291996,3.777172771138937e-05,0.20719224705032788,20,20
acceleration_transfer3,depablo_mixed_temp,75,constant_acceleration,3,-1.2175864408974153,0.0,0.47075142660048,20,20
acceleration_transfer3,depablo_mixed_temp,75,constant_latent,3,-0.5941318354527099,0.0,0.3962028485918448,20,20
acceleration_transfer3,depablo_mixed_temp,75,constant_velocity,3,-0.4914821045608759,0.0,0.44832365581929484,20,20
acceleration_transfer3,depablo_mixed_temp,75,constant_velocity_recent,3,-1.337478806963757,0.0,0.5186168873070259,20,20
acceleration_transfer3,depablo_mixed_temp,75,free_rollout,3,-1.8115207244739384,0.07522646981136873,0.566882703993894,20,20
acceleration_transfer3,depablo_mixed_temp,75,oracle_ae,3,0.95929820674707,0.0,0.0654671977997799,20,20
acceleration_transfer3,depablo_mixed_temp,75,teacher_forced,3,0.6176742785418262,3.5825320327779686e-06,0.14330560478623158,20,20
acceleration_transfer3,depablo_mixed_temp,100,constant_acceleration,3,-1.6379120714910993,0.0,0.42725817339956124,20,20
acceleration_transfer3,depablo_mixed_temp,100,constant_latent,3,-0.8929235023177521,0.0,0.3796909665282127,20,20
acceleration_transfer3,depablo_mixed_temp,100,constant_velocity,3,-0.854954591830619,0.0,0.43227547668618643,20,20
acceleration_transfer3,depablo_mixed_temp,100,constant_velocity_recent,3,-1.7680096810066626,0.0,0.4549974704896585,20,20
acceleration_transfer3,depablo_mixed_temp,100,free_rollout,3,-2.470847856244798,0.04471185205813572,0.5304609144357902,20,20
acceleration_transfer3,depablo_mixed_temp,100,oracle_ae,3,0.9289487980950392,0.0,0.0663684104001322,20,20
acceleration_transfer3,depablo_mixed_temp,100,teacher_forced,3,0.6818111399162907,4.439290489145091e-06,0.13073296158189376,20,20
acceleration_transfer3,lj_noisy,10,constant_acceleration,3,-4.777326683604067,0.0,0.0873971826553439,20,20
acceleration_transfer3,lj_noisy,10,constant_latent,3,-11.034126723684489,0.0,0.1290599089977328,20,20
acceleration_transfer3,lj_noisy,10,constant_velocity,3,-5.242145740961587,0.0,0.0917576434119803,20,20
acceleration_transfer3,lj_noisy,10,constant_velocity_recent,3,-5.065973915152252,0.0,0.09004898542421762,20,20
acceleration_transfer3,lj_noisy,10,free_rollout,3,-5.004106217273667,0.0028264698484000376,0.08977462202245234,20,20
acceleration_transfer3,lj_noisy,10,oracle_ae,3,-4.89766737250705,0.0,0.0885588392189134,20,20
acceleration_transfer3,lj_noisy,10,teacher_forced,3,-4.905458016749583,0.00035109864657880015,0.08865894111127887,20,20
acceleration_transfer3,lj_noisy,25,constant_acceleration,3,0.1579784529822393,0.0,0.0522339284781125,20,20
acceleration_transfer3,lj_noisy,25,constant_latent,3,-6.13167897655546,0.0,0.1412815379054677,20,20
acceleration_transfer3,lj_noisy,25,constant_velocity,3,-0.7157549320397786,0.0,0.0699721861701102,20,20
acceleration_transfer3,lj_noisy,25,constant_velocity_recent,3,-0.5462447871011027,0.0,0.0671095107168675,20,20
acceleration_transfer3,lj_noisy,25,free_rollout,3,-0.48568143237637784,0.0014789623505788916,0.06700485593611549,20,20
acceleration_transfer3,lj_noisy,25,oracle_ae,3,-0.24808725748923446,0.0,0.0613252719333986,20,20
acceleration_transfer3,lj_noisy,25,teacher_forced,3,-0.24705105075709458,2.016413722932356e-05,0.06130411203209437,20,20
acceleration_transfer3,lj_noisy,50,constant_acceleration,3,-0.7375228539249932,0.0,0.0804992250078737,20,20
acceleration_transfer3,lj_noisy,50,constant_latent,3,-5.345586389848076,0.0,0.1447704461480577,20,20
acceleration_transfer3,lj_noisy,50,constant_velocity,3,-0.17861889641182796,0.0,0.0564620791954584,20,20
acceleration_transfer3,lj_noisy,50,constant_velocity_recent,3,0.014891464078549401,0.0,0.0523947887690264,20,20
acceleration_transfer3,lj_noisy,50,free_rollout,3,0.13160607088130719,0.0015332585770121382,0.056080435002277766,20,20
acceleration_transfer3,lj_noisy,50,oracle_ae,3,0.40601589906233676,0.0,0.045713786936981894,20,20
acceleration_transfer3,lj_noisy,50,teacher_forced,3,0.4055606073373927,1.092098722567583e-05,0.0457336660514517,20,20
acceleration_transfer3,lj_noisy,75,constant_acceleration,3,-11.258272582641998,0.0,0.205896960878139,20,20
acceleration_transfer3,lj_noisy,75,constant_latent,3,-5.003765887193759,0.0,0.1470585342648697,20,20
acceleration_transfer3,lj_noisy,75,constant_velocity,3,-0.3762234237539801,0.0,0.0664473571384278,20,20
acceleration_transfer3,lj_noisy,75,constant_velocity_recent,3,-0.1564549862949069,0.0,0.0614031135235912,20,20
acceleration_transfer3,lj_noisy,75,free_rollout,3,0.2944787820058417,0.0009583113926967462,0.04923086017554353,20,20
acceleration_transfer3,lj_noisy,75,oracle_ae,3,0.512281918935755,0.0,0.0398208125758132,20,20
acceleration_transfer3,lj_noisy,75,teacher_forced,3,0.511523895626258,8.810101128641447e-06,0.03982535311306317,20,20
acceleration_transfer3,lj_noisy,100,constant_acceleration,3,-26.543407142519005,0.0,0.3031104416576943,20,20
acceleration_transfer3,lj_noisy,100,constant_latent,3,-4.708370303602157,0.0,0.1473940744785419,20,20
