epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_depablo_mixed_temp_loss_norm,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.9985041592432105,0.7705496907234192,0.9985041592432105,0.10482825176871341,0.004299248457359879,3.984345415364141,0.00406573006235387,0.0013062928995603452,0.7705496907234192,0.08270802199840546,3.07108252843221,0.0033780052171399197,0.0013771695628141364,0.006360975404580434,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
2,1.0104880773502847,0.7698246240615845,1.0104880773502847,0.10615442822808804,0.004630544121660616,4.032401706861413,0.0035703934364668703,0.0013496721031792138,0.7698246240615845,0.08262621685862541,3.0684003829956055,0.0025491320993751287,0.0014205143709356586,0.006928471258531014,0.16098359164172926,0.48386505320546747,80.0,-1.7005353131270624,-6.428298695246616,-1.7005353131270624,-6.428298695246616,0.06604641089808705,-0.2904778603496512,-0.14941110781006994,-6.428298695246616,0.06604641089808705,-0.2904778603496512,-0.14941110781006994,-6.428298695246616,0.16098359164172926,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
3,0.9840370883112368,0.7687562783559163,0.9840370883112368,0.10317927355999532,0.004965756017633755,3.927610480267069,0.002179941478812986,0.001392179933052672,0.7687562783559163,0.08250572880109151,3.0651841322580973,0.0009079289739020169,0.0014551733465244373,0.007477846772720416,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
4,0.9847093613251395,0.7677890817324321,0.9847093613251395,0.10337721524031265,0.005369738432700219,3.9310859286266826,0.0009272821809408133,0.0014544663262432036,0.7677890817324321,0.08239848564068476,3.060695838928223,0.0006691579008474946,0.001510924892500043,0.008280400435129802,0.2827354824406445,0.5795403422096582,80.0,-0.2923794085782006,-1.098397302509634,-0.2923794085782006,-1.098397302509634,0.18601376297542216,-0.1717378947493684,-0.0853962000292221,-1.098397302509634,0.18601376297542216,-0.1717378947493684,-0.0853962000292221,-1.098397302509634,0.2827354824406445,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
5,0.9813608086627462,0.7668732047080994,0.9813608086627462,0.10285262018442154,0.005734975591463887,3.917395260023034,0.0008293853075567471,0.001483623874778657,0.7668732047080994,0.08229780221978823,3.0566781838734944,0.0005950086129208406,0.0015114803643276294,0.008708116877824069,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
6,1.000982139421546,0.7655007998148601,1.000982139421546,0.10493911835162537,0.006427558786843134,3.9951627461806587,0.0008452810605218553,0.001493039945869342,0.7655007998148601,0.08214638928572336,3.0497231006622316,0.0006251751600454251,0.0015484270174056292,0.010106471056739489,0.3668413191596436,0.6089558330872415,80.0,-0.029245096867203474,-0.4296622225041533,-0.029245096867203474,-0.4296622225041533,0.34241696045627845,-0.017758790458315188,-0.011976334962623847,-0.4296622225041533,0.34241696045627845,-0.017758790458315188,-0.011976334962623847,-0.4296622225041533,0.3668413191596436,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
7,0.988821496134219,0.7644053379694621,0.988821496134219,0.10391287149294563,0.007552554851154919,3.9453658850296685,0.0008691903937648495,0.001498399768024683,0.7644053379694621,0.08202585900823275,3.044017235438029,0.0006360672802353898,0.0015980485361069441,0.011369979257384937,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
8,0.9787582651428555,0.7629428545633952,0.9787582651428555,0.10251143105004144,0.009092232313654993,3.903460875801418,0.0008865934872554373,0.001593335207713687,0.7629428545633952,0.08186281969149907,3.035760688781738,0.0006403206187921266,0.0018433040784051021,0.013527126982808113,0.38992555068834245,0.6274630899333598,80.0,-0.005402857729030708,-0.39902646676287223,-0.005402857729030708,-0.39902646676287223,0.31844868245915847,0.04998095020404225,0.00898540318354868,-0.39902646676287223,0.31844868245915847,0.04998095020404225,0.00898540318354868,-0.39902646676287223,0.38992555068834245,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
9,0.972690946382025,0.7617736339569092,0.972690946382025,0.10194275754949321,0.010740172968286535,3.87748992961386,0.0008786657126620412,0.0016550350195282826,0.7617736339569092,0.08173610692222913,3.0297035376230874,0.0006532412099962433,0.001975921595779558,0.01476187693576018,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
10,0.9723265067390774,0.7606269677480062,0.9723265067390774,0.10187209365160568,0.010709353560662788,3.8758165369863096,0.000872703818300658,0.0019074548693859706,0.7606269677480062,0.0816056028008461,3.0243751207987466,0.0005929123610258103,0.0023227011086419226,0.01521711889654398,0.42902783747877593,0.656324927709206,80.0,0.03279819235054415,-0.25497088511886123,0.03279819235054415,-0.25497088511886123,0.1365333118565949,0.15346290148798725,0.0961674411764557,-0.25497088511886123,0.1365333118565949,0.15346290148798725,0.0961674411764557,-0.25497088511886123,0.42902783747877593,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
