epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
11,0.0003527489635748435,0.0002992744749300632,0.0003527489635748435,1.1675043998238266e-07,0.0,0.00012872158610228453,0.0008145746197113455,0.00011495068491090058,0.0002992744749300632,9.458694320714627e-08,0.0,0.00013325582711513174,0.0001523316226854764,0.0006122359749895814,,,,,,,,,,,,,,,1,1,11,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
12,0.00035255925410358676,0.0002988849170759888,0.00035255925410358676,1.1699582147528531e-07,0.0,0.00012847029248571313,0.0008143890513785512,0.00011481841844649601,0.0002988849170759888,9.445614973008726e-08,0.0,0.00013267078291847993,0.00015190347926681886,0.0006120804890426677,0.9804788861651894,0.9909950904260264,60.0,0.7678743555052266,0.3562357992225509,0.7678743555052266,0.3562357992225509,0.9555012230584741,0.9918860442346549,0.3562357992225509,0.9555012230584741,0.9918860442346549,0.3562357992225509,0.9804788861651894,1,1,12,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
13,0.0003522218377302679,0.00029878136464620903,0.0003522218377302679,1.1683971656850645e-07,0.0,0.0001282392224556455,0.0008139958471309382,0.00011443044360422006,0.00029878136464620903,9.443701481421324e-08,0.0,0.00013254873964757248,0.00015190076155056884,0.0006118945927404857,,,,,,,,,,,,,,,1,1,13,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
14,0.0003520359917983151,0.0002983808231524453,0.0003520359917983151,1.1775876984643219e-07,0.0,0.00012800626565308878,0.0008137484086601371,0.00011435330108171953,0.0002983808231524453,9.43160268269077e-08,0.0,0.00013186182228579278,0.00015148668902714813,0.000611793958144395,0.9803470980646742,0.9909719810631278,60.0,0.7697459209935174,0.3622671169412004,0.7697459209935174,0.3622671169412004,0.9557141641781158,0.9912564818612359,0.3622671169412004,0.9557141641781158,0.9912564818612359,0.3622671169412004,0.9803470980646742,1,1,14,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
15,0.0003518244323650131,0.0002984308877177387,0.0003518244323650131,1.1645815867211695e-07,0.0,0.00012781999017689205,0.0008134372681512565,0.00011421603876689069,0.0002984308877177387,9.432661843530613e-08,0.0,0.0001323508344760976,0.00015114327161929578,0.0006117985570578228,,,,,,,,,,,,,,,1,1,15,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
16,0.0003515619329926077,0.0002981277333154705,0.0003515619329926077,1.1784626519073527e-07,0.0,0.00012766002291635784,0.0008129073668698084,0.00011411840919165707,0.0002981277333154705,9.422096396023831e-08,0.0,0.00013191792496079945,0.00015076458728727457,0.0006117006876983376,0.9797343920997905,0.9910085199766855,60.0,0.7640924556903252,0.3466636051538331,0.7640924556903252,0.3466636051538331,0.9550046379819431,0.9906091239351995,0.3466636051538331,0.9550046379819431,0.9906091239351995,0.3466636051538331,0.9797343920997905,1,1,16,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
17,0.0003517385984805928,0.0002980260840467672,0.0003517385984805928,1.1697762181128724e-07,0.0,0.00012748706830978328,0.0008138129272544022,0.00011391579987759291,0.0002980260840467672,9.424179061377137e-08,0.0,0.00013125472469397437,0.0001507966393135521,0.0006120268881327752,,,,,,,,,,,,,,,1,1,17,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
18,0.00035153012381685197,0.00029788630718992007,0.00035153012381685197,1.1716731629363153e-07,0.0,0.0001276256194234064,0.0008130077086229289,0.0001139570434042205,0.00029788630718992007,9.412827624415017e-08,0.0,0.0001317118610095233,0.00015043281684074892,0.0006115142437194879,0.9791541153881789,0.9910638431362943,60.0,0.7644717498598976,0.3483962730489174,0.7644717498598976,0.3483962730489174,0.9562749104131214,0.988744066117654,0.3483962730489174,0.9562749104131214,0.988744066117654,0.3483962730489174,0.9791541153881789,1,1,18,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
19,0.00035109247889837224,0.0002975953477545736,0.00035109247889837224,1.1821320011762282e-07,0.0,0.00012721171395063915,0.0008122278623388788,0.00011383786040559875,0.0002975953477545736,9.406539385798335e-08,0.0,0.00013122338923308972,0.00015011025574080154,0.0006114523982898296,,,,,,,,,,,,,,,1,1,19,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
20,0.00035076609672842347,0.0002975832883206481,0.00035076609672842347,1.1631620466800996e-07,0.0,0.00012697679424636515,0.0008116243263261271,0.00011369716961277817,0.0002975832883206481,9.407868617472559e-08,0.0,0.00013117717664631423,0.00015036160284109004,0.00061121108547454,0.9785679793654722,0.9906905504917992,60.0,0.7591516852047518,0.33749790757784115,0.7591516852047518,0.33749790757784115,0.9504537723266959,0.9895033757097186,0.33749790757784115,0.9504537723266959,0.9895033757097186,0.33749790757784115,0.9785679793654722,1,1,20,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
