source,coordinate,n,pearson,spearman
depablo_low_temp,z0_0,20,0.4548238355206068,0.4661654135338345
depablo_low_temp,z0_1,20,0.6876646303708642,0.669172932330827
depablo_low_temp,pc1,20,-0.23971359758217756,-0.12932330827067667
depablo_mixed_temp,z0_0,20,0.6561738736877906,0.613533834586466
depablo_mixed_temp,z0_1,20,0.5524990154776873,0.5142857142857143
depablo_mixed_temp,pc1,20,-0.5091667749518017,-0.49624060150375937
lj_noisy,z0_0,20,-0.11061629931953212,-0.07969924812030074
lj_noisy,z0_1,20,0.12355158313250596,0.14736842105263157
lj_noisy,pc1,20,0.11859208534651552,0.11428571428571428
reid,z0_0,20,0.4901920519805663,0.47518796992481205
reid,z0_1,20,-0.7751419691286752,-0.706766917293233
reid,pc1,20,-0.5814175872968498,-0.5263157894736841
