split,source,sim_idx,frame,z0,z1,z2,z3,z4,z5,z6,z7
train,depablo_low_temp,0,0,-0.26118436455726624,-1.8883384466171265,2.852621078491211,-3.803562879562378,-2.0213983058929443,-1.167018175125122,3.871431350708008,2.6910243034362793
train,depablo_low_temp,0,10,0.024844300001859665,-1.8572711944580078,2.8675408363342285,-2.933042049407959,-2.017118453979492,-0.821506679058075,2.9809677600860596,2.866760015487671
train,depablo_low_temp,0,20,0.3190611004829407,-1.851869821548462,2.9289016723632812,-2.081367015838623,-2.044203281402588,-0.48159778118133545,2.111590623855591,3.0941667556762695
train,depablo_low_temp,0,30,0.624297559261322,-1.862679123878479,3.021364212036133,-1.2254855632781982,-2.0918445587158203,-0.13902288675308228,1.2393629550933838,3.359074115753174
train,depablo_low_temp,0,40,0.9404486417770386,-1.8898378610610962,3.145157814025879,-0.36595815420150757,-2.1601877212524414,0.2059939205646515,0.3648942708969116,3.6616320610046387
train,depablo_low_temp,0,50,1.26663076877594,-1.9333016872406006,3.3000104427337646,0.49470895528793335,-2.2490851879119873,0.5524311661720276,-0.509219765663147,4.001039981842041
train,depablo_low_temp,0,60,1.603076457977295,-1.9938642978668213,3.4873430728912354,1.3558807373046875,-2.3594846725463867,0.9000921845436096,-1.3822683095932007,4.378868103027344
train,depablo_low_temp,0,70,1.9493073225021362,-2.0719499588012695,3.7077956199645996,2.215449810028076,-2.4918344020843506,1.2481571435928345,-2.252035140991211,4.795462131500244
train,depablo_low_temp,0,80,2.305424213409424,-2.1672770977020264,3.96091890335083,3.074104070663452,-2.6457927227020264,1.5968533754348755,-3.119173288345337,5.250382900238037
train,depablo_low_temp,0,90,2.6709935665130615,-2.280046224594116,4.246952533721924,3.930262327194214,-2.8215296268463135,1.945542812347412,-3.9820103645324707,5.743610382080078
train,depablo_low_temp,0,100,3.0463497638702393,-2.411491870880127,4.568131446838379,4.782794952392578,-3.0205259323120117,2.2938473224639893,-4.839249134063721,6.277554988861084
train,depablo_low_temp,1,0,-0.2454807013273239,-2.611882448196411,4.132475852966309,-4.8972673416137695,-2.8906617164611816,-1.4997633695602417,4.9938459396362305,3.9995243549346924
train,depablo_low_temp,1,10,-0.028632085770368576,-2.7600252628326416,4.43774938583374,-4.513992786407471,-3.088667869567871,-1.3312761783599854,4.606931686401367,4.433183193206787
train,depablo_low_temp,1,20,0.20438194274902344,-2.9760353565216064,4.864604949951172,-4.196361541748047,-3.3688855171203613,-1.1834298372268677,4.291214466094971,4.998900890350342
train,depablo_low_temp,1,30,0.46237319707870483,-3.2229185104370117,5.352025032043457,-3.860084056854248,-3.688793897628784,-1.0261856317520142,3.95938777923584,5.639095783233643
train,depablo_low_temp,1,40,0.7435188889503479,-3.4958574771881104,5.891189098358154,-3.5024871826171875,-4.042513847351074,-0.8588659763336182,3.608412981033325,6.343880653381348
train,depablo_low_temp,1,50,1.0456029176712036,-3.7927963733673096,6.477932929992676,-3.12642765045166,-4.427382469177246,-0.6827387809753418,3.2409963607788086,7.107892036437988
train,depablo_low_temp,1,60,1.3670109510421753,-4.11063289642334,7.106448173522949,-2.7313408851623535,-4.839545249938965,-0.49778082966804504,2.856306791305542,7.924385070800781
train,depablo_low_temp,1,70,1.705484390258789,-4.446860313415527,7.771804332733154,-2.3194446563720703,-5.275785446166992,-0.3050631582736969,2.456407308578491,8.787171363830566
train,depablo_low_temp,1,80,2.059094190597534,-4.8016438484191895,8.473811149597168,-1.8964886665344238,-5.736068248748779,-0.10681577771902084,2.047074794769287,9.695011138916016
train,depablo_low_temp,1,90,2.4272563457489014,-5.1721720695495605,9.207442283630371,-1.459446668624878,-6.217001438140869,0.09796656668186188,1.6250014305114746,10.642513275146484
train,depablo_low_temp,1,100,2.8083035945892334,-5.558839321136475,9.973017692565918,-1.0137720108032227,-6.718839168548584,0.307161808013916,1.1957106590270996,11.629068374633789
train,depablo_low_temp,2,0,-0.22564946115016937,-1.876749038696289,2.857806921005249,-3.686065673828125,-2.022606611251831,-1.12051522731781,3.7571072578430176,2.7116990089416504
train,depablo_low_temp,2,10,0.05669098719954491,-1.915968656539917,2.9919939041137695,-2.9363532066345215,-2.0995113849639893,-0.8177570700645447,2.9936017990112305,3.007530689239502
train,depablo_low_temp,2,20,0.36576205492019653,-2.0021615028381348,3.214916467666626,-2.1879076957702637,-2.2353222370147705,-0.512242317199707,2.23486328125,3.4077138900756836
train,depablo_low_temp,2,30,0.7047068476676941,-2.1154439449310303,3.4931440353393555,-1.399998664855957,-2.406827926635742,-0.18952594697475433,1.4384115934371948,3.8797523975372314
train,depablo_low_temp,2,40,1.0717875957489014,-2.2537550926208496,3.822634696960449,-0.5741717219352722,-2.611363410949707,0.14966213703155518,0.6056118011474609,4.418581008911133
train,depablo_low_temp,2,50,1.4645349979400635,-2.416238784790039,4.201244831085205,0.2839246690273285,-2.8476014137268066,0.5030587315559387,-0.257924884557724,5.020664215087891
train,depablo_low_temp,2,60,1.8811883926391602,-2.602283000946045,4.627416133880615,1.1703555583953857,-3.1145875453948975,0.869113564491272,-1.1483279466629028,5.683465957641602
train,depablo_low_temp,2,70,2.318934917449951,-2.8107786178588867,5.098465442657471,2.0789732933044434,-3.4106433391571045,1.2453669309616089,-2.05950927734375,6.402719020843506
train,depablo_low_temp,2,80,2.775008201599121,-3.041412353515625,5.6131086349487305,3.0024092197418213,-3.735058546066284,1.6289139986038208,-2.984066963195801,7.175623416900635
train,depablo_low_temp,2,90,3.2472777366638184,-3.2950539588928223,6.172274589538574,3.933232307434082,-4.088594913482666,2.016951322555542,-3.914501428604126,8.001944541931152
train,depablo_low_temp,2,100,3.7336816787719727,-3.570258617401123,6.772876739501953,4.867995262145996,-4.469263553619385,2.4080302715301514,-4.847418785095215,8.877433776855469
train,depablo_low_temp,3,0,-0.23433010280132294,-1.0025866031646729,1.3066866397857666,-2.336160659790039,-0.9783560633659363,-0.7132065892219543,2.369427442550659,1.137054681777954
train,depablo_low_temp,3,10,-0.009878508746623993,-0.8718389272689819,1.1388722658157349,-1.489253282546997,-0.8511441349983215,-0.3852968215942383,1.498551368713379,1.0894345045089722
train,depablo_low_temp,3,20,0.21768584847450256,-0.7439830303192139,0.9765787124633789,-0.638076901435852,-0.7277603149414062,-0.05544005706906319,0.6236058473587036,1.0493600368499756
train,depablo_low_temp,3,30,0.4500885009765625,-0.6183031797409058,0.8190333843231201,0.2236131727695465,-0.6075763702392578,0.27877378463745117,-0.2617206275463104,1.0169562101364136
train,depablo_low_temp,3,40,0.687149167060852,-0.49485233426094055,0.6662958264350891,1.095214605331421,-0.49063414335250854,0.6171019673347473,-1.1568037271499634,0.9921759366989136
train,depablo_low_temp,3,50,0.9291673302650452,-0.3735097050666809,0.5182361602783203,1.9777942895889282,-0.3768247067928314,0.9599573612213135,-2.0627238750457764,0.9750449657440186
train,depablo_low_temp,3,60,1.175995945930481,-0.25450003147125244,0.37520933151245117,2.8705546855926514,-0.26639413833618164,1.3070391416549683,-2.978661060333252,0.9658408164978027
train,depablo_low_temp,3,70,1.4279437065124512,-0.13770169019699097,0.23709285259246826,3.774569511413574,-0.15924003720283508,1.6587640047073364,-3.9057157039642334,0.9646016359329224
train,depablo_low_temp,3,80,1.684872031211853,-0.023218337446451187,0.1040336936712265,4.689275741577148,-0.05546250194311142,2.0149123668670654,-4.843301296234131,0.9713953733444214
train,depablo_low_temp,3,90,1.9471220970153809,0.08902617543935776,-0.024007072672247887,5.615762233734131,0.04498220235109329,2.375912666320801,-5.79253625869751,0.9863640069961548
train,depablo_low_temp,3,100,2.214639902114868,0.19888725876808167,-0.14678889513015747,6.553635597229004,0.14193904399871826,2.7416162490844727,-6.753005504608154,1.0097163915634155
train,depablo_low_temp,4,0,-0.21493268013000488,-2.303363084793091,3.5978691577911377,-4.326760768890381,-2.5259180068969727,-1.3158749341964722,4.408949375152588,3.4757254123687744
train,depablo_low_temp,4,10,0.011743664741516113,-2.4050498008728027,3.8247158527374268,-3.8383960723876953,-2.6697864532470703,-1.1111153364181519,3.9143848419189453,3.835251569747925
train,depablo_low_temp,4,20,0.256742000579834,-2.560269594192505,4.148652076721191,-3.386120319366455,-2.8788652420043945,-0.9167982935905457,3.4604740142822266,4.303239822387695
train,depablo_low_temp,4,30,0.5254557728767395,-2.7383570671081543,4.518822193145752,-2.9054601192474365,-3.1178159713745117,-0.7100449204444885,2.9803340435028076,4.830445289611816
train,depablo_low_temp,4,40,0.8153766393661499,-2.9365897178649902,4.929866790771484,-2.399045944213867,-3.383155584335327,-0.49211230874061584,2.476470947265625,5.410061359405518
train,depablo_low_temp,4,50,1.1247893571853638,-3.1516056060791016,5.375504970550537,-1.8661317825317383,-3.6707231998443604,-0.26295751333236694,1.947914481163025,6.0348005294799805
train,depablo_low_temp,4,60,1.4510185718536377,-3.3818647861480713,5.8523478507995605,-1.3117294311523438,-3.978395462036133,-0.02466479130089283,1.3996137380599976,6.699795722961426
train,depablo_low_temp,4,70,1.7930412292480469,-3.6241703033447266,6.354555606842041,-0.7333338260650635,-4.302267074584961,0.2235303521156311,0.8287983536720276,7.398608684539795
train,depablo_low_temp,4,80,2.149409294128418,-3.8769524097442627,6.87898588180542,-0.1323908418416977,-4.640308856964111,0.48096323013305664,0.23678602278232574,8.127286911010742
train,depablo_low_temp,4,90,2.518174648284912,-4.138400554656982,7.42197322845459,0.48865020275115967,-4.9901533126831055,0.7465490102767944,-0.37412235140800476,8.881092071533203
train,depablo_low_temp,4,100,2.8992152214050293,-4.406322479248047,7.979626655578613,1.1331499814987183,-5.349178791046143,1.0214869976043701,-1.0075347423553467,9.656052589416504
train,depablo_low_temp,5,0,-0.1684798300266266,-0.8943796157836914,1.135945200920105,-1.978373646736145,-0.8517363667488098,-0.5808417797088623,2.004932403564453,1.001009225845337
train,depablo_low_temp,5,10,0.12274711579084396,-0.741798996925354,0.9442828893661499,-0.8971810340881348,-0.7046533823013306,-0.16276806592941284,0.8948218822479248,0.9678577184677124
train,depablo_low_temp,5,20,0.4186919629573822,-0.5910360813140869,0.7568515539169312,0.19477443397045135,-0.5603728294372559,0.25970545411109924,-0.22594276070594788,0.9416985511779785
train,depablo_low_temp,5,30,0.720519483089447,-0.4420899748802185,0.5738935470581055,1.3008095026016235,-0.41898098587989807,0.6878883242607117,-1.360746145248413,0.923437237739563
