experiment,scope,budget,source,probe,seeds,r2_mean,r2_std
latent_low_data_update_matched,shared3,one_trajectory,depablo_mixed_temp,initial_pc1,3,0.9070631683166795,0.06848561323132253
latent_low_data_update_matched,shared3,one_trajectory,depablo_mixed_temp,initial_z,3,0.9046693726042436,0.07113957494128326
latent_low_data_update_matched,shared3,one_trajectory,depablo_mixed_temp,observed_prefix,3,0.9064130620737055,0.02524008200081814
latent_low_data_update_matched,shared3,one_trajectory,reid,constant,3,-0.09034610605757849,0.0
latent_low_data_update_matched,shared3,one_trajectory,reid,initial_pc1,3,0.790396441191714,0.09298043139945739
latent_low_data_update_matched,shared3,one_trajectory,reid,initial_z,3,0.7919860326991892,0.09613804073392136
latent_low_data_update_matched,shared3,one_trajectory,reid,observed_prefix,3,0.9466212839617608,0.0046991968121656924
latent_low_data_update_matched,shared3,thirty_trajectories,depablo_low_temp,constant,3,-0.0225933853861557,0.0
latent_low_data_update_matched,shared3,thirty_trajectories,depablo_low_temp,initial_pc1,3,-0.028482864840507934,0.01170722981694596
latent_low_data_update_matched,shared3,thirty_trajectories,depablo_low_temp,initial_z,3,0.10845968242217437,0.17017124170498615
latent_low_data_update_matched,shared3,thirty_trajectories,depablo_low_temp,observed_prefix,3,0.9707273785803464,0.011202348909985232
latent_low_data_update_matched,shared3,thirty_trajectories,depablo_mixed_temp,constant,3,-0.0257357943474008,0.0
latent_low_data_update_matched,shared3,thirty_trajectories,depablo_mixed_temp,initial_pc1,3,-0.02247100934237947,0.02158111307329031
latent_low_data_update_matched,shared3,thirty_trajectories,depablo_mixed_temp,initial_z,3,0.17318916039030122,0.2655072528330236
latent_low_data_update_matched,shared3,thirty_trajectories,depablo_mixed_temp,observed_prefix,3,-0.5736419849296749,1.30398750528345
latent_low_data_update_matched,shared3,thirty_trajectories,reid,constant,3,-0.09034610605757849,0.0
latent_low_data_update_matched,shared3,thirty_trajectories,reid,initial_pc1,3,0.07099930706022174,0.04612317395283021
latent_low_data_update_matched,shared3,thirty_trajectories,reid,initial_z,3,0.08036460002830044,0.08225478649414728
latent_low_data_update_matched,shared3,thirty_trajectories,reid,observed_prefix,3,0.9396395234533577,0.01264279654979068
latent_low_data_update_matched,shared4,one_trajectory,depablo_low_temp,constant,3,-0.0225933853861557,0.0
latent_low_data_update_matched,shared4,one_trajectory,depablo_low_temp,initial_pc1,3,0.5696462592824042,0.40847866233147934
latent_low_data_update_matched,shared4,one_trajectory,depablo_low_temp,initial_z,3,0.8610687275499349,0.01144550356100359
latent_low_data_update_matched,shared4,one_trajectory,depablo_low_temp,observed_prefix,3,0.9132545503072969,0.03191216416754205
latent_low_data_update_matched,shared4,one_trajectory,depablo_mixed_temp,constant,3,-0.0257357943474008,0.0
latent_low_data_update_matched,shared4,one_trajectory,depablo_mixed_temp,initial_pc1,3,0.552585421891987,0.3850656015467265
latent_low_data_update_matched,shared4,one_trajectory,depablo_mixed_temp,initial_z,3,0.8506149978150347,0.04649811751855786
latent_low_data_update_matched,shared4,one_trajectory,depablo_mixed_temp,observed_prefix,3,0.8003452342498791,0.09689030625366557
latent_low_data_update_matched,shared4,one_trajectory,lj_noisy,constant,3,-0.0138433359667873,0.0
latent_low_data_update_matched,shared4,one_trajectory,lj_noisy,initial_pc1,3,-0.027958732782581066,0.04890777329550882
latent_low_data_update_matched,shared4,one_trajectory,lj_noisy,initial_z,3,-0.14709553530075137,0.1261436111687217
latent_low_data_update_matched,shared4,one_trajectory,lj_noisy,observed_prefix,3,-0.08046020542135707,0.08053289240067182
latent_low_data_update_matched,shared4,one_trajectory,reid,constant,3,-0.09034610605757849,0.0
latent_low_data_update_matched,shared4,one_trajectory,reid,initial_pc1,3,0.46254875090747816,0.5314573988213365
latent_low_data_update_matched,shared4,one_trajectory,reid,initial_z,3,0.7995995346256478,0.07972098405752007
latent_low_data_update_matched,shared4,one_trajectory,reid,observed_prefix,3,0.9534825134028174,0.009009467517487912
latent_low_data_update_matched,shared4,thirty_trajectories,depablo_low_temp,constant,3,-0.0225933853861557,0.0
latent_low_data_update_matched,shared4,thirty_trajectories,depablo_low_temp,initial_pc1,3,0.22392268465418844,0.38161512242428974
latent_low_data_update_matched,shared4,thirty_trajectories,depablo_low_temp,initial_z,3,0.7789168595231377,0.0915130028526004
latent_low_data_update_matched,shared4,thirty_trajectories,depablo_low_temp,observed_prefix,3,0.9734768350073392,0.01512599928302182
latent_low_data_update_matched,shared4,thirty_trajectories,depablo_mixed_temp,constant,3,-0.0257357943474008,0.0
latent_low_data_update_matched,shared4,thirty_trajectories,depablo_mixed_temp,initial_pc1,3,0.22790694382350385,0.41941699168299995
latent_low_data_update_matched,shared4,thirty_trajectories,depablo_mixed_temp,initial_z,3,0.7790745233934354,0.07467357376150378
latent_low_data_update_matched,shared4,thirty_trajectories,depablo_mixed_temp,observed_prefix,3,0.7231664689071101,0.1217666489527197
latent_low_data_update_matched,shared4,thirty_trajectories,lj_noisy,constant,3,-0.0138433359667873,0.0
latent_low_data_update_matched,shared4,thirty_trajectories,lj_noisy,initial_pc1,3,-0.06335671633643086,0.0801791481637994
latent_low_data_update_matched,shared4,thirty_trajectories,lj_noisy,initial_z,3,-0.12266135832983238,0.07466954001973579
latent_low_data_update_matched,shared4,thirty_trajectories,lj_noisy,observed_prefix,3,0.38075696590225583,0.11101831937453877
latent_low_data_update_matched,shared4,thirty_trajectories,reid,constant,3,-0.09034610605757849,0.0
latent_low_data_update_matched,shared4,thirty_trajectories,reid,initial_pc1,3,-0.037283672234360896,0.05837064266562051
latent_low_data_update_matched,shared4,thirty_trajectories,reid,initial_z,3,0.5098739161337752,0.22234043469166354
latent_low_data_update_matched,shared4,thirty_trajectories,reid,observed_prefix,3,0.9534106273037243,0.01976518055788465
