source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,experiment,scope,seed,budget
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,latent_low_data,shared3,456,thirty_trajectories
depablo_mixed_temp,initial_pc1,20,20,20,0.0022050499799132,0.3184562596431955,0.1264354805514444,latent_low_data,shared3,456,thirty_trajectories
depablo_mixed_temp,initial_z,20,20,20,0.0788902335198653,0.2977256646438881,0.1264354805514444,latent_low_data,shared3,456,thirty_trajectories
depablo_mixed_temp,observed_prefix,20,20,20,-2.0765421346588147,0.4254093694596358,0.1264354805514444,latent_low_data,shared3,456,thirty_trajectories
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,latent_low_data,shared3,456,thirty_trajectories
reid,initial_pc1,20,20,20,0.1217903844619001,0.1650781629787465,0.0392619338029476,latent_low_data,shared3,456,thirty_trajectories
reid,initial_z,20,20,20,0.1556421402402553,0.1600226995944844,0.0392619338029476,latent_low_data,shared3,456,thirty_trajectories
reid,observed_prefix,20,20,20,0.9259414348101334,0.0416855855508718,0.0392619338029476,latent_low_data,shared3,456,thirty_trajectories
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,latent_low_data,shared3,786,one_trajectory
depablo_low_temp,initial_pc1,20,20,20,0.985207647343926,0.0335000036434249,0.1309363081666797,latent_low_data,shared3,786,one_trajectory
depablo_low_temp,initial_z,20,20,20,0.9860731431939924,0.0332391710086683,0.1309363081666797,latent_low_data,shared3,786,one_trajectory
depablo_low_temp,observed_prefix,20,20,20,0.9832775353643012,0.0387878788572335,0.1309363081666797,latent_low_data,shared3,786,one_trajectory
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,latent_low_data,shared3,786,one_trajectory
depablo_mixed_temp,initial_pc1,20,20,20,0.932427399063327,0.0744545734252692,0.1264354805514444,latent_low_data,shared3,786,one_trajectory
depablo_mixed_temp,initial_z,20,20,20,0.9294837761035152,0.0764838931790189,0.1264354805514444,latent_low_data,shared3,786,one_trajectory
depablo_mixed_temp,observed_prefix,20,20,20,0.9067142154684348,0.0881462678559117,0.1264354805514444,latent_low_data,shared3,786,one_trajectory
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,latent_low_data,shared3,786,one_trajectory
reid,initial_pc1,20,20,20,0.9015180675821476,0.0536177984157208,0.0392619338029476,latent_low_data,shared3,786,one_trajectory
reid,initial_z,20,20,20,0.9042889741200812,0.0524740407540764,0.0392619338029476,latent_low_data,shared3,786,one_trajectory
reid,observed_prefix,20,20,20,0.9514859310502152,0.0350587052066911,0.0392619338029476,latent_low_data,shared3,786,one_trajectory
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,latent_low_data,shared3,786,thirty_trajectories
depablo_low_temp,initial_pc1,20,20,20,-0.0189944940842297,0.3437512292166807,0.1309363081666797,latent_low_data,shared3,786,thirty_trajectories
depablo_low_temp,initial_z,20,20,20,0.272568585530083,0.2313111339292243,0.1309363081666797,latent_low_data,shared3,786,thirty_trajectories
depablo_low_temp,observed_prefix,20,20,20,0.9829618452989668,0.0337451899500165,0.1309363081666797,latent_low_data,shared3,786,thirty_trajectories
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,latent_low_data,shared3,786,thirty_trajectories
depablo_mixed_temp,initial_pc1,20,20,20,-0.031798471993117,0.3271131135025867,0.1264354805514444,latent_low_data,shared3,786,thirty_trajectories
depablo_mixed_temp,initial_z,20,20,20,0.4729744993464995,0.1988058434752057,0.1264354805514444,latent_low_data,shared3,786,thirty_trajectories
depablo_mixed_temp,observed_prefix,20,20,20,0.2575060754392531,0.2187782309697906,0.1264354805514444,latent_low_data,shared3,786,thirty_trajectories
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,latent_low_data,shared3,786,thirty_trajectories
reid,initial_pc1,20,20,20,0.0594798995840998,0.1634077513560897,0.0392619338029476,latent_low_data,shared3,786,thirty_trajectories
reid,initial_z,20,20,20,-0.0074321091893061,0.163985852635024,0.0392619338029476,latent_low_data,shared3,786,thirty_trajectories
reid,observed_prefix,20,20,20,0.9508603042996446,0.0329030348247677,0.0392619338029476,latent_low_data,shared3,786,thirty_trajectories
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,latent_low_data,shared4,123,one_trajectory
depablo_low_temp,initial_pc1,20,20,20,0.8333764477307348,0.1166278185672196,0.1309363081666797,latent_low_data,shared4,123,one_trajectory
depablo_low_temp,initial_z,20,20,20,0.902950726875191,0.0902400864201809,0.1309363081666797,latent_low_data,shared4,123,one_trajectory
depablo_low_temp,observed_prefix,20,20,20,0.9826184694142917,0.0386414394554365,0.1309363081666797,latent_low_data,shared4,123,one_trajectory
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,latent_low_data,shared4,123,one_trajectory
depablo_mixed_temp,initial_pc1,20,20,20,0.7719079654923845,0.1304356881414199,0.1264354805514444,latent_low_data,shared4,123,one_trajectory
depablo_mixed_temp,initial_z,20,20,20,0.8002801884401559,0.1172057082463998,0.1264354805514444,latent_low_data,shared4,123,one_trajectory
depablo_mixed_temp,observed_prefix,20,20,20,0.7958738239571339,0.1204061784205343,0.1264354805514444,latent_low_data,shared4,123,one_trajectory
lj_noisy,constant,20,20,20,-0.0138433359667873,0.0651860800538785,0.0053100823581802,latent_low_data,shared4,123,one_trajectory
