scope,horizon,source,rollout_steps,seeds,r2_mean,r2_std
all4,1,depablo_low_temp,10,3,-2.2709398494050466,2.3501129131349083
all4,1,depablo_low_temp,25,3,-2.106699119352847,2.565452220856058
all4,1,depablo_low_temp,50,3,-0.9827245236471214,1.2432490721260754
all4,1,depablo_low_temp,75,3,-0.23575897696625892,0.3571394397068405
all4,1,depablo_low_temp,100,3,-0.2140175883963761,0.5965181326508685
all4,1,depablo_mixed_temp,10,3,-0.7449881518964384,0.6395614147465761
all4,1,depablo_mixed_temp,25,3,-1.3772144647807163,0.25255482303914684
all4,1,depablo_mixed_temp,50,3,-1.302158482903583,0.4712725826922749
all4,1,depablo_mixed_temp,75,3,-1.1947194492617048,0.6214766993930788
all4,1,depablo_mixed_temp,100,3,-1.2894812515989653,0.8689128167748547
all4,1,lj_noisy,10,3,-6.469321048730691,0.7901431370285082
all4,1,lj_noisy,25,3,-2.633670648723657,1.8941790034680284
all4,1,lj_noisy,50,3,-2.572550819741122,2.564271317754159
all4,1,lj_noisy,75,3,-1.7084512573810102,1.378668243956021
all4,1,lj_noisy,100,3,-1.7728395377158768,1.379918255199455
all4,1,reid,10,3,-3.478971471307544,5.289178995423269
all4,1,reid,25,3,-8.204276046195806,13.48541362285059
all4,1,reid,50,3,-3.4103393603891576,4.996777530224206
all4,1,reid,75,3,-1.2613048637382722,1.309028953654791
all4,1,reid,100,3,-0.615062501659898,0.4148537224736493
all4,8,depablo_low_temp,10,3,0.7906509208924728,0.05170965636972861
all4,8,depablo_low_temp,25,3,0.8330802066211396,0.09374687172094376
all4,8,depablo_low_temp,50,3,0.5531020744322386,0.6099220414284081
all4,8,depablo_low_temp,75,3,0.8812283320289156,0.09115042610404794
all4,8,depablo_low_temp,100,3,0.896624574333762,0.09324821022981858
all4,8,depablo_mixed_temp,10,3,0.12057952888945916,0.11875481017769662
all4,8,depablo_mixed_temp,25,3,-1.0935459720369727,0.07825418051574232
all4,8,depablo_mixed_temp,50,3,-0.8749705577812298,0.5256189544683465
all4,8,depablo_mixed_temp,75,3,-0.8332728153628858,0.4153615846544801
all4,8,depablo_mixed_temp,100,3,-0.8212246792475355,0.5374639767208818
all4,8,lj_noisy,10,3,-5.209643801888684,0.14761796101999244
all4,8,lj_noisy,25,3,-0.777665302805841,0.20369965388456415
all4,8,lj_noisy,50,3,-0.2022152257249844,0.21670334576153075
all4,8,lj_noisy,75,3,-0.11966417464679267,0.22854916357904506
all4,8,lj_noisy,100,3,-0.3945853531863636,0.2639270241933478
all4,8,reid,10,3,0.6722701152958505,0.0596180933855126
all4,8,reid,25,3,0.7228277653931766,0.0939696020965071
all4,8,reid,50,3,0.7585699753759904,0.07879797653382899
all4,8,reid,75,3,0.7498789302281744,0.08015526929495594
all4,8,reid,100,3,0.7000577192507661,0.09683743812056785
transfer3,1,depablo_low_temp,10,3,0.8702754879808675,0.0003695944224733169
transfer3,1,depablo_low_temp,25,3,0.965580454771565,0.0003719550044291284
transfer3,1,depablo_low_temp,50,3,0.9883516420596323,0.0006784320204111852
transfer3,1,depablo_low_temp,75,3,0.9912629464780842,0.00014618492961309925
transfer3,1,depablo_low_temp,100,3,0.9919693808202067,0.0008970634598152471
transfer3,1,depablo_mixed_temp,10,3,-0.0615078426518397,0.0007077241198980108
transfer3,1,depablo_mixed_temp,25,3,-1.2816419446085987,0.006110847619530388
transfer3,1,depablo_mixed_temp,50,3,-1.7714003757997385,0.0693367099001492
transfer3,1,depablo_mixed_temp,75,3,-1.7753538223470606,0.07730842986258504
transfer3,1,depablo_mixed_temp,100,3,-2.5002831229807847,0.03752171026483238
transfer3,1,lj_noisy,10,3,-5.010441669124561,0.009534021670713861
transfer3,1,lj_noisy,25,3,-0.49074526800767,0.009023431332511914
transfer3,1,lj_noisy,50,3,0.12786997268142933,0.008896650441793694
transfer3,1,lj_noisy,75,3,0.2821730449263275,0.019098766315634726
transfer3,1,lj_noisy,100,3,0.3524121209296176,0.02270054766298473
transfer3,1,reid,10,3,0.7633967238772555,0.0006313701271565388
transfer3,1,reid,25,3,0.9037547093482142,0.002658828825724529
transfer3,1,reid,50,3,0.9563656125946981,0.0023599936937822837
transfer3,1,reid,75,3,0.9634519311134707,0.0004428333199281189
transfer3,1,reid,100,3,0.9560534572890284,0.0003016181999057932
transfer3,8,depablo_low_temp,10,3,0.8707574091423206,0.00016690876335489048
transfer3,8,depablo_low_temp,25,3,0.9667301160276919,0.0004724328097807491
transfer3,8,depablo_low_temp,50,3,0.9900111380436615,0.0007331851170906071
transfer3,8,depablo_low_temp,75,3,0.9925461552094236,0.0008229109477248878
transfer3,8,depablo_low_temp,100,3,0.9919231489219477,0.00021171128146665693
transfer3,8,depablo_mixed_temp,10,3,-0.0635088790022088,0.0009615785719191635
transfer3,8,depablo_mixed_temp,25,3,-1.2803178394594152,0.006351705522832237
transfer3,8,depablo_mixed_temp,50,3,-1.8261579885460337,0.08090997264076046
transfer3,8,depablo_mixed_temp,75,3,-1.7350237949059368,0.07563246799812914
transfer3,8,depablo_mixed_temp,100,3,-2.422634499147992,0.11864739690985898
transfer3,8,lj_noisy,10,3,-5.003102868148336,0.0036727256104151815
transfer3,8,lj_noisy,25,3,-0.4789566318678699,0.005405232841953261
transfer3,8,lj_noisy,50,3,0.14161719926191438,0.006969549313670697
transfer3,8,lj_noisy,75,3,0.30822470652133543,0.007511615911233969
transfer3,8,lj_noisy,100,3,0.37930387819779415,0.0074546467427152
transfer3,8,reid,10,3,0.7642883775522679,0.00017392330981873486
transfer3,8,reid,25,3,0.9070503042767945,0.0006992647982902211
transfer3,8,reid,50,3,0.9596053702465505,0.0007755930877042514
transfer3,8,reid,75,3,0.9632497425053864,0.00044669428239922757
transfer3,8,reid,100,3,0.9547672083118616,0.0013258067214231195
