source,rollout_steps,used,total,p_ratio_r2,p_ratio_mae,target_variance,scope,horizon,seed
reid,10,20,20,0.7636358854520111,0.0709908325920754,0.0283466184553629,transfer3,1,123
reid,25,20,20,0.9047815590411586,0.0463170918118045,0.0340742914742546,transfer3,1,123
reid,50,20,20,0.9570359659068656,0.0301771293272347,0.03674579830514,transfer3,1,123
reid,75,20,20,0.9634367635397674,0.0261418357278164,0.0381454871288846,transfer3,1,123
reid,100,20,20,0.9557141641781158,0.027664796451476,0.0392619338029476,transfer3,1,123
depablo_low_temp,10,20,20,0.8705303829190063,0.0953632783933816,0.0890919672458267,transfer3,1,123
depablo_low_temp,25,20,20,0.9658240506858876,0.0519215120049888,0.1113451632350467,transfer3,1,123
depablo_low_temp,50,20,20,0.9887970026100918,0.0300566468006213,0.121923909291221,transfer3,1,123
depablo_low_temp,75,20,20,0.9910970609799392,0.0254789455089987,0.1271388104990921,transfer3,1,123
depablo_low_temp,100,20,20,0.991256481861236,0.0271811232588132,0.1309363081666797,transfer3,1,123
depablo_mixed_temp,10,20,20,-0.0607020035421019,0.3632657482399715,0.1792210970466572,transfer3,1,123
depablo_mixed_temp,25,20,20,-1.288605142831269,0.5215238050495479,0.1814265265332104,transfer3,1,123
depablo_mixed_temp,50,20,20,-1.8496059180575128,0.5104095765761205,0.1290510646927359,transfer3,1,123
depablo_mixed_temp,75,20,20,-1.7636239210190028,0.5636752601602303,0.1721180025747532,transfer3,1,123
depablo_mixed_temp,100,20,20,-2.486311406562689,0.5311302871060704,0.1264354805514444,transfer3,1,123
lj_noisy,10,20,20,-5.003509712529259,0.0897688836505067,0.0021538442446725,transfer3,1,123
lj_noisy,25,20,20,-0.4850855396166265,0.0669894897981938,0.0041168599721615,transfer3,1,123
lj_noisy,50,20,20,0.1316296530248729,0.0559310579022694,0.0047651600463273,transfer3,1,123
lj_noisy,75,20,20,0.2909388931303078,0.0490128384432208,0.0050961142073924,transfer3,1,123
lj_noisy,100,20,20,0.3622671169412004,0.0469898457800957,0.0053100823581802,transfer3,1,123
reid,10,20,20,0.7626807124205321,0.0711213564420392,0.0283466184553629,transfer3,1,456
reid,25,20,20,0.9007355799091018,0.0468853322504804,0.0340742914742546,transfer3,1,456
reid,50,20,20,0.9537429613349648,0.03095675352547,0.03674579830514,transfer3,1,456
reid,75,20,20,0.9630168764386298,0.025209220270143,0.0381454871288846,transfer3,1,456
reid,100,20,20,0.95615503272594,0.0272540416780314,0.0392619338029476,transfer3,1,456
depablo_low_temp,10,20,20,0.8698516092971684,0.0955771315340679,0.0890919672458267,transfer3,1,456
depablo_low_temp,25,20,20,0.9651523133825924,0.0527719201283342,0.1113451632350467,transfer3,1,456
depablo_low_temp,50,20,20,0.987570830535152,0.0314063397129098,0.121923909291221,transfer3,1,456
depablo_low_temp,75,20,20,0.9913188423276136,0.0255183569239112,0.1271388104990921,transfer3,1,456
depablo_low_temp,100,20,20,0.9929766406842586,0.0245756757827669,0.1309363081666797,transfer3,1,456
depablo_mixed_temp,10,20,20,-0.0617931147384054,0.3633861409930444,0.1792210970466572,transfer3,1,456
depablo_mixed_temp,25,20,20,-1.2791492143019942,0.5188492904971953,0.1814265265332104,transfer3,1,456
depablo_mixed_temp,50,20,20,-1.717448388869906,0.4984132823940624,0.1290510646927359,transfer3,1,456
depablo_mixed_temp,75,20,20,-1.704580659849662,0.5580108000118108,0.1721180025747532,transfer3,1,456
depablo_mixed_temp,100,20,20,-2.542786189644992,0.5324318343230121,0.1264354805514444,transfer3,1,456
lj_noisy,10,20,20,-5.021314303384134,0.0898407920076337,0.0021538442446725,transfer3,1,456
lj_noisy,25,20,20,-0.5011512736298858,0.0669729146811743,0.0041168599721615,transfer3,1,456
lj_noisy,50,20,20,0.1177107006530032,0.055279769035949,0.0047651600463273,transfer3,1,456
lj_noisy,75,20,20,0.2602649160116168,0.0494380031439935,0.0050961142073924,transfer3,1,456
lj_noisy,100,20,20,0.3264495532921799,0.0476153993361739,0.0053100823581802,transfer3,1,456
reid,10,20,20,0.7638735737592233,0.0709484693114219,0.0283466184553629,transfer3,1,786
reid,25,20,20,0.9057469890943824,0.0460182170612191,0.0340742914742546,transfer3,1,786
reid,50,20,20,0.958317910542264,0.0296819988384456,0.03674579830514,transfer3,1,786
reid,75,20,20,0.9639021533620148,0.0267844962515557,0.0381454871288846,transfer3,1,786
reid,100,20,20,0.9562911749630292,0.0283620619431702,0.0392619338029476,transfer3,1,786
depablo_low_temp,10,20,20,0.8704444717264276,0.095404403332417,0.0890919672458267,transfer3,1,786
depablo_low_temp,25,20,20,0.9657650002462148,0.0521808207874247,0.1113451632350467,transfer3,1,786
depablo_low_temp,50,20,20,0.9886870930336532,0.0302420455589904,0.121923909291221,transfer3,1,786
depablo_low_temp,75,20,20,0.9913729361266996,0.0249511508768384,0.1271388104990921,transfer3,1,786
depablo_low_temp,100,20,20,0.9916750199151256,0.0261421229366467,0.1309363081666797,transfer3,1,786
depablo_mixed_temp,10,20,20,-0.0620284096750118,0.3633371377516833,0.1792210970466572,transfer3,1,786
depablo_mixed_temp,25,20,20,-1.2771714766925326,0.5191340723161303,0.1814265265332104,transfer3,1,786
depablo_mixed_temp,50,20,20,-1.7471468204717966,0.5012261091892465,0.1290510646927359,transfer3,1,786
depablo_mixed_temp,75,20,20,-1.8578568861725169,0.569208302771427,0.1721180025747532,transfer3,1,786
depablo_mixed_temp,100,20,20,-2.471751772734673,0.52936298808384,0.1264354805514444,transfer3,1,786
lj_noisy,10,20,20,-5.00650099146029,0.0897860984137238,0.0021538442446725,transfer3,1,786
lj_noisy,25,20,20,-0.4859989907764976,0.0670160340503558,0.0041168599721615,transfer3,1,786
lj_noisy,50,20,20,0.1342695643664119,0.0560081943223031,0.0047651600463273,transfer3,1,786
lj_noisy,75,20,20,0.295315325637058,0.0492477366406274,0.0050961142073924,transfer3,1,786
lj_noisy,100,20,20,0.3685196925554724,0.0466999779815629,0.0053100823581802,transfer3,1,786
reid,10,20,20,0.7644389061059484,0.070863242244189,0.0283466184553629,transfer3,8,123
reid,25,20,20,0.907842728557241,0.04541281935254,0.0340742914742546,transfer3,8,123
reid,50,20,20,0.9604738278288508,0.0286447902254958,0.03674579830514,transfer3,8,123
reid,75,20,20,0.963763903563029,0.0274600366936894,0.0381454871288846,transfer3,8,123
reid,100,20,20,0.9551610005590012,0.0303071548178926,0.0392619338029476,transfer3,8,123
depablo_low_temp,10,20,20,0.8707957116785339,0.0952549344601638,0.0890919672458267,transfer3,8,123
depablo_low_temp,25,20,20,0.9667329780960766,0.0512954956696932,0.1113451632350467,transfer3,8,123
depablo_low_temp,50,20,20,0.9900039198341328,0.028196410705579,0.121923909291221,transfer3,8,123
depablo_low_temp,75,20,20,0.9924974004959296,0.0241418623123297,0.1271388104990921,transfer3,8,123
depablo_low_temp,100,20,20,0.992125262927265,0.0256221964407976,0.1309363081666797,transfer3,8,123
depablo_mixed_temp,10,20,20,-0.0634967163435378,0.3636133742942953,0.1792210970466572,transfer3,8,123
depablo_mixed_temp,25,20,20,-1.2855943282052356,0.520939397770091,0.1814265265332104,transfer3,8,123
depablo_mixed_temp,50,20,20,-1.9177503630433272,0.5145369666642916,0.1290510646927359,transfer3,8,123
depablo_mixed_temp,75,20,20,-1.6820004057546325,0.5559877146840587,0.1721180025747532,transfer3,8,123
depablo_mixed_temp,100,20,20,-2.4174911850268948,0.5254852463578528,0.1264354805514444,transfer3,8,123
lj_noisy,10,20,20,-4.998975095508009,0.0897516148424281,0.0021538442446725,transfer3,8,123
lj_noisy,25,20,20,-0.4727196288839232,0.0667550988058719,0.0041168599721615,transfer3,8,123
lj_noisy,50,20,20,0.1492312467909664,0.0556585289232739,0.0047651600463273,transfer3,8,123
lj_noisy,75,20,20,0.3168980904527217,0.0484245117222095,0.0050961142073924,transfer3,8,123
lj_noisy,100,20,20,0.3878374632013769,0.0470053742098889,0.0053100823581802,transfer3,8,123
reid,10,20,20,0.764097982117206,0.0709200658165744,0.0283466184553629,transfer3,8,456
reid,25,20,20,0.9067883272957024,0.0458096219286698,0.0340742914742546,transfer3,8,456
reid,50,20,20,0.9593605634934618,0.0294448396094857,0.03674579830514,transfer3,8,456
reid,75,20,20,0.9630282230090454,0.0284243009544669,0.0381454871288846,transfer3,8,456
reid,100,20,20,0.9558515066357276,0.0309585007776977,0.0392619338029476,transfer3,8,456
depablo_low_temp,10,20,20,0.8705746784681924,0.0953491403448735,0.0890919672458267,transfer3,8,456
depablo_low_temp,25,20,20,0.9662562586858272,0.0518337716952921,0.1113451632350467,transfer3,8,456
depablo_low_temp,50,20,20,0.9892815886805544,0.0292179492935356,0.121923909291221,transfer3,8,456
depablo_low_temp,75,20,20,0.9917487055397718,0.0252569316617174,0.1271388104990921,transfer3,8,456
depablo_low_temp,100,20,20,0.991702994844005,0.026484501162873,0.1309363081666797,transfer3,8,456
depablo_mixed_temp,10,20,20,-0.062553439451753,0.3635024598361377,0.1792210970466572,transfer3,8,456
depablo_mixed_temp,25,20,20,-1.2820913025717315,0.5196648927727774,0.1814265265332104,transfer3,8,456
depablo_mixed_temp,50,20,20,-1.7644071351087989,0.5022525509685167,0.1290510646927359,transfer3,8,456
depablo_mixed_temp,75,20,20,-1.821632580656371,0.5652331531184303,0.1721180025747532,transfer3,8,456
depablo_mixed_temp,100,20,20,-2.54376991345912,0.5310838631606188,0.1264354805514444,transfer3,8,456
lj_noisy,10,20,20,-5.004324119801679,0.0897882479058443,0.0021538442446725,transfer3,8,456
lj_noisy,25,20,20,-0.4818716944023888,0.0670006967664489,0.0041168599721615,transfer3,8,456
lj_noisy,50,20,20,0.1355531137337916,0.0564502491340795,0.0047651600463273,transfer3,8,456
lj_noisy,75,20,20,0.3039486938929916,0.049642353063378,0.0050961142073924,transfer3,8,456
lj_noisy,100,20,20,0.3760144307213879,0.0476592791993776,0.0053100823581802,transfer3,8,456
reid,10,20,20,0.764328244433649,0.0708771697621037,0.0283466184553629,transfer3,8,786
reid,25,20,20,0.9065198569774402,0.0455731214088396,0.0340742914742546,transfer3,8,786
reid,50,20,20,0.9589817194173388,0.0290521362019749,0.03674579830514,transfer3,8,786
reid,75,20,20,0.9629571009440848,0.0265690969252881,0.0381454871288846,transfer3,8,786
reid,100,20,20,0.953289117740856,0.0297446737076076,0.0392619338029476,transfer3,8,786
depablo_low_temp,10,20,20,0.8709018372802356,0.0952170897765335,0.0890919672458267,transfer3,8,786
depablo_low_temp,25,20,20,0.9672011113011716,0.0510723613676169,0.1113451632350467,transfer3,8,786
depablo_low_temp,50,20,20,0.9907479056162972,0.0270771562799393,0.121923909291221,transfer3,8,786
depablo_low_temp,75,20,20,0.9933923595925694,0.0227317371573337,0.1271388104990921,transfer3,8,786
depablo_low_temp,100,20,20,0.991941188994573,0.0258524936961667,0.1309363081666797,transfer3,8,786
depablo_mixed_temp,10,20,20,-0.0644764812113356,0.3636248058449851,0.1792210970466572,transfer3,8,786
depablo_mixed_temp,25,20,20,-1.2732678876012788,0.5185556956963604,0.1814265265332104,transfer3,8,786
depablo_mixed_temp,50,20,20,-1.7963164674859753,0.5046312833937551,0.1290510646927359,transfer3,8,786
depablo_mixed_temp,75,20,20,-1.7014383983068075,0.5563559774892092,0.1721180025747532,transfer3,8,786
depablo_mixed_temp,100,20,20,-2.3066423989579605,0.5171250389045081,0.1264354805514444,transfer3,8,786
lj_noisy,10,20,20,-5.006009389135319,0.0897818697911436,0.0021538442446725,transfer3,8,786
lj_noisy,25,20,20,-0.4822785723172977,0.0669266745835335,0.0041168599721615,transfer3,8,786
lj_noisy,50,20,20,0.1400672372609851,0.0559529357777746,0.0047651600463273,transfer3,8,786
lj_noisy,75,20,20,0.3038273352182929,0.0492349201465998,0.0050961142073924,transfer3,8,786
