epoch,train_objective,val_objective,train_mse_norm,train_source_reid_reconstruction,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.4609683699409167,0.3352278486353656,0.48194897997379305,0.35264888584117093,0.4655424851924181,0.5647137395938238,0.4609683702091376,0.5647137395938238,0.3338624540604651,0.2816853619478643,0.3354861688092351,0.3885120151489973,0.33522784863536553,0.3885120151489973,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
2,0.25887305319309234,0.23933980208511155,0.2721357256968816,0.21943395726382733,0.18055685120821,0.3766283518274625,0.25887305343316663,0.3766283518274625,0.2382980769338707,0.2203381296172738,0.1330974137671292,0.36458386287093164,0.23933980208511155,0.36458386287093164,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
3,0.20468339945872624,0.23056898146681487,0.2259682505428791,0.15768425859883428,0.09832411951571703,0.35804182042678195,0.20468339951377776,0.35804182042678195,0.22961942207813263,0.2085430673584342,0.12193738690204918,0.3612264901399612,0.2305689814668149,0.3612264901399612,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
4,0.19880429567893346,0.23029600303868453,0.22070807540416718,0.15005462444697817,0.09332221467296282,0.35303604794541993,0.19880429568845362,0.35303604794541993,0.2293651182608058,0.20525352595373988,0.12563948256894947,0.35999500059336426,0.23029600303868455,0.35999500059336426,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
5,0.19610846119125683,0.22914361928372334,0.2176443193157514,0.14756438726683457,0.09117821776370208,0.34958277697364487,0.1961084606680605,0.34958277697364487,0.22820753199669222,0.2099303317843005,0.12057527820020914,0.35692524786666036,0.22914361928372332,0.35692524786666036,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
6,0.19384784379601477,0.22770934330734113,0.21539207655191422,0.14591477945943673,0.08959694658468167,0.3460318059325218,0.19384784399221341,0.3460318059325218,0.2267798530968527,0.20571064857766033,0.12223907510377467,0.35517830624058844,0.22770934330734116,0.35517830624058844,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
7,0.19215392968058587,0.22563948335622747,0.21365689645210903,0.14449372738599778,0.08809727026894688,0.34387079204122223,0.1921539298987223,0.34387079204122223,0.22468687256487707,0.20544693976826967,0.11790945055522024,0.3535620597451925,0.2256394833562275,0.3535620597451925,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
8,0.19099048098921775,0.2266322436730067,0.21271370364228884,0.1434657327433427,0.08689738731334606,0.3426083235939344,0.19099048121687437,0.3426083235939344,0.2257011759088685,0.20416846959479154,0.12031322973035276,0.3554150316938758,0.2266322436730067,0.3554150316938758,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
9,0.1899550541539987,0.22457790697614352,0.2116154903670152,0.14241239604478081,0.08609602500498295,0.34135674145817757,0.1899550541693138,0.34135674145817757,0.22357744604845842,0.20218767756037415,0.11760617019794882,0.3539398731701076,0.22457790697614355,0.3539398731701076,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
10,0.18910580917199452,0.22650975137203933,0.2108175289829572,0.14163678048178555,0.08534711599722504,0.34033353211482364,0.18910580953127806,0.34033353211482364,0.22553241150205333,0.20403013930842281,0.11996751534193754,0.35553159946575763,0.22650975137203933,0.35553159946575763,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
11,0.18846057769656183,0.22634745184518396,0.21026693767309187,0.14101739797368645,0.0846307263970375,0.3397336096962293,0.18846057802231775,0.3397336096962293,0.22541791235345104,0.20868890152685343,0.11516949680447579,0.3551839572042227,0.22634745184518398,0.3551839572042227,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
12,0.18727724385261535,0.2250080195106566,0.20913937456409137,0.13989454951137303,0.0834228068254888,0.33851437507073084,0.18727724380253088,0.33851437507073084,0.2240585850023975,0.20457104898430406,0.11584059864096344,0.35461241090670226,0.2250080195106566,0.35461241090670226,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
13,0.18607580895225206,0.2246109814134737,0.20800823190808296,0.13870507676899432,0.08248528548330068,0.3370370650788148,0.18607580911036994,0.3370370650788148,0.2236113706311832,0.20477120345644653,0.11562696597725153,0.353434774806723,0.22461098141347366,0.353434774806723,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
14,0.18447892116506895,0.2252667423716436,0.206243963966767,0.13740737034752964,0.08095127431179086,0.33507811957597733,0.18447892141176594,0.33507811957597733,0.22423226321054002,0.20460144642554223,0.11844909464940429,0.35274968603998424,0.2252667423716436,0.35274968603998424,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
15,0.18203355220953624,0.2254100122191012,0.20371127731601396,0.13573200997710227,0.078220295916001,0.33214835103352863,0.1820335523088773,0.33214835103352863,0.2243770406556626,0.20755357529968024,0.11637272623926401,0.35230373511835933,0.22541001221910117,0.35230373511835933,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
16,0.18025714112321536,0.22173880466260015,0.20166063502430917,0.13452180719127257,0.07650549706382057,0.3297441197534402,0.1802571413361778,0.3297441197534402,0.22070238400250675,0.20214680846594274,0.11027856342121958,0.35279104210063816,0.22173880466260018,0.35279104210063816,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
17,0.17909317936499913,0.22599762571851412,0.2006245424846808,0.1334796461823086,0.07565917325392366,0.32814071953296664,0.17909317965639962,0.32814071953296664,0.22478048929261665,0.20084569093957544,0.11811635025776923,0.35903083595819774,0.22599762571851412,0.35903083595819774,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
18,0.1782392020970583,0.22376899913419038,0.1998466631670793,0.13258732829988001,0.07530559391404192,0.32682468354701993,0.17823920192031395,0.32682468354701993,0.22263507640889535,0.200499067151919,0.11358566956873983,0.3572222606819123,0.22376899913419038,0.3572222606819123,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
19,0.17713754305243493,0.22815502596863857,0.19891908560196558,0.13149761660459142,0.07444573361674944,0.3254692800144354,0.17713754341192542,0.3254692800144354,0.22705791940105458,0.2090471397507936,0.11881950787920505,0.35659843027591703,0.22815502596863854,0.35659843027591703,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
20,0.176241248468558,0.231929414696681,0.19798300168911617,0.13054069972597063,0.07420146185035507,0.32398158437013624,0.17624124864882063,0.32398158437013624,0.23075801906983057,0.2124728803411126,0.12231617687176913,0.36099918687716126,0.23192941469668102,0.36099918687716126,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
21,0.17515560936927796,0.22748273451905698,0.1969566349387169,0.12931533495647213,0.07351896402115624,0.32263252963622413,0.1751556095379508,0.32263252963622413,0.22642743182058137,0.20462523094192148,0.11598966126982123,0.36183331134542823,0.22748273451905698,0.36183331134542823,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
22,0.1739927232861519,0.229807035850361,0.19599514565865198,0.12795756582791606,0.07304104876269897,0.32097955437501274,0.1739927229885426,0.32097955437501274,0.22864591727840403,0.20798091426119208,0.11585960613749921,0.36558058715239167,0.229807035850361,0.36558058715239167,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
23,0.17241637182235717,0.2309589338451624,0.19452142092585564,0.12591938570514322,0.07220680278539658,0.31912292646368345,0.17241637165140775,0.31912292646368345,0.22985288754043479,0.20941442038305103,0.11481166410259902,0.3686507170498371,0.2309589338451624,0.3686507170498371,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
24,0.17117985101540883,0.22648340772061298,0.19337926537791889,0.1241841927493612,0.07177414272725582,0.31758121789495153,0.17117985112385617,0.31758121789495153,0.22525088399928064,0.19995199642702938,0.11204958047252149,0.36744864626228807,0.22648340772061296,0.36744864626228807,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
25,0.170059902826945,0.23266422504124543,0.19225844674309095,0.12271127416255573,0.07141424977282683,0.3160541833539804,0.17005990242978766,0.3160541833539804,0.23163732313706228,0.21471125447656958,0.11685659541096538,0.3664248252362013,0.2326642250412454,0.3664248252362013,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
26,0.1687117048005263,0.2292733905001854,0.1910827968021234,0.12085073439031839,0.07071427801686028,0.31457010066509244,0.1687117043574237,0.31457010066509244,0.22819454626366495,0.20557795542944224,0.11184273059852422,0.3703994854725897,0.2292733905001854,0.3703994854725897,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
27,0.16762998628616332,0.232398816584299,0.19003305063645046,0.11943967358892163,0.07029218082750836,0.3131581058204174,0.1676299867456158,0.3131581058204174,0.2313345573854943,0.2137063395222649,0.11392907874193042,0.3695610314887017,0.23239881658429898,0.3695610314887017,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
