split,source,sim_idx,frame,z0,z1,z2,z3,z4,z5,z6,z7
train,reid,0,0,1.5452219247817993,-1.7646229267120361,0.8018738627433777,1.7515345811843872,-1.2069392204284668,0.995746910572052,-1.4349644184112549,1.2975341081619263
train,reid,0,10,1.7514302730560303,-2.019496202468872,0.9005707502365112,2.131333589553833,-1.5519828796386719,0.9058171510696411,-1.5998221635818481,1.3792917728424072
train,reid,0,20,2.0015716552734375,-2.3081586360931396,1.006831407546997,2.5391318798065186,-1.9024415016174316,0.827904999256134,-1.7821872234344482,1.4701862335205078
train,reid,0,30,2.2541568279266357,-2.6075360774993896,1.123507022857666,2.959399461746216,-2.2714171409606934,0.7566961050033569,-1.9789289236068726,1.5837066173553467
train,reid,0,40,2.505511999130249,-2.9157185554504395,1.2511132955551147,3.3905699253082275,-2.6600048542022705,0.6922422647476196,-2.190145492553711,1.721952199935913
train,reid,0,50,2.7548885345458984,-3.232386350631714,1.3898344039916992,3.832400321960449,-3.0685558319091797,0.6345748901367188,-2.4159717559814453,1.8855597972869873
train,reid,0,60,3.0019054412841797,-3.557410478591919,1.5398215055465698,4.2847676277160645,-3.497267246246338,0.5838046669960022,-2.656564712524414,2.075040578842163
train,reid,0,70,3.2468578815460205,-3.890928268432617,1.7010724544525146,4.747567653656006,-3.9458107948303223,0.540184497833252,-2.9119858741760254,2.29048752784729
train,reid,0,80,3.4903764724731445,-4.233158588409424,1.8734718561172485,5.220691680908203,-4.413552284240723,0.5040022134780884,-3.1821937561035156,2.531712532043457
train,reid,0,90,3.732720375061035,-4.5838422775268555,2.0566813945770264,5.703354835510254,-4.899216651916504,0.4756421446800232,-3.466794967651367,2.798241138458252
train,reid,0,100,3.9748125076293945,-4.943333148956299,2.2505288124084473,6.1954731941223145,-5.401941776275635,0.45547252893447876,-3.7657430171966553,3.08974289894104
train,reid,1,0,1.4291895627975464,-1.4186904430389404,0.5454139113426208,1.1441501379013062,-0.44384902715682983,1.0325443744659424,-1.0759648084640503,0.9005831480026245
train,reid,1,10,1.6868126392364502,-1.699488639831543,0.6389833092689514,1.530576229095459,-0.7570054531097412,0.9630125761032104,-1.2455140352249146,0.9688777327537537
train,reid,1,20,1.9734680652618408,-2.0095112323760986,0.74509596824646,1.9411394596099854,-1.0830360651016235,0.9097613096237183,-1.4384697675704956,1.0626285076141357
train,reid,1,30,2.254815101623535,-2.3294408321380615,0.8656662702560425,2.364776849746704,-1.4349150657653809,0.865251898765564,-1.650972604751587,1.1904494762420654
train,reid,1,40,2.527094602584839,-2.6563663482666016,1.0003026723861694,2.7985167503356934,-1.8117164373397827,0.829317033290863,-1.8817520141601562,1.3525549173355103
train,reid,1,50,2.788599967956543,-2.9879579544067383,1.1479246616363525,3.239215850830078,-2.2105014324188232,0.8021062612533569,-2.1289634704589844,1.5474499464035034
train,reid,1,60,3.037973642349243,-3.322007894515991,1.3073086738586426,3.683849334716797,-2.628150463104248,0.7836462259292603,-2.3906407356262207,1.7731927633285522
