epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_depablo_mixed_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_depablo_low_temp_reconstruction,val_source_reid_reconstruction,val_source_depablo_mixed_temp_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.6260830834246518,1.1702241110174278,0.6431133603840543,0.21936835984791248,1.2178349785637437,0.4393339356309489,0.6255124246808684,1.2178349785637437,1.3479135458406648,0.5904475579528432,0.3512195911454527,2.5690051837971337,1.1702241109651432,2.5690051837971337,shared3,2,normalized_delta,128
2,0.4191251730709745,1.3051141647916091,0.444261206974063,0.13196325593326294,0.9817096553350749,0.14222547283820938,0.4186327947021824,0.9817096553350749,1.4927303185588434,0.5511017379007841,0.5541710019895905,2.810069745465329,1.3051141617852344,2.810069745465329,shared3,2,normalized_delta,128
3,0.35602098577900937,1.3739646306163387,0.3818172632602223,0.143191442995424,0.8504599824286344,0.07339300942002681,0.35568147828136176,0.8504599824286344,1.5760175157534448,0.5081313577921767,0.5705560030121553,3.043206525790064,1.3739646288647986,3.043206525790064,shared3,2,normalized_delta,128
4,0.31464303449580544,1.3688609367922733,0.3389315083361509,0.12785138311782773,0.7670164045534635,0.04818866520205088,0.31435215095778074,0.7670164045534635,1.5608761712124473,0.483928386239629,0.6105686507726971,3.012085778148551,1.368860938386959,3.012085778148551,shared3,2,normalized_delta,128
5,0.27017779172512524,1.5210826616538198,0.291178992076924,0.0723459434459432,0.6972350729139227,0.039906761239756616,0.26982925919987416,0.6972350729139227,1.7410386377259304,0.45076182123861813,0.6686189518947351,3.4438672021815653,1.5210826584383061,3.4438672021815653,shared3,2,normalized_delta,128
6,0.24736300173558687,1.6085715074288218,0.26659430145171653,0.05359078994886556,0.651850614422246,0.03569294904407702,0.24704478447172953,0.651850614422246,1.8466085145347997,0.4729474837058469,0.6708406499341915,3.6819264038612967,1.6085715125004452,3.6819264038612967,shared3,2,normalized_delta,128
7,0.23413283762178924,1.5915630509978846,0.25252155379245156,0.04672756564186912,0.6227219420566893,0.03191177866568691,0.23378709545474843,0.6227219420566893,1.8265938755713012,0.49812981329466166,0.6562577744063578,3.620301587016959,1.591563058239326,3.620301587016959,shared3,2,normalized_delta,128
8,0.22382867921862687,1.6300439012678045,0.2416534590093713,0.04202703307841865,0.6013126571973165,0.02739232707311187,0.22357733911628233,0.6013126571973165,1.863427112918151,0.5400339934386705,0.7039825514743202,3.646115161870655,1.6300439022612154,3.646115161870655,shared3,2,normalized_delta,128
9,0.21624401143768376,1.5544199316125167,0.23355648449638433,0.03763957763038261,0.5848164319992065,0.02529546698849452,0.21591715887269455,0.5848164319992065,1.7677242784123672,0.5895102833446704,0.678259803746876,3.395489742253956,1.5544199431151675,3.395489742253956,shared3,2,normalized_delta,128
