epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_lj_noisy_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_reid_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.5715378806256411,0.4793030439238799,0.5785367964652547,0.6201726236761036,0.6687345532994521,0.4266749923950747,0.5718607231235434,0.6687345532994521,0.49111772250188024,0.40431259294089517,0.7032083286266578,0.3303882133019598,0.4793030449565043,0.7032083286266578,shared_no_mixed,6,normalized_delta,128
2,0.3698305499135402,0.42652762579290493,0.3799793902196382,0.4487823470377586,0.37062384509726576,0.29054135857966906,0.3699825169048978,0.4487823470377586,0.4277455241272324,0.3793223575149712,0.5700410833484248,0.33021943286845556,0.4265276245772838,0.5700410833484248,shared_no_mixed,6,normalized_delta,128
3,0.3354917813288538,0.3773687197189582,0.33927934703074003,0.37626711210944286,0.3548824574602278,0.27540048352981866,0.33551668436649645,0.37626711210944286,0.36712676929800137,0.37070442477339194,0.4227048370398973,0.33869689883370147,0.37736872021566353,0.4227048370398973,shared_no_mixed,6,normalized_delta,128
4,0.26357278408188567,0.2742824345042831,0.252692530944682,0.205784699000733,0.3490472691885212,0.2327101086184644,0.26251402560257286,0.3490472691885212,0.25787032458343007,0.36897403225302694,0.19744108034984062,0.2564321905962731,0.27428243439971356,0.36897403225302694,shared_no_mixed,6,normalized_delta,128
5,0.21514820921839328,0.256598819007999,0.20245747745298504,0.1400958585592223,0.33192380342567174,0.17374156204035932,0.21525374134175113,0.33192380342567174,0.2398938626050949,0.3628352710290959,0.17226810492575167,0.23469308430427,0.2565988200863725,0.3628352710290959,shared_no_mixed,6,normalized_delta,128
6,0.20810365841576928,0.25179493948817255,0.19519323191621848,0.12932997970828708,0.32801383882761004,0.16622274422920064,0.20785552092169923,0.32801383882761004,0.23345030922638743,0.3601370012681735,0.1599538034318309,0.2352940139017607,0.2517949395339217,0.3601370012681735,shared_no_mixed,6,normalized_delta,128
7,0.20306617492123655,0.250477616920283,0.1906666297400207,0.12551994805394764,0.32241048148849555,0.16049215151813992,0.20280752702019436,0.32241048148849555,0.23141102959450924,0.3622829324320743,0.15762974014015574,0.23152017758080834,0.2504776167176795,0.3622829324320743,shared_no_mixed,6,normalized_delta,128
8,0.19929363756326207,0.24565162572421526,0.18665367119144974,0.12299122147157159,0.31901369527014983,0.15590521341614555,0.199303376719289,0.31901369527014983,0.22755708749357023,0.3610313900599354,0.15193693694707594,0.22398655098911963,0.24565162599871035,0.3610313900599354,shared_no_mixed,6,normalized_delta,128
9,0.19620809782492488,0.24400919593478504,0.18323304917205843,0.1207826771235592,0.31635940474899193,0.15137259819005666,0.19617156002086925,0.31635940474899193,0.2265586544024317,0.36612204172109303,0.15269931396959643,0.21320623150585513,0.24400919573218152,0.36612204172109303,shared_no_mixed,6,normalized_delta,128
10,0.19252773833771547,0.24798099296657664,0.17990767107459538,0.11829186402733477,0.3134665156404177,0.14616722929487494,0.19264186965420915,0.3134665156404177,0.22922334816110762,0.37140200373373533,0.1503192000091076,0.22222177694110493,0.24798099356131595,0.37140200373373533,shared_no_mixed,6,normalized_delta,128
11,0.18919013453680172,0.24318365548786364,0.17690794894046952,0.116538010157225,0.3106140906612078,0.14031260426630054,0.18915490169491112,0.3106140906612078,0.22531357031119498,0.3663603101121752,0.14884491338345565,0.2143457409288538,0.24318365480816154,0.3663603101121752,shared_no_mixed,6,normalized_delta,128
12,0.18600690827557914,0.24784080233228833,0.17411059776419088,0.11536220962863783,0.3076931114782367,0.13498645382361454,0.18601392497682967,0.3076931114782367,0.23008179958713681,0.3784932856497012,0.15084543184034135,0.21418368881078143,0.24784080210027468,0.3784932856497012,shared_no_mixed,6,normalized_delta,128
13,0.1839961157033318,0.25361521416588834,0.1723806359004556,0.11282665121146071,0.3055690643295907,0.1327944775781872,0.1837300643730795,0.3055690643295907,0.23370447307825087,0.3856905051752141,0.14866837680731948,0.2264867532017984,0.2536152117281107,0.3856905051752141,shared_no_mixed,6,normalized_delta,128
14,0.18188883884434115,0.25004154353549607,0.17025209351589804,0.11052524383691414,0.30294637272232455,0.1315134749012558,0.1816616971534982,0.30294637272232455,0.23112826802228625,0.3813984034877074,0.14615174887799903,0.22257448073084418,0.2500415443655169,0.3813984034877074,shared_no_mixed,6,normalized_delta,128
