epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.6860504485368729,0.5760801197886467,0.7012779227495194,0.7508783324956894,0.6212225651741028,0.6860504488348961,0.7508783324956894,0.5742739963606,0.4500379054248333,0.7021223341524601,0.5760801197886467,0.7021223341524601,Reid + low-T 2D AE,4,normalized_delta,96
2,0.41777461957931517,0.4218212459869683,0.40264283072948454,0.38284553968906404,0.4527036982774735,0.41777461898326873,0.4527036982774735,0.42095654547959566,0.44040746249258517,0.40323502948135137,0.42182124598696824,0.44040746249258517,Reid + low-T 2D AE,4,normalized_delta,96
3,0.3429773798584938,0.3383932804297656,0.3206064340472221,0.290588917940855,0.39536584335565567,0.34297738064825534,0.39536584335565567,0.33773162483982744,0.35911672469601036,0.3176698361635208,0.3383932804297656,0.35911672469601036,Reid + low-T 2D AE,4,normalized_delta,96
4,0.2554350350499153,0.24023545669484883,0.2318829832971096,0.18834171986579895,0.3225283505022526,0.25543503518402577,0.3225283505022526,0.24026195460930466,0.31528499424271283,0.16518591914698483,0.24023545669484883,0.31528499424271283,Reid + low-T 2D AE,4,normalized_delta,96
5,0.19439940321445465,0.21537133321166038,0.17426201611757278,0.13270961305499077,0.25608919391036034,0.19439940348267554,0.25608919391036034,0.21570169809740036,0.2841905866377056,0.1465520797856152,0.2153713332116604,0.2841905866377056,Reid + low-T 2D AE,4,normalized_delta,96
6,0.18122129598259926,0.20439172976650297,0.1618199967443943,0.12199185246229172,0.24045073856413365,0.1812212955132127,0.24045073856413365,0.2047203192859888,0.2709827209096402,0.13780073862336575,0.204391729766503,0.2709827209096402,Reid + low-T 2D AE,4,normalized_delta,96
7,0.17434702879190445,0.2108886875337921,0.15530953612923623,0.11619706436991692,0.2324969928264618,0.17434702859818935,0.2324969928264618,0.21133692992012948,0.28196320414263754,0.13981417092494666,0.21088868753379209,0.28196320414263754,Reid + low-T 2D AE,4,normalized_delta,96
8,0.17006350645422935,0.21299373747222125,0.15167085692286492,0.11324968048930169,0.226877332046628,0.17006350626796485,0.226877332046628,0.21319502119906247,0.2861743572540581,0.13981311769038438,0.21299373747222122,0.2861743572540581,Reid + low-T 2D AE,4,normalized_delta,96
9,0.16680814754962922,0.21205277919769286,0.14876931309700012,0.11099391956627369,0.22262237524986267,0.16680814740806818,0.22262237524986267,0.21229672644939274,0.2850404632911086,0.13906509510427714,0.2120527791976929,0.2850404632911086,Reid + low-T 2D AE,4,normalized_delta,96
10,0.16491268637776374,0.21508068653242662,0.14725128826498984,0.10982681123912334,0.2199985627233982,0.16491268698126077,0.2199985627233982,0.21529239647602663,0.2889438030505553,0.14121757001429797,0.21508068653242662,0.2889438030505553,Reid + low-T 2D AE,4,normalized_delta,96
11,0.16270461332798003,0.22351367529388516,0.14502922838926316,0.10813304951786995,0.21727617651224138,0.16270461301505568,0.21727617651224138,0.2237632697923109,0.3043333083204925,0.14269404226727783,0.22351367529388516,0.3043333083204925,Reid + low-T 2D AE,4,normalized_delta,96
12,0.16063486970961094,0.2105514426752925,0.14390199217200278,0.10712811195850372,0.2141416279822588,0.16063486997038126,0.2141416279822588,0.21081600510515272,0.28305889390408995,0.13804399144649507,0.21055144267529252,0.28305889390408995,Reid + low-T 2D AE,4,normalized_delta,96
13,0.15752991735935212,0.21827908200444654,0.14135758647322655,0.10586607314646244,0.20919376112520693,0.1575299171358347,0.20919376112520693,0.21841860242607072,0.2953725615581498,0.14118560245074332,0.21827908200444657,0.2953725615581498,Reid + low-T 2D AE,4,normalized_delta,96
14,0.15515351521968843,0.213098549913615,0.13954755680263042,0.10515017859637737,0.20515685127675534,0.15515351493656637,0.20515685127675534,0.21316856033261866,0.28572918896190824,0.14046791086532176,0.213098549913615,0.28572918896190824,Reid + low-T 2D AE,4,normalized_delta,96
