comparison,source,latent_dim,reference_dim,mean_percent,paired_mean,paired_sd,improved_seeds,seeds
reference_vs_96,depablo_low_temp,2,16,15.239157139067094,2.114719871997296e-06,2.8973019238152507e-06,2,5
reference_vs_96,depablo_low_temp,2,8,16.274562242874136,2.2584018176985413e-06,2.1710910811243906e-06,1,5
reference_vs_96,depablo_low_temp,4,16,-0.13724085778668016,-1.8817731870514163e-08,1.2126374238055277e-06,2,5
reference_vs_96,depablo_low_temp,4,8,0.8696783439883671,1.1924563978027306e-07,1.1235508663943288e-06,2,5
reference_vs_96,depablo_mixed_temp,2,16,5.7019477190334955,1.8108373478753494e-06,1.8425637515430977e-06,0,5
reference_vs_96,depablo_mixed_temp,2,8,6.4494009357109805,2.048215217200778e-06,2.2403723932652686e-06,1,5
reference_vs_96,depablo_mixed_temp,4,16,-0.035222246220856235,-1.1155323136333498e-08,8.504028922565475e-07,3,5
reference_vs_96,depablo_mixed_temp,4,8,1.8767313297360255,5.943841370026338e-07,1.027517019559711e-06,2,5
reference_vs_96,reid,2,16,0.9036559762466645,3.0246056667237953e-07,1.4438613930079497e-06,3,5
reference_vs_96,reid,2,8,2.3913291012509275,8.003961397662352e-07,2.7636353056794587e-06,2,5
reference_vs_96,reid,4,16,2.5539524196229957,8.360576316590596e-07,1.1872228542851159e-06,2,5
reference_vs_96,reid,4,8,0.47763002976461966,1.5635617501175174e-07,1.5111018471823842e-06,2,5
remove_graph_context,depablo_low_temp,2,8,60.955291703876455,9.835309390382464e-06,4.274508436388912e-06,0,5
remove_graph_context,depablo_low_temp,2,16,63.78623716777538,1.0200441172401043e-05,8.314253215360372e-06,0,5
remove_graph_context,depablo_low_temp,2,96,88.59437022173762,1.2294136319042083e-05,4.073842300618935e-06,0,5
remove_graph_context,depablo_low_temp,4,8,83.84428167369877,1.159625979653356e-05,1.2603887523409575e-06,0,5
remove_graph_context,depablo_low_temp,4,16,70.76929600214343,9.690189915545489e-06,1.5885011966859965e-06,0,5
remove_graph_context,depablo_low_temp,4,96,101.8121615892686,1.39599386716327e-05,7.904723718453084e-06,0,5
remove_graph_context,depablo_mixed_temp,2,8,48.67730563029839,1.6456063901841842e-05,6.093823465965413e-06,0,5
remove_graph_context,depablo_mixed_temp,2,16,49.87407683047025,1.6742259613238273e-05,1.047467886248713e-05,0,5
remove_graph_context,depablo_mixed_temp,2,96,63.81135784602883,2.0265354173716335e-05,5.002876306105974e-06,0,5
remove_graph_context,depablo_mixed_temp,4,8,54.58935649288179,1.7613598138268572e-05,1.7911513159506803e-06,0,5
remove_graph_context,depablo_mixed_temp,4,16,45.8112050448257,1.4503867612347677e-05,3.2273815828231696e-06,0,5
remove_graph_context,depablo_mixed_temp,4,96,70.1045427369209,2.2202979976100324e-05,1.360782998280672e-05,0,5
remove_graph_context,reid,2,8,37.813567224474866,1.2959148491518136e-05,3.3343189826371492e-06,0,5
remove_graph_context,reid,2,16,42.65985867635686,1.4407610224225211e-05,1.466831612198188e-06,0,5
remove_graph_context,reid,2,96,53.13765436359261,1.7785579327664894e-05,5.096307099690823e-06,0,5
remove_graph_context,reid,4,8,40.11036857119032,1.3193178822348275e-05,3.1935561858635204e-06,0,5
remove_graph_context,reid,4,16,36.53158896900197,1.2264345562016386e-05,2.4505416869819377e-06,0,5
remove_graph_context,reid,4,96,63.25112890007312,2.070578473649221e-05,6.0952690028194755e-06,0,5
