source,coordinate,n,pearson,spearman
depablo_low_temp,z0_0,20,0.4551166240799693,0.2781954887218045
depablo_low_temp,z0_1,20,-0.7467906039604351,-0.6421052631578947
depablo_low_temp,pc1,20,0.44867486735959666,0.26165413533834586
depablo_mixed_temp,z0_0,20,0.380748518021235,0.26165413533834586
depablo_mixed_temp,z0_1,20,-0.6760877035884728,-0.7097744360902255
depablo_mixed_temp,pc1,20,0.3744322202642932,0.26165413533834586
lj_noisy,z0_0,20,-0.2111986071867062,-0.25864661654135335
lj_noisy,z0_1,20,0.323841173784608,0.3654135338345864
lj_noisy,pc1,20,-0.20889121763403456,-0.25864661654135335
reid,z0_0,20,-0.8374933746009412,-0.8300751879699247
reid,z0_1,20,0.6908072538779222,0.7007518796992479
reid,pc1,20,-0.8388033511702826,-0.8300751879699247
