epoch,train_objective,val_objective,train_mse_norm,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.8751560843304584,0.691895951051265,0.867735196767669,0.8751560843304584,0.8751560843304584,0.8751560843304584,0.6894792202510871,0.691895951051265,0.691895951051265,0.691895951051265,reid,4,normalized_delta,128
2,0.6290277557153451,0.6199448379047681,0.6221773023668088,0.6290277557153451,0.6290277557153451,0.6290277557153451,0.6168891267443541,0.6199448379047681,0.6199448379047681,0.6199448379047681,reid,4,normalized_delta,128
3,0.5932111906770029,0.6194661240442656,0.5861165022379473,0.5932111906770029,0.5932111906770029,0.5932111906770029,0.6166279303142801,0.6194661240442656,0.6194661240442656,0.6194661240442656,reid,4,normalized_delta,128
4,0.5803107463999798,0.6263138698996045,0.5731939642052901,0.5803107463999798,0.5803107463999798,0.5803107463999798,0.6237009488395415,0.6263138698996045,0.6263138698996045,0.6263138698996045,reid,4,normalized_delta,128
5,0.5767053351590508,0.629856249448494,0.569592843832154,0.5767053351590508,0.5767053351590508,0.5767053351590508,0.6273287681106012,0.629856249448494,0.629856249448494,0.629856249448494,reid,4,normalized_delta,128
6,0.5747221180286847,0.6288483676034957,0.5676183585077524,0.5747221180286847,0.5747221180286847,0.5747221180286847,0.6263647195883095,0.6288483676034957,0.6288483676034957,0.6288483676034957,reid,4,normalized_delta,128
7,0.5719035718982157,0.6263282818108564,0.564799751341343,0.5719035718982157,0.5719035718982157,0.5719035718982157,0.6238829712528968,0.6263282818108564,0.6263282818108564,0.6263282818108564,reid,4,normalized_delta,128
8,0.5681168407986038,0.6227569411275908,0.5610016482048913,0.5681168407986038,0.5681168407986038,0.5681168407986038,0.620368810268701,0.6227569411275908,0.6227569411275908,0.6227569411275908,reid,4,normalized_delta,128
9,0.5620405518890996,0.6176150977698853,0.5548560922867374,0.5620405518890996,0.5620405518890996,0.5620405518890996,0.6153784711059416,0.6176150977698853,0.6176150977698853,0.6176150977698853,reid,4,normalized_delta,128
10,0.5475381116333761,0.608322431682609,0.5402369215496277,0.5475381116333761,0.5475381116333761,0.5475381116333761,0.6064312561939005,0.608322431682609,0.608322431682609,0.608322431682609,reid,4,normalized_delta,128
11,0.5109877724396555,0.573147093760781,0.5046783514712986,0.5109877724396555,0.5109877724396555,0.5109877724396555,0.5711650668672519,0.573147093760781,0.573147093760781,0.573147093760781,reid,4,normalized_delta,128
12,0.47540215340099834,0.5549802975147031,0.4701649890526345,0.47540215340099834,0.47540215340099834,0.47540215340099834,0.5531423936190549,0.5549802975147031,0.5549802975147031,0.5549802975147031,reid,4,normalized_delta,128
13,0.45148636055620095,0.5425977473205421,0.4468510638726385,0.45148636055620095,0.45148636055620095,0.45148636055620095,0.5409923830302432,0.5425977473205421,0.5425977473205421,0.5425977473205421,reid,4,normalized_delta,128
14,0.4346176997415329,0.5313681741827168,0.4303514259818353,0.4346176997415329,0.4346176997415329,0.4346176997415329,0.5299266719375737,0.5313681741827168,0.5313681741827168,0.5313681741827168,reid,4,normalized_delta,128
15,0.42033412554546407,0.5194819542230107,0.4163011634820386,0.42033412554546407,0.42033412554546407,0.42033412554546407,0.5181618186761625,0.5194819542230107,0.5194819542230107,0.5194819542230107,reid,4,normalized_delta,128
16,0.40287332432834727,0.5010376277205069,0.3991120957034199,0.40287332432834727,0.40287332432834727,0.40287332432834727,0.49989200590061955,0.5010376277205069,0.5010376277205069,0.5010376277205069,reid,4,normalized_delta,128
17,0.37674475476930014,0.4751584202167578,0.37345841995587475,0.37674475476930014,0.37674475476930014,0.37674475476930014,0.4745563102187589,0.4751584202167578,0.4751584202167578,0.4751584202167578,reid,4,normalized_delta,128
18,0.3633135492080136,0.43283817803603597,0.3604091855648317,0.3633135492080136,0.3633135492080136,0.3633135492080136,0.4323488970112521,0.43283817803603597,0.43283817803603597,0.43283817803603597,reid,4,normalized_delta,128
19,0.3368498346131099,0.4084634377504699,0.3337513184861133,0.3368498346131099,0.3368498346131099,0.3368498346131099,0.4083523956214776,0.4084634377504699,0.4084634377504699,0.4084634377504699,reid,4,normalized_delta,128
20,0.3113200598053242,0.38476268203521613,0.3077527274818797,0.3113200598053242,0.3113200598053242,0.3113200598053242,0.3844508040638175,0.38476268203521613,0.38476268203521613,0.38476268203521613,reid,4,normalized_delta,128
21,0.2896539611055663,0.37349691972485743,0.28595605425928766,0.2896539611055663,0.2896539611055663,0.2896539611055663,0.3730811624409398,0.37349691972485743,0.37349691972485743,0.37349691972485743,reid,4,normalized_delta,128
22,0.27646333937974354,0.36884702526731417,0.2727407560340668,0.27646333937974354,0.27646333937974354,0.27646333937974354,0.3683587168343365,0.36884702526731417,0.36884702526731417,0.36884702526731417,reid,4,normalized_delta,128
23,0.266172522424083,0.36717289077932946,0.2624776255535452,0.266172522424083,0.266172522424083,0.266172522424083,0.36661577614722773,0.36717289077932946,0.36717289077932946,0.36717289077932946,reid,4,normalized_delta,128
24,0.2584443319981035,0.3667284657130949,0.2547817874895899,0.2584443319981035,0.2584443319981035,0.2584443319981035,0.36612475928268395,0.3667284657130949,0.3667284657130949,0.3667284657130949,reid,4,normalized_delta,128
25,0.25272640936860913,0.365416273009032,0.24909144300771388,0.25272640936860913,0.25272640936860913,0.25272640936860913,0.36479665561637376,0.365416273009032,0.365416273009032,0.365416273009032,reid,4,normalized_delta,128
26,0.24964911490678787,0.3640494678693358,0.24603540498371188,0.24964911490678787,0.24964911490678787,0.24964911490678787,0.3634255666984245,0.3640494678693358,0.3640494678693358,0.3640494678693358,reid,4,normalized_delta,128
27,0.2469635185050337,0.3634795461257454,0.24337711497945222,0.2469635185050337,0.2469635185050337,0.2469635185050337,0.36285622938885354,0.3634795461257454,0.3634795461257454,0.3634795461257454,reid,4,normalized_delta,128
28,0.24478493315216743,0.3625631801551208,0.2412198512667888,0.24478493315216743,0.24478493315216743,0.24478493315216743,0.3619344495527912,0.3625631801551208,0.3625631801551208,0.3625631801551208,reid,4,normalized_delta,128
29,0.2426937800292906,0.3621827226743335,0.23915433193507948,0.2426937800292906,0.2426937800292906,0.2426937800292906,0.3615494739788119,0.3621827226743335,0.3621827226743335,0.3621827226743335,reid,4,normalized_delta,128
30,0.24094506408038893,0.36167628758994397,0.23742600668613847,0.24094506408038893,0.24094506408038893,0.24094506408038893,0.3610273311060155,0.36167628758994397,0.36167628758994397,0.36167628758994397,reid,4,normalized_delta,128
31,0.23928484454947083,0.36142635832948145,0.23578647085906643,0.23928484454947083,0.23928484454947083,0.23928484454947083,0.3607646949822083,0.36142635832948145,0.36142635832948145,0.36142635832948145,reid,4,normalized_delta,128
32,0.23782348228912603,0.3611465799040161,0.23434029534263046,0.23782348228912603,0.23782348228912603,0.23782348228912603,0.3604628798639169,0.3611465799040161,0.3611465799040161,0.3611465799040161,reid,4,normalized_delta,128
33,0.23644137190360773,0.3608773431478767,0.2329724756706702,0.23644137190360773,0.23644137190360773,0.23644137190360773,0.36017763006384484,0.3608773431478767,0.3608773431478767,0.3608773431478767,reid,4,normalized_delta,128
34,0.2351590221649722,0.36056972763617523,0.23170159845367858,0.2351590221649722,0.2351590221649722,0.2351590221649722,0.3598510109441122,0.36056972763617523,0.36056972763617523,0.36056972763617523,reid,4,normalized_delta,128
35,0.2339745519486697,0.3602092690853169,0.2305242988133901,0.2339745519486697,0.2339745519486697,0.2339745519486697,0.359471296731499,0.3602092690853169,0.3602092690853169,0.3602092690853169,reid,4,normalized_delta,128
36,0.23298185576537722,0.36006557603832334,0.22953622324490233,0.23298185576537722,0.23298185576537722,0.23298185576537722,0.35930036107311025,0.36006557603832334,0.36006557603832334,0.36006557603832334,reid,4,normalized_delta,128
37,0.2320890875925359,0.3598401053750422,0.2286466885652197,0.2320890875925359,0.2320890875925359,0.2320890875925359,0.35904782923171297,0.3598401053750422,0.3598401053750422,0.3598401053750422,reid,4,normalized_delta,128
38,0.2312340240043245,0.359582946417504,0.2277944621973132,0.2312340240043245,0.2312340240043245,0.2312340240043245,0.3587640273326542,0.359582946417504,0.359582946417504,0.359582946417504,reid,4,normalized_delta,128
39,0.23046837290258784,0.3593314507161267,0.2270320010714625,0.23046837290258784,0.23046837290258784,0.23046837290258784,0.35848642518976703,0.3593314507161267,0.3593314507161267,0.3593314507161267,reid,4,normalized_delta,128
40,0.22973444076549066,0.35893640408176,0.2263000751306352,0.22973444076549066,0.22973444076549066,0.22973444076549066,0.3580702160834335,0.35893640408176,0.35893640408176,0.35893640408176,reid,4,normalized_delta,128
