epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,1.1310668190320332,1.0058953687548637,1.1310668190320332,0.4692137787739436,0.0,1.0058953687548637,0.42859466932713985,0.0,,,,,,,,,,,1,1,1,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,1.115455836057663,1.0054364067036659,1.115455836057663,0.4614262878894806,0.0,1.0054364067036659,0.428397843032144,0.0,-0.9166293250718145,0.5280465751826059,20.0,-0.9166293250718145,-0.9166293250718145,-0.9166293250718145,-0.9166293250718145,-0.9166293250718145,-0.9166293250718145,-0.9166293250718145,1,1,2,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,1.1256407996018727,1.0049576563760638,1.1256407996018727,0.4670598804950714,0.0,1.0049576563760638,0.42819226323626935,0.0,,,,,,,,,,,1,1,3,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,1.122248609860738,1.0043591484427452,1.122248609860738,0.46470115582148236,0.0,1.0043591484427452,0.4279332336736843,0.0,-0.9274994218898409,0.5117722671335483,20.0,-0.9274994218898409,-0.9274994218898409,-0.9274994218898409,-0.9274994218898409,-0.9274994218898409,-0.9274994218898409,-0.9274994218898409,1,1,4,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,1.1088772813479106,1.00367265753448,1.1088772813479106,0.4597979138294856,0.0,1.00367265753448,0.42763426853343844,0.0,,,,,,,,,,,1,1,5,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,1.1021452744801838,1.0027961197774857,1.1021452744801838,0.4570310066143672,0.0,1.0027961197774857,0.42724943824578077,0.0,-0.8556935122557143,0.4937870637547864,20.0,-0.8556935122557143,-0.8556935122557143,-0.8556935122557143,-0.8556935122557143,-0.8556935122557143,-0.8556935122557143,-0.8556935122557143,1,1,6,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,1.0884133577346802,1.0016839837189764,1.0884133577346802,0.45052919288476306,0.0,1.0016839837189764,0.42675936699379236,0.0,,,,,,,,,,,1,1,7,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,1.116836667060852,1.000317336525768,1.116836667060852,0.46377286314964294,0.0,1.000317336525768,0.4261539599392563,0.0,-0.7529644781141231,0.4746120609930356,20.0,-0.7529644781141231,-0.7529644781141231,-0.7529644781141231,-0.7529644781141231,-0.7529644781141231,-0.7529644781141231,-0.7529644781141231,1,1,8,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,1.1167190472284954,0.9985561722423881,1.1167190472284954,0.4626111835241318,0.0,0.9985561722423881,0.42537352710496634,0.0,,,,,,,,,,,1,1,9,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,1.1152718365192413,0.9963121854234487,1.1152718365192413,0.46034782628218335,0.0,0.9963121854234487,0.4243779859971255,0.0,-0.6035805069584037,0.4624051387446909,20.0,-0.6035805069584037,-0.6035805069584037,-0.6035805069584037,-0.6035805069584037,-0.6035805069584037,-0.6035805069584037,-0.6035805069584037,1,1,10,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
11,1.1162965099016826,0.9933793162927032,1.1162965099016826,0.46274398267269135,0.0,0.9933793162927032,0.4230729906121269,0.0,,,,,,,,,,,1,1,11,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
12,1.087061196565628,0.9895276236347854,1.087061196565628,0.45013290146986645,0.0,0.9895276236347854,0.42135896580293775,0.0,-0.4455129006302845,0.46326808542909365,20.0,-0.4455129006302845,-0.4455129006302845,-0.4455129006302845,-0.4455129006302845,-0.4455129006302845,-0.4455129006302845,-0.4455129006302845,1,1,12,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
13,1.0823508699735005,0.9846151964738965,1.0823508699735005,0.4478899637858073,0.0,0.9846151964738965,0.4191724918782711,0.0,,,,,,,,,,,1,1,13,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
14,1.0782986183961232,0.9783743107691407,1.0782986183961232,0.4456019103527069,0.0,0.9783743107691407,0.4163982479367405,0.0,-0.3108020101307194,0.495422951400953,20.0,-0.3108020101307194,-0.3108020101307194,-0.3108020101307194,-0.3108020101307194,-0.3108020101307194,-0.3108020101307194,-0.3108020101307194,1,1,14,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
15,1.0949515799681346,0.9706006324850023,1.0949515799681346,0.45282576978206635,0.0,0.9706006324850023,0.4129394118208438,0.0,,,,,,,,,,,1,1,15,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
16,1.0686900615692139,0.9606175650842488,1.0686900615692139,0.4411415010690689,0.0,0.9606175650842488,0.4085059076314792,0.0,-0.030606949058866295,0.562278255532272,20.0,-0.030606949058866295,-0.030606949058866295,-0.030606949058866295,-0.030606949058866295,-0.030606949058866295,-0.030606949058866295,-0.030606949058866295,1,1,16,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
17,1.0623949269453685,0.9481363552622497,1.0623949269453685,0.43857136865456897,0.0,0.9481363552622497,0.40296744264196604,0.0,,,,,,,,,,,1,1,17,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
18,1.0624278783798218,0.9333909093402326,1.0624278783798218,0.4378081411123276,0.0,0.9333909093402326,0.39642443461343646,0.0,-0.15645342471449153,0.5997469357869534,20.0,-0.15645342471449153,-0.15645342471449153,-0.15645342471449153,-0.15645342471449153,-0.15645342471449153,-0.15645342471449153,-0.15645342471449153,1,1,18,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
19,1.0398704210917156,0.9167043101042509,1.0398704210917156,0.42873142659664154,0.0,0.9167043101042509,0.3890112469671294,0.0,,,,,,,,,,,1,1,19,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
20,1.0636938114960988,0.8976307893171906,1.0636938114960988,0.43833227455616,0.0,0.8976307893171906,0.3805554206483066,0.0,-0.6392311999635005,0.5702253816708793,20.0,-0.6392311999635005,-0.6392311999635005,-0.6392311999635005,-0.6392311999635005,-0.6392311999635005,-0.6392311999635005,-0.6392311999635005,1,1,20,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
21,1.0431668559710185,0.8768326756544411,1.0431668559710185,0.4295385181903839,0.0,0.8768326756544411,0.37134889815934,0.0,,,,,,,,,,,1,1,21,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
22,1.0156757533550262,0.8564361394383013,1.0156757533550262,0.41741043825944263,0.0,0.8564361394383013,0.36234534392133355,0.0,-0.9443332219827878,0.4808177999247796,20.0,-0.9443332219827878,-0.9443332219827878,-0.9443332219827878,-0.9443332219827878,-0.9443332219827878,-0.9443332219827878,-0.9443332219827878,1,1,22,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
