epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_depablo_mixed_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_depablo_mixed_temp_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_reid_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.7388967736771233,0.5862592108939824,0.7165489116781636,0.2671374218984389,1.7128694780693765,0.23711274850525355,0.7390398828243563,1.7128694780693765,0.6744039491603249,1.3272569540299868,0.24492084693751837,0.18659983555737295,0.5862592121749594,1.3272569540299868,shared3,4,normalized_delta,128
2,0.6605642255461007,0.5416209035798123,0.6301263805544167,0.16787658947926593,1.6427702402859403,0.15428538132916417,0.6549774036981235,1.6427702402859403,0.6264852044613738,1.273923196918086,0.19695227840229085,0.15398724106581588,0.5416209054620642,1.273923196918086,shared3,4,normalized_delta,128
3,0.6113501309302816,0.5166423788980434,0.5851532996223684,0.13806054569308607,1.5633363039347163,0.1327453171278824,0.6113807222518949,1.5633363039347163,0.5990063348098805,1.2484239753923918,0.15181965455412866,0.149683506531935,0.5166423788261518,1.2484239753923918,shared3,4,normalized_delta,128
4,0.5747423672885226,0.5014858274867661,0.5516110213702186,0.11768501451317694,1.4790548197010107,0.12558038081450942,0.574106738342899,1.4790548197010107,0.582595615245794,1.2237034659636647,0.13460037563192218,0.14615364372730255,0.5014858284409631,1.2237034659636647,shared3,4,normalized_delta,128
5,0.5571483333905538,0.49425413286999653,0.5364277653526841,0.10476155585648728,1.438045571875154,0.12387249897185125,0.5555598755678307,1.438045571875154,0.5757934673836357,1.208170785558851,0.11460864659594862,0.1599829651807484,0.49425413244518274,1.208170785558851,shared3,4,normalized_delta,128
6,0.5266449755221082,0.4646249447213976,0.5055686749387206,0.07707748497823175,1.3742614757073552,0.12398201756571468,0.5251069927504338,1.3742614757073552,0.5453230341014109,1.176519228439582,0.0731272718133895,0.14422832872522504,0.4646249429927322,1.176519228439582,shared3,4,normalized_delta,128
7,0.49712140622891876,0.4376388282368058,0.4779399156047587,0.06004159014121118,1.3240505747627793,0.10382261891898356,0.495971594607658,1.3240505747627793,0.5186096266304192,1.1416987422265505,0.06389573807583043,0.1073220033492697,0.4376388278838836,1.1416987422265505,shared3,4,normalized_delta,128
8,0.4772946193422142,0.43376948668768534,0.4592270684673598,0.054571664990516196,1.2960804711504463,0.08130609689835916,0.4773194110131072,1.2960804711504463,0.5129522041270608,1.1337187498807908,0.06407974405508292,0.10350996912702133,0.4337694876876317,1.1337187498807908,shared3,4,normalized_delta,128
9,0.4715296526488505,0.4416292061146937,0.45567101922474407,0.052946811466490926,1.2851637264092763,0.07617322653205248,0.4714279214692732,1.2851637264092763,0.5258484582759833,1.1643725890862315,0.061984973395929524,0.09853005504333659,0.4416292058418325,1.1643725890862315,shared3,4,normalized_delta,128
10,0.47586948976182103,0.4325756508268808,0.46222753022846425,0.05279794539338056,1.2923586206477986,0.07512657356432133,0.47342771320183347,1.2923586206477986,0.5120685789145921,1.1283404398905603,0.06265205975229803,0.10673445514158199,0.4325756515948134,1.1283404398905603,shared3,4,normalized_delta,128
