epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_reid_reconstruction,train_source_lj_noisy_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.4213563153545062,0.3183838243546585,0.43733980097373326,0.41868106615543366,0.3366277258594831,0.5087601521909237,0.4213563147352802,0.5087601521909237,0.31671584076372283,0.28736923122033475,0.3011110625341535,0.36667117930948734,0.3183838243546585,0.36667117930948734,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
2,0.2173982159793377,0.22337651825447877,0.23705060637990633,0.10801185233642657,0.17535957725594442,0.36882321791847544,0.21739821583694882,0.36882321791847544,0.22251224394453067,0.2067420042566955,0.10082171772792935,0.36256583277881144,0.22337651825447877,0.36256583277881144,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
3,0.19113969241579373,0.2158167871478945,0.21405523576339086,0.0740080856649826,0.1432856759590407,0.35612531477212905,0.19113969213205081,0.35612531477212905,0.21495958384809394,0.19815632416494192,0.09083684589713811,0.3584571913816035,0.2158167871478945,0.3584571913816035,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
4,0.18531272171934446,0.21467579718089352,0.20712448889017104,0.07191827474844953,0.14097945335010686,0.34304043783744176,0.18531272197866602,0.34304043783744176,0.2138029510602355,0.1969870250886306,0.09341753176040947,0.3536228346936405,0.21467579718089355,0.3536228346936405,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
5,0.18175599686304728,0.21284141972785195,0.2026242800652981,0.07085201570329566,0.1392431258323292,0.33517285000284514,0.18175599717949,0.33517285000284514,0.21198700097808615,0.19935018759313972,0.08911579168308527,0.35005827990733085,0.21284141972785195,0.35005827990733085,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
6,0.17953976465264956,0.2132144122606454,0.20031060195962588,0.07009244821841518,0.13808561825131377,0.33044122778375945,0.17953976475116282,0.33044122778375945,0.21234702799174313,0.19681496800668538,0.09450075863441453,0.34832751014083624,0.2132144122606454,0.34832751014083624,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
7,0.1780283195823431,0.21301718824186053,0.19855714256564777,0.0698182326083382,0.13716992426042757,0.3270968024532,0.17802831977398859,0.3270968024532,0.2121135351276025,0.20116459278063847,0.08933576508238912,0.348551206862554,0.21301718824186053,0.348551206862554,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
8,0.17634218184153239,0.21068327690381558,0.19656901482741038,0.06964315906539559,0.13627483296208084,0.32310855387647947,0.17634218196798526,0.32310855387647947,0.2097727263236108,0.19522990040574223,0.09034090940468013,0.34647902090102434,0.21068327690381558,0.34647902090102434,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
9,0.1738196920057138,0.2113315577142251,0.19341526650389035,0.06969882419643303,0.13513056509569288,0.3166296867728233,0.17381969202164974,0.3166296867728233,0.21054686665690195,0.20530880397558213,0.09082429216289893,0.3378615770041943,0.2113315577142251,0.3378615770041943,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
10,0.17011666538814704,0.20828146228427066,0.18921755163868267,0.06917283329119285,0.13213463893160224,0.3090425255000591,0.17011666590761806,0.3090425255000591,0.20741834347384672,0.20015105741051958,0.0888485193643719,0.33584481007792055,0.20828146228427066,0.33584481007792055,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
11,0.16470756697654723,0.20411825044080614,0.18500038395325344,0.06822166041843593,0.12242448559838037,0.30347655577460925,0.1647075672638085,0.30347655577460925,0.20309084198453153,0.18506308650271966,0.0885796521450393,0.3387120126746595,0.20411825044080614,0.3387120126746595,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
12,0.15992010805010795,0.20685245073540137,0.180988065858682,0.06655029903538526,0.11459904865548015,0.2986109757423401,0.1599201078110685,0.2986109757423401,0.20570115376620865,0.18442718867072835,0.09340383909456432,0.3427263244409114,0.20685245073540134,0.3427263244409114,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
13,0.1569961878458659,0.2062936249432775,0.17803750835855803,0.06533843695744872,0.1113378119735668,0.29431231498718263,0.1569961879727327,0.29431231498718263,0.20507414963965614,0.18015235432982446,0.09101135534094647,0.34771716515906154,0.2062936249432775,0.34771716515906154,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
14,0.15449112206697463,0.21078926573166004,0.17563801511128743,0.06460246439650655,0.10879080752034982,0.2900800950229168,0.15449112231325773,0.2900800950229168,0.20944985514630873,0.18235795043502004,0.09324961259588599,0.35676023416407404,0.21078926573166004,0.35676023416407404,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
15,0.15168775735795498,0.21513357452722268,0.17273009060819944,0.06369587802266082,0.10584184491758546,0.2855255485971769,0.15168775717914104,0.2855255485971769,0.2137525269111308,0.184997525036335,0.09603014646237716,0.36437305208295584,0.21513357452722268,0.36437305208295584,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
16,0.1493059320449829,0.21521004763447368,0.17048644043008487,0.06325937626200417,0.10323269529889027,0.281425724118948,0.1493059318932808,0.281425724118948,0.21395205569826067,0.18447140615200625,0.09919290645886213,0.3619658302925527,0.21521004763447368,0.3619658302925527,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
