source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance
depablo_low_temp,constant,20,20,20,-0.02259338538615574,0.34299813620176817,0.1309363081666797
depablo_low_temp,initial_pc1,20,20,20,-0.018994494084229707,0.3437512292166807,0.1309363081666797
depablo_low_temp,initial_z,20,20,20,0.272568585530083,0.23131113392922434,0.1309363081666797
depablo_low_temp,observed_prefix,20,20,20,0.9829618452989667,0.03374518995001659,0.1309363081666797
depablo_mixed_temp,constant,20,20,20,-0.02573579434740081,0.3235672229246395,0.12643548055144446
depablo_mixed_temp,initial_pc1,20,20,20,-0.03179847199311703,0.32711311350258676,0.12643548055144446
depablo_mixed_temp,initial_z,20,20,20,0.4729744993464995,0.1988058434752057,0.12643548055144446
depablo_mixed_temp,observed_prefix,20,20,20,0.2575060754392531,0.21877823096979063,0.12643548055144446
reid,constant,20,20,20,-0.09034610605757853,0.17800487846322086,0.039261933802947645
reid,initial_pc1,20,20,20,0.05947989958409983,0.1634077513560897,0.039261933802947645
reid,initial_z,20,20,20,-0.007432109189306146,0.16398585263502408,0.039261933802947645
reid,observed_prefix,20,20,20,0.9508603042996446,0.0329030348247677,0.039261933802947645
