source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,0.5005535512700033,0.13209365860142278,0.0635535199374179,4.695118295927614e-07,0.0014717252386617474,0.00026053810288431125
depablo_low_temp,10,20,20,20,0.6728758203147541,0.13522294835305865,0.08909196724582674,3.462197716963544e-07,0.001221120500122197,0.00022329980129143223
depablo_low_temp,25,20,20,20,0.8457805803541607,0.10423820527845984,0.1113451632350467,2.9513294279581715e-07,0.000817042647395283,0.00030492958903778345
depablo_low_temp,50,20,20,20,0.9257711734674364,0.07530164577035678,0.12192390929122102,7.359260504102849e-07,0.0007094616768881679,0.00045005583378951994
depablo_low_temp,75,20,20,20,0.9521122872650032,0.06473468632482132,0.1271388104990921,1.566121777329954e-06,0.0007810544688254595,0.0005867170926649124
depablo_low_temp,100,20,20,20,0.9617722944467774,0.06042067190073118,0.1309363081666797,2.8253036305159186e-06,0.0009466556366533041,0.0007839473953936249
depablo_low_temp,125,20,20,20,0.9634393852635527,0.05824528444305745,0.1341610869454215,4.6063764074233404e-06,0.001229314785450697,0.0010484466765774414
depablo_low_temp,149,20,20,20,0.958057447330199,0.06216529601494314,0.13699498132137658,7.046641621855088e-06,0.001756197400391102,0.0014107794384472072
depablo_low_temp,150,20,20,20,0.95764726145336,0.062469595027339286,0.13710567759410502,7.170585638505144e-06,0.0017854657024145126,0.0014291502768173814
depablo_mixed_temp,5,20,20,20,0.31584417253078556,0.2953792126041166,0.22679945757564682,1.8323411378418086e-05,0.0034315048600547017,0.0005756745707913069
depablo_mixed_temp,10,20,20,20,0.7185452193146161,0.17859044546131136,0.17922109704665723,1.9814986913502253e-05,0.0029323462105821816,0.0006453486097598215
depablo_mixed_temp,25,20,20,20,0.5868913145112433,0.2136623536427847,0.18142652653321048,2.2940349505518044e-05,0.003399727854412049,0.0006640478015469853
depablo_mixed_temp,50,20,20,20,0.7591347225648086,0.13766732944094004,0.12905106469273595,2.1707422959593714e-05,0.0029216508846729994,0.000868170072499197
depablo_mixed_temp,75,20,20,20,0.7490695383626635,0.11476605378742691,0.1721180025747532,2.1676785976865176e-05,0.002384671755135059,0.0011762375725083984
depablo_mixed_temp,100,20,20,20,0.8382967330218012,0.09492376853128348,0.12643548055144446,2.5133883855232853e-05,0.0021451113279908895,0.0013457256776746363
depablo_mixed_temp,125,20,20,20,0.8019654294239765,0.09385824518578903,0.15482135978229525,2.460374294059875e-05,0.0018000924959778787,0.00162636561144609
depablo_mixed_temp,149,20,20,20,0.9045694362256789,0.07703383588330104,0.13202052126728464,2.4703924736968474e-05,0.002047978155314922,0.001817771716741845
depablo_mixed_temp,150,20,20,20,0.9006662096098546,0.08190416839268728,0.13788865110405393,2.5026400896877023e-05,0.0019930184818804262,0.0018118668434908614
lj_noisy,5,20,20,20,-48.50138406725505,0.19011396997951138,0.0012192600578043978,1.367575644728447e-07,0.0005547455773921683,0.0003391677550098393
lj_noisy,10,20,20,20,-9.686379865567018,0.11933241399994007,0.002153844244672589,1.2989447499833774e-07,0.0005092137842439115,0.00024633157154312356
lj_noisy,25,20,20,20,0.27917205610923923,0.049126273710768664,0.004116859972161529,3.5436722498616293e-07,0.0005035975715145469,0.0002443862351356074
lj_noisy,50,20,20,20,0.5892454097291896,0.04023450706859764,0.004765160046327359,1.5550586255130837e-06,0.0005219775484874845,0.0002722653734963387
lj_noisy,75,20,20,20,0.6145802188310678,0.03612044888363981,0.005096114207392416,4.0567880091657574e-06,0.0007106448989361525,0.0003784061991609633
lj_noisy,100,20,20,20,0.6244422811336501,0.03298410727764554,0.005310082358180217,7.953004865157708e-06,0.0008957652375102043,0.0005460359854623676
lj_noisy,125,20,20,20,0.6238568374526736,0.037444659457269124,0.005569300277656472,1.3378191260926542e-05,0.0011827360838651657,0.0007230895105749368
lj_noisy,149,20,20,20,0.26933204183493986,0.057834582623026896,0.0058612530060078456,2.0764693636010635e-05,0.002202772069722414,0.0009223934262990952
lj_noisy,150,20,20,20,0.24246517303623083,0.058903450025458715,0.005877561133984836,2.114855001309479e-05,0.0022644368931651116,0.0009322823723778128
reid,5,20,20,20,-2.6075482785865995,0.24977073458775217,0.02154076783415691,1.3439275958759822e-07,0.0007102296847733669,0.00037640239934262355
reid,10,20,20,20,-0.8842533377265629,0.20234599763211686,0.028346618455362994,1.3737130482027738e-07,0.0005707515345420688,0.00041876776595017873
reid,25,20,20,20,0.27054875000273193,0.13518071425762096,0.034074291474254684,4.1205209431183223e-07,0.00045749618439003823,0.000551147959777154
reid,50,20,20,20,0.7297087976029399,0.08525707020562526,0.03674579830514,1.6274232081059382e-06,0.0009046828839927912,0.0006436596813728102
reid,75,20,20,20,0.88961912883968,0.054488718932684685,0.03814548712888468,3.7423660671720428e-06,0.0012441948987543584,0.000567485780629795
reid,100,20,20,20,0.9561174116525355,0.03311709969993072,0.039261933802947645,6.630433264831481e-06,0.0011931680142879485,0.0004587864095810801
reid,125,20,20,20,0.9823499312650971,0.022250152208018147,0.040278386785974486,1.061696031001702e-05,0.0012160033918917179,0.00045949648483656347
reid,149,20,20,20,0.9865977551445336,0.018547008548731446,0.04122426506644665,1.6177537901285177e-05,0.002277213614434004,0.0005314976733643562
reid,150,20,20,20,0.986452087895201,0.01860946007244735,0.041262728129658005,1.6455310674245994e-05,0.002339830156415701,0.0005351119907572865
