epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_depablo_mixed_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_depablo_mixed_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,val_ae_p_ratio_r2_step_100,val_ae_source_depablo_low_temp_p_ratio_r2_step_100,val_ae_source_depablo_low_temp_position_mse_step_100,val_ae_source_depablo_low_temp_p_ratio_r2_sum_100,val_ae_source_depablo_mixed_temp_p_ratio_r2_step_100,val_ae_source_depablo_mixed_temp_position_mse_step_100,val_ae_source_depablo_mixed_temp_p_ratio_r2_sum_100,val_ae_source_lj_noisy_p_ratio_r2_step_100,val_ae_source_lj_noisy_position_mse_step_100,val_ae_source_lj_noisy_p_ratio_r2_sum_100,val_ae_source_reid_p_ratio_r2_step_100,val_ae_source_reid_position_mse_step_100,val_ae_source_reid_p_ratio_r2_sum_100,val_ae_mean_source_p_ratio_r2_step_100,val_ae_min_source_p_ratio_r2_sum_100,dataset,latent_dim,target_mode,hidden_size
1,0.7525204413021978,0.5903986945983921,0.7525204413021978,0.34628766471807193,1.9760943750147764,0.4736311457491675,0.2943034914613006,0.7725791692358291,1.9760943750147764,0.5903986945983921,0.18077378915040754,0.31374616126413457,1.4390193348517641,0.41385457484284416,0.5868484650272876,1.4390193348517641,-0.010388020838434153,-0.1302719522181075,1.4048675302547053e-05,-0.1302719522181075,-0.07016782374142783,2.9879173791869106e-05,-0.07016782374142783,-26.752946486687726,2.293880202159926e-05,-26.752946486687726,-0.005597613676503466,9.928930182923068e-06,-0.005597613676503466,-6.739745969080941,-26.752946486687726,06b 4D reconstruction,2,normalized_delta,96
2,0.6346813181172246,0.5447663591545179,0.6346813181172246,0.2135301231748973,1.8477011123900358,0.3837183960106062,0.18977417352171283,0.658680951274313,1.8477011123900358,0.5447663591545179,0.16739114296069602,0.25906252322602086,1.3822230328805745,0.35662822451558895,0.5413262308957201,1.3822230328805745,-0.001146351082752961,-0.09330649150487202,8.799873910447786e-06,-0.09330649150487202,-0.044720862894518376,2.7290312527838977e-05,-0.044720862894518376,-27.62568451025823,1.54596323682199e-05,-27.62568451025823,0.016742539024346748,8.833917399897473e-06,0.016742539024346748,-6.936742331408318,-27.62568451025823,06b 4D reconstruction,2,normalized_delta,96
3,0.6046222741071414,0.5222675944107912,0.6046222741071414,0.18377086942787227,1.8142893558198756,0.34468249629137543,0.17307803145215916,0.6289551882478206,1.8142893558198756,0.5222675944107912,0.1689053431764478,0.22339036941411905,1.3468098277808167,0.3374339145666454,0.5191348637345072,1.3468098277808167,0.07119311313852139,0.08092311348314674,7.941770820707462e-06,0.08092311348314674,0.09895377500030089,2.6498764748339453e-05,0.09895377500030089,-28.936499863319415,1.4048716548131778e-05,-28.936499863319415,0.007647899621119225,8.286267791390855e-06,0.007647899621119225,-7.187243768803712,-28.936499863319415,06b 4D reconstruction,2,normalized_delta,96
4,0.5811070410512653,0.5056705770336769,0.5811070410512653,0.15460836344026765,1.7563768171745797,0.34104631839710264,0.17791790556412912,0.6074873511440197,1.7563768171745797,0.5056705770336769,0.1920646642392967,0.17916034658264834,1.310623389610555,0.33256100400467403,0.5036023511092935,1.310623389610555,0.3050084034985776,0.5754599604749633,6.425966694223461e-06,0.5754599604749633,0.5394221174333288,2.5390240455180902e-05,0.5394221174333288,-31.618919444049666,1.561836247674364e-05,-31.618919444049666,0.07384331798730914,8.569968701976905e-06,0.07384331798730914,-7.607548512038517,-31.618919444049666,06b 4D reconstruction,2,normalized_delta,96
5,0.5390498913206131,0.45738061409988423,0.5390498913206131,0.12477229157160864,1.6299514831761597,0.3062211824396971,0.18980451767505865,0.562687368715631,1.6299514831761597,0.45738061409988423,0.1902734230097849,0.1042166562838247,1.2615431367885321,0.2636902175145224,0.454930858399166,1.2615431367885321,0.5452333796573914,0.775573265973916,5.128782152041822e-06,0.775573265973916,0.633945202129111,2.4481508091867e-05,0.633945202129111,-18.554538995158932,1.3076903951514395e-05,-18.554538995158932,0.18222288827135025,8.15217022136494e-06,0.18222288827135025,-4.240699409696139,-18.554538995158932,06b 4D reconstruction,2,normalized_delta,96
6,0.4657299583667352,0.4070781832045541,0.4657299583667352,0.07372895421335113,1.5034607008629637,0.20583928990446532,0.1659031978885647,0.4872330357173362,1.5034607008629637,0.4070781832045541,0.13385100751474965,0.0740998246401432,1.2205397770158015,0.18605114357342245,0.4036354381860292,1.2205397770158015,0.8755116912110075,0.9589856407954727,3.5958324190232815e-06,0.9589856407954727,0.8958399828026601,2.2790202234546086e-05,0.8958399828026601,-1.9211659891670378,9.283154872719024e-06,-1.9211659891670378,0.3918949753605592,7.962158929331053e-06,0.3918949753605592,0.08138865244791349,-1.9211659891670378,06b 4D reconstruction,2,normalized_delta,96
7,0.43315873574833624,0.3942686872825527,0.43315873574833624,0.058499437064786435,1.4675053335107833,0.16548640393604166,0.11372616635304195,0.45130433521616337,1.4675053335107833,0.3942686872825527,0.11581867114000488,0.06468900867912453,1.2140452659514267,0.16930797176610213,0.39096522938416456,1.2140452659514267,0.9299962360007468,0.9799222004869452,3.0777805051229734e-06,0.9799222004869452,0.8411725553667357,2.266321065462762e-05,0.8411725553667357,-0.07119701302943171,8.863206812748103e-06,-0.07119701302943171,0.8936472470998084,6.879708215024038e-06,0.8936472470998084,0.6608862474810144,-0.07119701302943171,06b 4D reconstruction,2,normalized_delta,96
8,0.4254995285286734,0.39211849022745027,0.4254995285286734,0.05398882451750662,1.4561865813882926,0.15952742132892014,0.09953027274533223,0.4423082749950129,1.4561865813882926,0.39211849022745027,0.1117228200964746,0.06481527449795976,1.2133738902048208,0.16551558360515628,0.38885689210110286,1.2133738902048208,0.9338962491442396,0.9817434385178058,2.963286397061893e-06,0.9817434385178058,0.8453857367327016,2.2723094798493548e-05,0.8453857367327016,-0.11334297241892632,8.65162307945866e-06,-0.11334297241892632,0.925927566550197,6.7123128303592235e-06,0.925927566550197,0.6599284423454445,-0.11334297241892632,06b 4D reconstruction,2,normalized_delta,96
9,0.4196216575065149,0.39436108511302015,0.4196216575065149,0.052334247797491996,1.4387339736397557,0.1577995247520477,0.09500626901628471,0.435968503801395,1.4387339736397557,0.39436108511302015,0.11834160052239895,0.061636832819203846,1.21711029871949,0.1667026349241496,0.3909478417463106,1.21711029871949,0.914642912128465,0.9752781602796735,3.041285168592367e-06,0.9752781602796735,0.8145637552340742,2.2649278912467706e-05,0.8145637552340742,-0.4171175930819768,8.969457621788023e-06,-0.4171175930819768,0.8596458680690071,7.080078898979991e-06,0.8596458680690071,0.5580925476251946,-0.4171175930819768,06b 4D reconstruction,2,normalized_delta,96
10,0.41710081484477984,0.3918901419546823,0.41710081484477984,0.052273933967141056,1.426802386761654,0.15735589865992664,0.09392109115722151,0.43258832763648575,1.426802386761654,0.3918901419546823,0.11390969649073668,0.06198154434969183,1.2110405781422742,0.16713232710026205,0.3885160365207412,1.2110405781422742,0.9190789908171361,0.9805524111381845,2.931327489363866e-06,0.9805524111381845,0.8243397461740275,2.271984149047057e-05,0.8243397461740275,-0.5665400387600836,8.874154627847019e-06,-0.5665400387600836,0.8833587878473732,6.809452906963998e-06,0.8833587878473732,0.5304277265998754,-0.5665400387600836,06b 4D reconstruction,2,normalized_delta,96
