source,frame,mode,latent_mse,normalized_latent_mse
depablo_low_temp,6,free_rollout,2.690473351663059e-07,1.3075580426180622e-07
depablo_low_temp,6,teacher_forced,2.690473351663059e-07,1.3075580426180622e-07
depablo_low_temp,7,free_rollout,1.8659450413238688e-06,9.051782575042466e-07
depablo_low_temp,7,teacher_forced,1.7061965119635757e-07,8.201222402859365e-08
depablo_low_temp,8,free_rollout,6.232535239547588e-06,3.01865759713138e-06
depablo_low_temp,8,teacher_forced,1.1535540533902378e-07,5.503640926000225e-08
depablo_low_temp,9,free_rollout,1.412952367498832e-05,6.82713714788008e-06
depablo_low_temp,9,teacher_forced,4.514936120525448e-08,2.142376870351015e-08
depablo_low_temp,10,constant_acceleration,5.090643562084551e-05,2.4890663472376672e-05
depablo_low_temp,10,constant_latent,0.03222019588574767,0.01413535764440894
depablo_low_temp,10,constant_velocity,0.00040502993242625963,0.0002000865484546921
depablo_low_temp,10,constant_velocity_recent,3.725650478827447e-05,1.7586391771828856e-05
depablo_low_temp,10,free_rollout,2.6858372921623187e-05,1.2947928762674366e-05
depablo_low_temp,10,oracle_ae,0.0,0.0
depablo_low_temp,10,teacher_forced,4.4114984815157857e-08,2.0445794007839525e-08
depablo_low_temp,11,free_rollout,4.511928859436409e-05,2.1703542291717783e-05
depablo_low_temp,11,teacher_forced,2.604165457720242e-08,1.1919770734336588e-08
depablo_low_temp,12,free_rollout,6.957894738057746e-05,3.34045538831873e-05
depablo_low_temp,12,teacher_forced,3.3593666820541657e-08,1.5668036909555205e-08
depablo_low_temp,13,free_rollout,0.0001002763402908613,4.8037672544865015e-05
depablo_low_temp,13,teacher_forced,2.8888699210583013e-08,1.3180674102164503e-08
depablo_low_temp,14,free_rollout,0.0001370779610454065,6.551149742435314e-05
depablo_low_temp,14,teacher_forced,2.6867992297674447e-08,1.2632116769273338e-08
depablo_low_temp,15,free_rollout,0.00017973594658542423,8.571492927416103e-05
depablo_low_temp,15,teacher_forced,2.2455031734036623e-08,1.0308713022100235e-08
depablo_low_temp,16,free_rollout,0.00022834663623427787,0.0001086404374433414
depablo_low_temp,16,teacher_forced,3.10390281255124e-08,1.4609659634845507e-08
depablo_low_temp,17,free_rollout,0.0002837975225077116,0.00013469830717269816
depablo_low_temp,17,teacher_forced,2.2367704999304296e-08,1.0241400960619983e-08
depablo_low_temp,18,free_rollout,0.0003434765970041553,0.00016263067150532607
depablo_low_temp,18,teacher_forced,4.4413817446020684e-08,2.1264834293432954e-08
depablo_low_temp,19,free_rollout,0.000411515402885243,0.00019446848562552078
depablo_low_temp,19,teacher_forced,5.728357590495392e-08,2.753505713437576e-08
depablo_low_temp,20,free_rollout,0.00048265763628023705,0.00022752538626207296
depablo_low_temp,20,teacher_forced,3.585542187184432e-08,1.700691786982178e-08
depablo_low_temp,21,free_rollout,0.0005600403543610355,0.00026339337464094116
depablo_low_temp,21,teacher_forced,2.3846857288845057e-08,1.1225621046606627e-08
depablo_low_temp,22,free_rollout,0.0006415740547026872,0.0003010316007816982
depablo_low_temp,22,teacher_forced,4.644251842544911e-08,2.2220879181134024e-08
depablo_low_temp,23,free_rollout,0.0007291972473694841,0.0003413587565376019
depablo_low_temp,23,teacher_forced,5.291133902129985e-08,2.5723731883475765e-08
depablo_low_temp,24,free_rollout,0.0008196534835633428,0.0003828200436089446
depablo_low_temp,24,teacher_forced,4.3037538394186114e-08,2.0874544650467676e-08
depablo_low_temp,25,constant_acceleration,0.017254170823071034,0.008481739112721699
depablo_low_temp,25,constant_latent,0.5382429674267769,0.2347462557256222
depablo_low_temp,25,constant_velocity,0.00970791807048954,0.0046052793899434615
depablo_low_temp,25,constant_velocity_recent,0.0024240483675384895,0.0010013260747655296
depablo_low_temp,25,free_rollout,0.0009176244093168862,0.00042763019482094933
depablo_low_temp,25,oracle_ae,0.0,0.0
depablo_low_temp,25,teacher_forced,2.5979185069857636e-08,1.2056559406392609e-08
depablo_low_temp,26,free_rollout,0.0010178132584087508,0.0004732577695790496
depablo_low_temp,26,teacher_forced,2.462950576820333e-08,1.1818465112112265e-08
depablo_low_temp,27,free_rollout,0.0011234805589083407,0.0005211946981148685
depablo_low_temp,27,teacher_forced,2.4895763961474415e-08,1.163257015157626e-08
depablo_low_temp,28,free_rollout,0.00123401340131295,0.0005711909341812316
depablo_low_temp,28,teacher_forced,2.6783659073936762e-08,1.2704206031610709e-08
depablo_low_temp,29,free_rollout,0.0013486239388839749,0.0006229936541330972
depablo_low_temp,29,teacher_forced,3.997714465575619e-08,1.925989495665803e-08
depablo_low_temp,30,free_rollout,0.0014666176300579536,0.0006759897134656967
depablo_low_temp,30,teacher_forced,2.945777485274803e-08,1.3666792313127284e-08
depablo_low_temp,31,free_rollout,0.0015911095643332373,0.0007318535508261448
depablo_low_temp,31,teacher_forced,4.007081561563375e-08,1.9323605107701703e-08
depablo_low_temp,32,free_rollout,0.0017191459041441704,0.0007892412616911315
depablo_low_temp,32,teacher_forced,2.9486321234672986e-08,1.4265765102550176e-08
depablo_low_temp,33,free_rollout,0.0018516322790674167,0.0008483687029411157
depablo_low_temp,33,teacher_forced,3.3941399518733205e-08,1.5889026856730216e-08
depablo_low_temp,34,free_rollout,0.0019912553915673926,0.0009105652637572348
depablo_low_temp,34,teacher_forced,3.955893765894558e-08,1.8706822974001723e-08
depablo_low_temp,35,free_rollout,0.0021375325076405717,0.0009757908459505415
depablo_low_temp,35,teacher_forced,3.4068839588341505e-08,1.6546358762303814e-08
depablo_low_temp,36,free_rollout,0.0022873865653309624,0.0010423361904031482
depablo_low_temp,36,teacher_forced,2.974744806039098e-08,1.4327438341288357e-08
