iteration,before,after,accepted,best_proposal,bound,max_abs_log_edit
0,0.049560014885478176,0.02914208604321469,True,r0_tangent_0.200000,0.4,0.4000000059604645
1,0.02914208604321469,0.01025857722430187,True,r1_z1_0.200000,0.55,0.550000011920929
2,0.01025857722430187,-0.006012175384968586,True,r2_z1_0.200000,0.7,0.699999988079071
