kind,dimension,source,rollout_steps,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
ae,2,depablo_low_temp,5,5,0.4688208058452778,0.25969737143506527,0.14502297859195343,20,20
ae,2,depablo_low_temp,10,5,0.638675437667293,0.15917764252398997,0.14170134428839623,20,20
ae,2,depablo_low_temp,25,5,0.8308797796178317,0.03196669193643673,0.10767566866590114,20,20
ae,2,depablo_low_temp,50,5,0.941846487063124,0.014467182459847489,0.06709101357585946,20,20
ae,2,depablo_low_temp,75,5,0.9639014723583564,0.009619417246009454,0.05446113707319322,20,20
ae,2,depablo_low_temp,100,5,0.9664932246150203,0.010620370034421022,0.052431611943437983,20,20
ae,2,depablo_mixed_temp,5,5,0.08010865704063048,0.1250675781786094,0.3618630496734741,20,20
ae,2,depablo_mixed_temp,10,5,0.3731213885660708,0.08183418281022986,0.2657250356500601,20,20
ae,2,depablo_mixed_temp,25,5,0.5649923903940143,0.32974161911120126,0.1919745493283221,20,20
ae,2,depablo_mixed_temp,50,5,0.7292171174710316,0.12593945790459957,0.1260064734583576,20,20
ae,2,depablo_mixed_temp,75,5,0.9197425789250293,0.06909840764016893,0.07757887583288389,20,20
ae,2,depablo_mixed_temp,100,5,0.8929578375311065,0.03229019904734437,0.08448115193986372,20,20
ae,2,lj_noisy,5,5,-29.650238158608868,16.832496946453247,0.17039967637582681,20,20
ae,2,lj_noisy,10,5,-12.335456525686855,6.874282808341987,0.1486378330054724,20,20
ae,2,lj_noisy,25,5,-3.2906916921559635,3.415983120448554,0.11002728312614289,20,20
ae,2,lj_noisy,50,5,-1.1011331555578727,2.5344015579058943,0.07488619305287955,20,20
ae,2,lj_noisy,75,5,-0.20086867952375798,1.2016922863146107,0.058881919183261064,20,20
ae,2,lj_noisy,100,5,-0.14383307130954667,0.6513294502256753,0.06238730140816832,20,20
ae,2,reid,5,5,-0.689414758320828,0.5925970265598398,0.16193872557340128,20,20
ae,2,reid,10,5,0.05045972844804042,0.46922840907512975,0.13852647064978713,20,20
ae,2,reid,25,5,0.6361575819394896,0.32392372373198053,0.0866718842059309,20,20
ae,2,reid,50,5,0.8885811265988615,0.0889332571089473,0.05006820727136154,20,20
ae,2,reid,75,5,0.9282645915007558,0.051562185494136006,0.0410956784258644,20,20
ae,2,reid,100,5,0.9259786098826523,0.04467074976908126,0.040358679227664694,20,20
ae,4,depablo_low_temp,5,5,0.27927952184472377,0.14690985348904004,0.17028251324776914,20,20
ae,4,depablo_low_temp,10,5,0.5778633896082962,0.10797799029601267,0.1549929116845174,20,20
ae,4,depablo_low_temp,25,5,0.8346149027864158,0.048427670607807255,0.10291763847036543,20,20
ae,4,depablo_low_temp,50,5,0.9408286153148936,0.02216291929873789,0.06371015402979524,20,20
ae,4,depablo_low_temp,75,5,0.9654036497785319,0.01416212827375854,0.04847298715691948,20,20
ae,4,depablo_low_temp,100,5,0.9711553428532778,0.009557486289235865,0.04758672981623266,20,20
ae,4,depablo_mixed_temp,5,5,0.05283604414216604,0.2735742504967927,0.36428530478088517,20,20
ae,4,depablo_mixed_temp,10,5,0.23970079560453086,0.15811440856868475,0.27585369744054067,20,20
ae,4,depablo_mixed_temp,25,5,0.5429892711998073,0.3297435425477034,0.17250891084953707,20,20
