source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance
depablo_low_temp,constant,20,20,20,-0.02259338538615574,0.34299813620176817,0.1309363081666797
depablo_low_temp,initial_pc1,20,20,20,0.9649952938256701,0.054397366471540046,0.1309363081666797
depablo_low_temp,initial_z,20,20,20,0.9661113383404043,0.05278947096438996,0.1309363081666797
depablo_low_temp,observed_prefix,20,20,20,0.9664376266783251,0.05301136290656124,0.1309363081666797
depablo_mixed_temp,constant,20,20,20,-0.02573579434740081,0.3235672229246395,0.12643548055144446
depablo_mixed_temp,initial_pc1,20,20,20,0.9496694486745202,0.06535769562624136,0.12643548055144446
depablo_mixed_temp,initial_z,20,20,20,0.949219767194316,0.06544312401161514,0.12643548055144446
depablo_mixed_temp,observed_prefix,20,20,20,0.8876245788286278,0.08796325274902919,0.12643548055144446
reid,constant,20,20,20,-0.09034610605757853,0.17800487846322086,0.039261933802947645
reid,initial_pc1,20,20,20,0.8028750405290408,0.07767416987102407,0.039261933802947645
reid,initial_z,20,20,20,0.8063394367578542,0.07669110286336493,0.039261933802947645
reid,observed_prefix,20,20,20,0.9519314803657765,0.03744042251094904,0.039261933802947645
