epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.8128073631999004,0.6418214050723786,0.8128073631999004,0.00015371650628381818,0.7678952957971029,0.85771943078223,0.6418214050723786,0.00012065581175185768,0.7231494004651904,0.5802009638547897,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
2,0.32517112668857995,0.263914777684104,0.32517112668857995,6.189093940165951e-05,0.15074946297459813,0.49959278974427757,0.263914777684104,5.0435415824760334e-05,0.3693149675242603,0.16238183841481804,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
3,0.164263858074644,0.21660677371845846,0.164263858074644,3.1687665449202445e-05,0.07612216833185959,0.2524055486103617,0.21660677371845846,4.151203700880423e-05,0.28391661452129485,0.1492346517443657,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
4,0.13233401599418687,0.18647901405838418,0.13233401599418687,2.5520844560907357e-05,0.06588073621642399,0.19878729571958623,0.18647901405838418,3.5817266959487325e-05,0.23867496342398226,0.13405171186663212,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
5,0.11663160051207945,0.1732868204354056,0.11663160051207945,2.2493833791694592e-05,0.06095461210004058,0.1723085889166378,0.1732868204354056,3.328775807964088e-05,0.21162095546699128,0.13485752928070724,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
6,0.10591031142686265,0.16537453730620563,0.10591031142686265,2.0434236258994083e-05,0.057373832028553666,0.15444679081021065,0.16537453730620563,3.176519488300618e-05,0.19589737282600253,0.13485876737069338,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
7,0.09755504894328404,0.1544599730066065,0.09755504894328404,1.8834452433852914e-05,0.0540295536798167,0.14108054399729733,0.1544599730066065,2.971189256989448e-05,0.18029889045841993,0.12874155381601304,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
8,0.09136067458005794,0.1536563675005333,0.09136067458005794,1.7647479922290594e-05,0.051264448809516,0.13145690054509296,0.1536563675005333,2.9567417195187454e-05,0.17403380382061004,0.13329059474915267,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
9,0.08640450800219214,0.1509686862761398,0.08640450800219214,1.6694814261076733e-05,0.048341414655547546,0.12446760148348579,0.1509686862761398,2.9033429322487017e-05,0.1712679324503988,0.13071020934684202,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
10,0.08255083425097676,0.15235339641586473,0.08255083425097676,1.5949215592619992e-05,0.04596722027264446,0.11913444825175057,0.15235339641586473,2.9274400559411315e-05,0.17054727648827248,0.13425534773943945,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
11,0.07929859109911096,0.14715375450470608,0.07929859109911096,1.531751385698727e-05,0.04375017346088666,0.11484700893182831,0.14715375450470608,2.8282961205756846e-05,0.16781116961897352,0.12660426456131973,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
12,0.07657557327943633,0.14589485185628526,0.07657557327943633,1.4785542837755537e-05,0.04170792513194094,0.11144322150173676,0.14589485185628526,2.8022343439017666e-05,0.1640854265568778,0.12784331959020345,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
13,0.07428097238681881,0.14752191416316116,0.07428097238681881,1.4333886636552461e-05,0.039943676075363255,0.10861826890024794,0.14752191416316116,2.8344705462215065e-05,0.16458523179823534,0.1304102122997865,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
14,0.0722517206756226,0.14781445306122684,0.0722517206756226,1.3935064295681178e-05,0.03829674266772457,0.10620669850772882,0.14781445306122684,2.834625389652043e-05,0.16406778890965507,0.13172143004089593,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
15,0.0704682280410485,0.14636344227932363,0.0704682280410485,1.3582378288852654e-05,0.03685604397162615,0.1040804122077174,0.14636344227932363,2.8091737778067388e-05,0.16098748311726377,0.13164848566101864,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
16,0.06869465557028012,0.150891039292113,0.06869465557028012,1.3234084258420264e-05,0.035489476495328916,0.10189983471255584,0.150891039292113,2.889595387034215e-05,0.1619093135842122,0.1401615475686267,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
17,0.06708299557876635,0.14946080796437172,0.06708299557876635,1.2915967857564732e-05,0.03433804516213007,0.09982794609264915,0.14946080796437172,2.8637371189541205e-05,0.16197861544264014,0.1370336008234881,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
18,0.06589899245036175,0.14493164001155437,0.06589899245036175,1.2680877015478166e-05,0.03351630637773788,0.0982816784481806,0.14493164001155437,2.7781332852693237e-05,0.15997835041827058,0.1299891049079597,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
19,0.06443008659295289,0.1467983374927552,0.06443008659295289,1.2393757053330657e-05,0.032252858217102456,0.0966073151932184,0.1467983374927552,2.8126192745161e-05,0.16096058073174208,0.13290814163442702,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
20,0.06326676379275849,0.15310083177916886,0.06326676379275849,1.2163694597426316e-05,0.03141657777699122,0.09511695029475842,0.15310083177916886,2.9289747304879684e-05,0.1595137768164277,0.1469687055144459,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
21,0.061958475756537484,0.1494784539935495,0.061958475756537484,1.190843962225093e-05,0.03055462271842851,0.09336232881708796,0.1494784539935495,2.862684360391243e-05,0.15708713210816494,0.14205721481516959,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
22,0.060745569694054175,0.15021627518885122,0.060745569694054175,1.1671884731112804e-05,0.02949991536487537,0.0919912240606355,0.15021627518885122,2.8755237905097127e-05,0.15803957077208908,0.14269328228011727,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
23,0.05962355879984467,0.1511415181927903,0.05962355879984467,1.1452516302020251e-05,0.028708818723937594,0.0905382992871794,0.1511415181927903,2.893462738848463e-05,0.15728777624247595,0.14533246047608556,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
24,0.058549802817673566,0.15028949412232057,0.058549802817673566,1.1243428412035794e-05,0.027979594150401025,0.08912001142884235,0.15028949412232057,2.8773035725959907e-05,0.15708848376059906,0.14392863817419857,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
25,0.05762536727999109,0.1517715101093138,0.05762536727999109,1.1063513318870365e-05,0.02728285984207229,0.08796787473661115,0.1517715101093138,2.9052178939314462e-05,0.1604797691658605,0.14340679712966084,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
26,0.05675675696038817,0.1538256698724698,0.05675675696038817,1.0894728569815837e-05,0.026581720520095175,0.08693179345304468,0.1538256698724698,2.9446885961822107e-05,0.1573142076600343,0.15053500127140432,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
