source,index,method,seed,baseline,optimized,change,relative_reduction_percent
reid,2,original_ridge_fixed_sign,788.0,0.2243478918998783,0.199410013228803,-0.0249378786710753,11.115717852256239
reid,53,inverse_jacobian_pc1,,0.09049821989078749,0.049560014927215366,-0.040938204963572124,45.23647538368822
reid,59,calibrated_fixed_sign,845.0,0.1636563555246117,0.1329405157409039,-0.0307158397837078,18.76849798178999
depablo_low_temp,70,random_bidirectional,526.0,0.3312936701964677,0.32858420428183277,-0.0027094659146349453,0.8178441541089951
depablo_low_temp,78,random_bidirectional,201.0,0.35687754137933936,0.3533841763336306,-0.0034933650457087406,0.9788693993482498
depablo_low_temp,96,original_ridge_fixed_sign,882.0,0.1891007018929303,0.1832328720206927,-0.0058678298722375,3.1030185575725113
